recommended_action_band,operational_term_weight_0_100,term_id,concept,source_term,chosen_form_latin,f10_flag,ws_support_score,ws_adverse_competitor_score,writeback_status,required_fix,writeback_note,source_pointer
A_review_adverse_or_competitor,60.4,ISV-bereich_aller_geraden_polynome--oblast_vseh_parnyh_p,polynomial,,oblast vseh parnyh polinomov,F10-1,0.5469,0.4531,blocked_variant_or_competitor,backfill witness vector from 20-source shelf or mark explicit gap,support_plus_competitor_W branch native alternative; variant-policy row,noether_paper19_terms.json
A_review_adverse_or_competitor,60.4,ISV-primitive_polynome--primitivne_polinomy,polynomial,primitive Polynome,primitivne polinomy,F10-1,0.5469,0.4531,blocked_variant_or_competitor,backfill witness vector from 20-source shelf or mark explicit gap,support_plus_competitor_W branch native alternative; variant-policy row,noether_paper30_section03_terms.json
A_review_adverse_or_competitor,60.4,ISV-teilerfremde_polynome--vzaimno_proste_polin,polynomial,,vzaimno proste polinomy,F10-1,0.5469,0.4531,blocked_variant_or_competitor,backfill witness vector from 20-source shelf or mark explicit gap,support_plus_competitor_W branch native alternative; variant-policy row,noether_post45_source_fidelity_terms.json
A_review_adverse_or_competitor,58.7,ISV-endlicher_algebraischer_körper_über--konečno_algebraično_,field,,konečno algebraično razširenje nad,F10-1,0.4996,0.5004,blocked_variant_or_competitor,backfill witness vector from 20-source shelf or mark explicit gap,support_plus_competitor_variant_policy; not clean support writeback,noether_paper06_section04_terms.json
A_review_adverse_or_competitor,45.6,ISV-quotientenkörper--polje_kvocientov,quotient field,Quotientenkörper,polje kvocientov,F10-0,0.0,1.0,,record witness forms in the term row (currently prose/shelf only),,noether_paper24_section06_terms.json;noether_paper30_section01_terms.json;noether_paper30_section03_terms.json
A_review_adverse_or_competitor,43.2,ISV-mit_einem_zusatz_gemeinsam_mit_e_noether--s_dodatkom_společně_,corollary,,"s dodatkom, společně s E. Noether",F10-1,0.3464,0.6536,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_postbibliography_source_fidelity_terms.json
A_review_adverse_or_competitor,40.2,ISV-ring_in_abstrakter_definition--kolco_v_abstraktnoj_,,,kolco v abstraktnoj definiciji,F10-3,,,,resolve vs okruh/prsten/kolobar with access-gain ledger + Interslavic authority input before external showing,,noether_paper19_terms.json;noether_paper19_terms_before_section09_utf8_repair_20260613_121052.json
A_review_adverse_or_competitor,40.2,ISV-unnamed--ekvivalentno_razširj,,,ekvivalentno razširjeno polje / razširjeno kolco,F10-3,,,,resolve vs okruh/prsten/kolobar with access-gain ledger + Interslavic authority input before external showing,,noether_paper31_section01_entries01_02_terms.json
A_review_adverse_or_competitor,40.2,ISV-unnamed--kolco_klasov_ostatko,,,kolco klasov ostatkov / polje klasov ostatkov,F10-3,,,,resolve vs okruh/prsten/kolobar with access-gain ledger + Interslavic authority input before external showing,,noether_paper31_section02_entry04_terms.json;noether_paper31_section03_entry03_terms.json;noether_paper31_section07_entry03_terms.json
A_review_adverse_or_competitor,40.2,ISV-unnamed--kolco_klasov_ostatko,,,kolco klasov ostatkov / polje klasov ostatkov,F10-3,,,,resolve vs okruh/prsten/kolobar with access-gain ledger + Interslavic authority input before external showing,,noether_paper31_introduction_terms.json
A_review_adverse_or_competitor,40.2,ISV-unnamed--podkolco_nadkolco_na,,,podkolco / nadkolco / nadpolje,F10-3,,,,resolve vs okruh/prsten/kolobar with access-gain ledger + Interslavic authority input before external showing,,noether_paper31_section01_entries01_02_terms.json
A_review_adverse_or_competitor,40.2,ISV-unnamed--razširjeno_kolco_pol,,,razširjeno kolco polja / razširjeno polje,F10-3,,,,resolve vs okruh/prsten/kolobar with access-gain ledger + Interslavic authority input before external showing,,noether_paper31_section06_opening_terms.json
A_review_adverse_or_competitor,40.2,ISV-unnamed--razširjeno_polje_raz,,,razširjeno polje / razširjeno kolco,F10-3,,,,resolve vs okruh/prsten/kolobar with access-gain ledger + Interslavic authority input before external showing,,noether_paper31_section03_entry03_terms.json
A_review_adverse_or_competitor,32.2,ISV-dedekindsche_folgerung_iii--dedekindov_poslědok_,corollary,Dedekindsche Folgerung I/II,Dedekindov poslědok I/II,F10-1,0.3464,0.6536,Q3_PROOF_REGISTER_LATEX_ENVIRONMENT_OR_PREAMBLE,backfill witness vector from 20-source shelf or mark explicit gap,"window mostly theorem-environment/preamble labels; supports register marker weakly, not term-row witness",noether_paper30_section01_terms.json
A_review_adverse_or_competitor,32.2,ISV-folgerung--poslědok,corollary,Folgerung,poslědok,F10-1,0.3464,0.6536,Q3_PROOF_REGISTER_LATEX_ENVIRONMENT_OR_PREAMBLE,backfill witness vector from 20-source shelf or mark explicit gap,"window mostly theorem-environment/preamble labels; supports register marker weakly, not term-row witness",noether_paper02_section24_terms.json;logbook:2026-06-10: Paper 02 Section 24 Interslavic Decisions
A_review_adverse_or_competitor,32.2,ISV-zusatz--dodatok,corollary,,dodatok,F10-1,0.3464,0.6536,Q3_PROOF_REGISTER_LATEX_ENVIRONMENT_OR_PREAMBLE,backfill witness vector from 20-source shelf or mark explicit gap,"window mostly theorem-environment/preamble labels; supports register marker weakly, not term-row witness",noether_paper19_terms.json;noether_paper19_terms_before_section09_utf8_repair_20260613_121052.json
A_review_adverse_or_competitor,19.9,ISV-irreducible_polynomials--nerazložimy_polinomy,polynomial,,nerazložimy polinomy,F10-1,0.5469,0.4531,blocked_variant_or_competitor,backfill witness vector from 20-source shelf or mark explicit gap,support_plus_competitor_W branch native alternative; variant-policy row,noether_paper22_terms.json
A_review_adverse_or_competitor,18.5,ISV-bücher_entstanden_unter_mitwirkung_von_e--knjigy_sostavjene_s_,corollary,,"knjigy, sostavjene s učestjem Emmy Noether",F10-1,0.3464,0.6536,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_postbibliography_source_fidelity_terms.json
A_review_adverse_or_competitor,18.5,ISV-e_noether_o_ore_witness_normalization--e_noether_o_ore,corollary,,"E. Noether, O. Ore",F10-1,0.3464,0.6536,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_postbibliography_source_fidelity_terms.json
A_review_adverse_or_competitor,18.2,ISV-relativ-galoissche_zahlkörper--relativno-galoisove_,field,relativ-galoissche Zahlkörper,relativno-Galoisove čislove polja,F10-1,0.4996,0.5004,blocked_variant_or_competitor,backfill witness vector from 20-source shelf or mark explicit gap,support_plus_competitor_variant_policy; not clean support writeback,noether_paper41_source_fidelity_terms.json
A_review_adverse_or_competitor,14.9,ISV-polynomial_sense--v_polinomnom_smyslu,polynomial,,v polinomnom smyslu,F10-1,0.5469,0.4531,blocked_variant_or_competitor,backfill witness vector from 20-source shelf or mark explicit gap,support_plus_competitor_W branch native alternative; variant-policy row,noether_paper22_terms.json
A_review_adverse_or_competitor,13.2,ISV-identität_der_körper--identičnost_polj,field,,identičnost polj,F10-1,0.4996,0.5004,blocked_variant_or_competitor,backfill witness vector from 20-source shelf or mark explicit gap,support_plus_competitor_variant_policy; not clean support writeback,noether_paper06_section06_terms.json
A_review_adverse_or_competitor,13.2,ISV-projektive_invariantenkörper--projektivna_invarian,field,,projektivna invariantna polja,F10-1,0.4996,0.5004,blocked_variant_or_competitor,backfill witness vector from 20-source shelf or mark explicit gap,support_plus_competitor_variant_policy; not clean support writeback,noether_paper06_section01_terms.json
A_review_adverse_or_competitor,10.7,ISV-werden_reduzibel--stavajut_reducibilne,ring,werden reduzibel,stavajut reducibilne,F10-1,0.0,1.0,candidate_component_witness_writeback_W_and_S,backfill witness vector from 20-source shelf or mark explicit gap,"concept-shelf W and S support available; still component-level, not full compound attestation",noether_paper02_section19_terms.json
A_review_adverse_or_competitor,9.7,ISV-automorphismenring--kolco_avtomorfizmov,automorphism,Automorphismenring,kolco avtomorfizmov,F10-3,1.0,0.0,,resolve vs okruh/prsten/kolobar with access-gain ledger + Interslavic authority input before external showing,,noether_paper34_section02_terms.json
