concept,term_rows,avg_weight,min_weight,max_weight,f10_distribution,action_distribution,ws_support_hits,ws_competitor_hits,writeback_candidate_rows,review_or_adverse_rows,priority,example_forms
(unmapped),642,24.3,0.0,70.2,F10-0:200; F10-1:382; F10-2:19; F10-3:28; F10-4:13,A_review_adverse_or_competitor:28; D_authority_or_specialist_needed:13; E_overclaim_backfill_needed:19; F_missing_witness_backfill:382; G_currently_acceptable_or_low_priority:200,0,0,0,28,A_review_or_adverse,"A) / B) / C), a) / b) / c) | A) / B) / C) / D) | A) / B) / C) / D), a) / b) | absolutna nerazložimost / absolutno nerazložimy | abstraktna teorija idealov"
field,38,29.2,7.5,69.7,F10-1:38,A_review_adverse_or_competitor:4; C_context_candidate_writeback:34,1084,1096,34,4,A_review_or_adverse,absolutno ireducibilny | absolutno ireducibilno predstavjenje | algebraično-cěly / racionalno-cěly | algebraično cěla i celočislena vzhodno k | algebraično-cěla zatvorenost
element,20,18.3,0.0,59.8,F10-0:3; F10-1:15; F10-3:1; F10-4:1,A_review_adverse_or_competitor:1; D_authority_or_specialist_needed:1; F_missing_witness_backfill:15; G_currently_acceptable_or_low_priority:3,1743,728,0,1,A_review_or_adverse,elementarne dělitelje | elementarny dělitelj | forma elementarnyh děliteljev | forma elementarnyh děliteljev / norma | sistem elementarnyh děliteljev
ring,17,1.3,0.0,10.7,F10-1:6; F10-3:11,A_review_adverse_or_competitor:17,0,2734,4,17,A_review_or_adverse,vlastno podkolco | kolco razširenja; modul razširenja | grupno kolco | grupovo kolco | poluprosto kolco
polynomial,12,37.3,14.9,71.4,F10-1:12,A_review_adverse_or_competitor:5; C_context_candidate_writeback:7,1581,446,7,5,A_review_or_adverse,vse parne cěle racionalne čisla | oblast vseh parnyh polinomov | največši obči dělitelj v polinomnom smyslu | nerazložimy polinomy | modul
dimension,10,29.9,1.1,69.6,F10-1:9; F10-4:1,C_context_candidate_writeback:4; D_authority_or_specialist_needed:1; F_missing_witness_backfill:5,75,78,4,0,A_review_or_adverse,Aritmetična formulacija pojma dimenzije | dimenzija v sobstvenom smyslu | dimenzijne čisla | tridimensionalny prostor | homogena rezultanta členov najvyššego stepena
corollary,9,22.1,7.5,43.2,F10-1:9,A_review_adverse_or_competitor:9,15,186,3,9,A_review_or_adverse,"knjigy, sostavjene s učestjem Emmy Noether | Dedekindov poslědok I/II | E. Noether, O. Ore | poslědok | poslědki"
representation,8,32.5,12.0,57.5,F10-1:8,F_missing_witness_backfill:8,142,278,0,0,A_review_or_adverse,najkrajše predstavjenje | najkratše predstavjenja | parametrično predstavjenje | pravo predstavjenje / lěvo predstavjenje | centar
theorem,7,14.1,0.0,36.3,F10-1:7,C_context_candidate_writeback:1; F_missing_witness_backfill:6,231,639,1,0,A_review_or_adverse,teorema Burnsida / obobčena teorema Burnsida | fundamentalny teorem teorije eliminacije | tym je dokazana | Teorema I | teorema razloženja
quotient field,3,16.8,0.0,45.6,F10-0:2; F10-3:1,A_review_adverse_or_competitor:3,0,36,0,3,A_review_or_adverse,tvorjenje kvocientov | polje kvocientov | kolco kvocientov
