term_id,source_term,chosen_form_latin,chosen_form_cyrillic,concept,concept_source,concept_link_original,concept_key,reason_class,status,reviewer_need,source_pointer,f10_flag,safe_to_show_external,f10_reason,required_fix,tail_route,tail_route_key,tail_shelf_langs,c2_priority,witness_E,witness_W,witness_S,witness_I,witness_X,branch_present_E,branch_present_W,branch_present_S,family_witness_mass,branch_share_E,branch_share_W,branch_share_S,effective_branch_count_D1,branch_breadth_weight,branch_balance_weight,source_strength_weight,east_dominance_penalty,ws_isv_choice,ws_support_hits,ws_competitor_hits,ws_support_branches,ws_competitor_branches,ws_support_langs,ws_competitor_langs,ws_support_score,ws_adverse_competitor_score,weighted_score_action_class,weighted_score_sensitivity,weighted_current_equal_branch,weighted_current_dependence_pd,weighted_top_equal_branch,best_noncurrent_mean_MAG,writeback_status,writeback_candidate_weight,writeback_note,operational_term_weight_0_100,operational_weight_band,recommended_action_band,weight_boundary
ISV-a_b_c_a_b_c--a_b_c_a_b_c,"A) / B) / C), a) / b) / c)","A) / B) / C), a) / b) / c)","А) / Б) / Ц), а) / б) / ц)",,,,a b c a b c,international;script_stability,unstated,False,noether_paper02_section23_terms.json,F10-0,yes,Interslavic-authority or international rationale present (no W/S witness),add W/S witness forms or explicit gap note from the 20-source shelf,,,,,2.0,0.0,0.0,0.0,1.0,1,0,0,2.0,1.0,0.0,0.0,1.0,0.3333,0.3333,0.48,0.6667,,,,,,,,,,,,,,,,,0.0,,26.7,D_underwitnessed,G_currently_acceptable_or_low_priority,"operational triage weight, not certification; source-use categories and native row review still govern"
ISV-a_b_c_d--a_b_c_d,A) / B) / C) / D),A) / B) / C) / D),А) / Б) / Ц) / Д),,,,a b c d,script_stability,unstated,True,noether_paper02_section22_terms.json,F10-1,review,no non-East witness or rationale recorded,backfill witness vector from 20-source shelf or mark explicit gap,D_no_route_true_gap,,,False,2.0,0.0,0.0,0.0,0.0,1,0,0,2.0,1.0,0.0,0.0,1.0,0.3333,0.3333,0.4,0.6667,,,,,,,,,,,,,,,,,0.0,,16.7,D_underwitnessed,F_missing_witness_backfill,"operational triage weight, not certification; source-use categories and native row review still govern"
ISV-a_b_c_d_a_b--a_b_c_d_a_b,"A) / B) / C) / D), a) / b)","A) / B) / C) / D), a) / b)","А) / Б) / Ц) / Д), а) / б)",,,,a b c d a b,script_stability,unstated,True,noether_paper02_section24_terms.json,F10-1,review,no non-East witness or rationale recorded,backfill witness vector from 20-source shelf or mark explicit gap,D_no_route_true_gap,,,False,2.0,0.0,0.0,0.0,0.0,1,0,0,2.0,1.0,0.0,0.0,1.0,0.3333,0.3333,0.4,0.6667,,,,,,,,,,,,,,,,,0.0,,16.7,D_underwitnessed,F_missing_witness_backfill,"operational triage weight, not certification; source-use categories and native row review still govern"
ISV-abbildungsfunktionen--funkcije_odobraženja,,funkcije odobraženja,функције одображеньа,coefficient,tail_route_key,coefficient,coefficient,unstated,unstated,True,noether_paper06_section03_terms.json,F10-1,review,no non-East witness or rationale recorded,backfill witness vector from 20-source shelf or mark explicit gap,A_probe_covered_concept,coefficient,ar;es;fa;fr,True,2.0,0.0,0.0,0.0,0.0,1,0,0,2.0,1.0,0.0,0.0,1.0,0.3333,0.3333,0.4,0.6667,,,,,,,,,,,,,,,,candidate_component_witness_writeback_W_and_S,0.55,"concept-shelf W and S support available; still component-level, not full compound attestation",27.7,D_underwitnessed,C_context_candidate_writeback,"operational triage weight, not certification; source-use categories and native row review still govern"
ISV-abbildungssystem--odobražajuči_sistem,,odobražajuči sistem,одображајучи систем,sistem,concept_link,sistem,sistem,unstated,unstated,True,noether_paper06_section03_terms.json;noether_paper06_section04_terms.json,F10-1,review,no non-East witness or rationale recorded,backfill witness vector from 20-source shelf or mark explicit gap,B_intl_stem_probeable,sistem,all_shelves,False,2.0,0.0,0.0,0.0,0.0,1,0,0,2.0,1.0,0.0,0.0,1.0,0.3333,0.3333,0.4,0.6667,,,,,,,,,,,,,,,,,0.0,,16.7,D_underwitnessed,F_missing_witness_backfill,"operational triage weight, not certification; source-use categories and native row review still govern"
ISV-absolut-irreduzibel--absolutno_ireducibil,absolut-irreduzibel,absolutno ireducibilny,абсолутно иредуцибилны,field,tail_route_key,field,field,unstated,unstated,True,noether_paper34_section21_source_fidelity_terms.json,F10-1,review,no non-East witness or rationale recorded,backfill witness vector from 20-source shelf or mark explicit gap,A_probe_covered_concept,field,ar;be;bg;bs;cs;es;fa;fr;hr;mk;pl;sk;sl;sr,True,2.0,0.0,0.0,0.0,0.0,1,0,0,2.0,1.0,0.0,0.0,1.0,0.3333,0.3333,0.4,0.6667,polje,1084,1096,south|west,south|west,bg|cs|hr|pl|sl,bg|cs|pl|sk|sl,0.4996,0.5004,confirm_current,stable,1.0,1.0,polje,-0.7645207641868372,candidate_component_witness_writeback_W_and_S,0.55,"concept-shelf W and S support available; still component-level, not full compound attestation",24.2,D_underwitnessed,C_context_candidate_writeback,"operational triage weight, not certification; source-use categories and native row review still govern"
ISV-absolut-irreduzible_darstellung--absolutno_ireducibil,,absolutno ireducibilno predstavjenje,абсолутно иредуцибилно представјенье,field,tail_route_key,field,field,unstated,unstated,True,noether_paper34_section26_source_fidelity_terms.json,F10-1,review,no non-East witness or rationale recorded,backfill witness vector from 20-source shelf or mark explicit gap,A_probe_covered_concept,field,ar;be;bg;bs;cs;es;fa;fr;hr;mk;pl;sk;sl;sr,True,2.0,1.0,1.0,0.0,0.0,1,1,1,4.0,0.5,0.25,0.25,2.828,1.0,0.9428,1,0.1667,polje,1084,1096,south|west,south|west,bg|cs|hr|pl|sl,bg|cs|pl|sk|sl,0.4996,0.5004,confirm_current,stable,1.0,1.0,polje,-0.7645207641868372,candidate_component_witness_writeback_W_and_S,0.55,"concept-shelf W and S support available; still component-level, not full compound attestation",69.7,B_usable_candidate_or_balanced,C_context_candidate_writeback,"operational triage weight, not certification; source-use categories and native row review still govern"
ISV-absolute_irreduzibilität_absolut_irreduz--absolutna_nerazložim,,absolutna nerazložimost / absolutno nerazložimy,абсолутна неразложимост / абсолутно неразложимы,,,,,pan_slavic_native;international,unstated,False,noether_paper20_terms.json,F10-0,yes,Interslavic-authority or international rationale present (no W/S witness),add W/S witness forms or explicit gap note from the 20-source shelf,,,,,3.0,0.0,0.0,0.0,1.0,1,0,0,3.0,1.0,0.0,0.0,1.0,0.3333,0.3333,0.68,0.6667,,,,,,,,,,,,,,,,,0.0,,31.7,D_underwitnessed,G_currently_acceptable_or_low_priority,"operational triage weight, not certification; source-use categories and native row review still govern"
ISV-absoluter_multiplikatorenbereich--absolutna_oblast_mno,absoluter Multiplikatorenbereich,absolutna oblast množiteljev,абсолутна област множительев,multiplier domain,tail_route_key,multiplier domain,multiplier domain,source_fidelity,unstated,True,noether_paper34_section20_source_fidelity_terms.json,F10-1,review,no non-East witness or rationale recorded,backfill witness vector from 20-source shelf or mark explicit gap,C_concept_linked_shelf_plausible,multiplier domain,,False,2.0,0.0,0.0,0.0,0.0,1,0,0,2.0,1.0,0.0,0.0,1.0,0.3333,0.3333,0.4,0.6667,,,,,,,,,,,,,,,,no_context_evidence_available,0.0,no precomputed evidence row available for route key,16.7,D_underwitnessed,F_missing_witness_backfill,"operational triage weight, not certification; source-use categories and native row review still govern"
ISV-absolutes_primideal--absolutny_prosty_ide,,absolutny prosty ideal,,ideal,v10_queue,ideal,ideal,source_fidelity,unstated,True,noether_paper35_source_fidelity_terms.json,F10-1,review,no non-East witness or rationale recorded,backfill witness vector from 20-source shelf or mark explicit gap,A_probe_covered_concept,ideal,be;bg;bs;cs;es;fa;fr;hr;mk;pl;sk;sl;sr,True,2.0,1.0,1.0,0.0,0.0,1,1,1,4.0,0.5,0.25,0.25,2.828,1.0,0.9428,1,0.1667,ideal,1296,0,south|west,,bg|cs|hr|pl|sk|sl|sr,,1.0,0.0,confirm_current,stable,1.0,1.0,ideal,-999,v11_strict_Q1_candidate,0.75,append candidate witness-vector note only after source row is confirmed to instantiate this concept; no term promotion; no prose patch; no reviewed_bridge_use,92.2,A_high_support_or_apply_ready,B_candidate_witness_writeback,"operational triage weight, not certification; source-use categories and native row review still govern"
