path,artifact_type,language_tag,status,bytes,sha256
CONTINUATION_CURSOR.md,continuation_cursor,multiple,active,653,68989276EAE74985EA1DDB9020F32D490F14FADBCE5D452F93FF49E90873AFFB
om/OpenStax_Prealgebra2e_2_1_T001_om.tex,translated_tex,om-Latn-ET,unreviewed_working_translation,2189,B18A70228576EED1A552BE4FA1E2913EFF9D9ABE74C0E9DA088A271D37454B16
output/pdf/OpenStax_Prealgebra2e_2_1_T001_om.pdf,compiled_pdf,om-Latn-ET,visual_qa_pass_unreviewed_translation,17233,95EC64929BEC7BF62BE495E55EF22B7AB3D6F720D1DD07518F887BE2D7543A82
output/pdf/OpenStax_Prealgebra2e_2_1_T001_so.pdf,compiled_pdf,so-Latn,visual_qa_pass_unreviewed_translation,17438,0FE20E0FFEA5914C97A28961916F57D37DFCCB7E616CE0D58A411669CCD63BA8
qa/BUILD_RESULTS.csv,build_qa,multiple,pass,463,62BD0BC989DF191B66293359DEDB7102422D8C69C3B8D6EA447E69BB2061521B
qa/TEXT_EXTRACTION.md,text_extraction_qa,multiple,pass,534,DC6FE6F90FD1DC5EE41C1D69610229B3388A4F3386B51814F172512110C10624
qa/VISUAL_QA.md,visual_qa,multiple,pass,1159,2CC863B78B70952B08BBDCEA7EEDFBEEB37B51B5533DAAB55E2594B9FF96E7A0
so/OpenStax_Prealgebra2e_2_1_T001_so.tex,translated_tex,so-Latn,unreviewed_working_translation,2123,097D6322A50F5FC2DC4AB2E7D190B1ADC3E830CAB2C5CDC2D14456BC322903D0
SOURCE_USE.md,source_and_license_note,multiple,verified,998,8F4D108137E855021245B3388C06F9B5BFE754DFE7A583A69E8D3D0413A3CD88
source/OPENSTAX_PREALGEBRA_2E_2_1_SELECTED_SOURCE.txt,source_coordinate,en,verified_113_words,658,3EE6926C0EE19882AE92C6A97A3BD9FAB77511C4C94920A153DB66FE921AF66E
source/SOURCE_MANIFEST.json,source_manifest,en,verified,1056,07DD14744664ACF9970001898386F7931A6DB218C39ABE382F2E3D673E1CBF07
STATUS.md,status_record,multiple,current,705,4DE2521029C07FAC6BD723275BEFC253946462DAFE672D48D2F589DFF6E2B037
TERMINOLOGY_AND_ADVERSE.csv,terminology_and_adverse_ledger,multiple,no_promotion,3469,9744B4E977C99A985537F7C7A71449BE81DB18330B4FDC4EE9056FD7CCF15A22
