row_id,language_tag,concept,target_form,channel,evidence_state,source_pointer,decision_status,promotion_allowed,notes
TERM-SO-001,so-Latn,variable,doorsoome,candidate,source_extracted_not_canonical,"Somali Grade 8 extracted text lines 2254-2263",working_candidate,false,"Direct textbook definition context"
TERM-SO-002,so-Latn,constant,"madoorsoome; ma doorsoome",competitor,source_extracted_not_canonical,"Somali Grade 8 extracted text lines 2261-2264 and 7116-7119",working_form_madoorsoome,false,"Spacing/compounding requires review"
TERM-SO-003,so-Latn,algebraic expression,tibaax aljebro,candidate,source_extracted_not_canonical,"Somali Grade 8 extracted text lines 4682-4686",working_candidate,false,"Plural form tibaaxaha aljebro also witnessed"
TERM-SO-004,so-Latn,equation,isle'eg,candidate,source_extracted_not_canonical,"Somali Grade 8 extracted text lines 5019-5027",working_candidate,false,"Source also uses isle'egta and isle'egyada"
TERM-SO-005,so-Latn,equal sign,calaamadda isle'egta,candidate,source_extracted_not_canonical,"Somali Grade 8 extracted text lines 5022-5027",working_candidate,false,"No promotion"
TERM-SO-006,so-Latn,algebraic symbol,astaanta aljebrada,candidate,generated_from_source_pattern,"Somali Grade 8 extracted text lines 2254-2261 uses astaanta xarfaha in algebra context",generated_working_candidate,false,"Needs exact native/source witness for this phrase"
TERM-SO-007,so-Latn,operation symbol,astaanta xisaab-falka,candidate,generated_from_source_pattern,"Somali Grade 6 extracted text lines 1032-1056 uses xisaab falada",generated_working_candidate,false,"Needs exact plural/form review"
TERM-OM-001,om-Latn-ET,variable,jijjiiramaa,candidate,source_extracted_not_canonical,"Oromo Grade 8 extracted text lines 2090-2103",working_candidate,false,"Direct textbook definition context"
TERM-OM-002,om-Latn-ET,constant,dhaabataa,candidate,source_extracted_not_canonical,"Oromo Grade 8 extracted text lines 2097-2104",working_candidate,false,"Direct textbook definition context"
TERM-OM-003,om-Latn-ET,algebraic expression,ibsama aljebiraa,candidate,source_extracted_not_canonical,"Oromo Grade 8 extracted text lines 2073 and 2090-2108",working_candidate,false,"Inflected plural ibsamoota aljebiraa witnessed"
TERM-OM-004,om-Latn-ET,equation,hima walqixaa,candidate,source_extracted_not_canonical,"Oromo Grade 8 extracted text lines 4791-4809",working_candidate,false,"Spacing variants walqixaa / wal qixaa retained in sources"
TERM-OM-005,om-Latn-ET,equal sign,mallattoo walqixaa,candidate,source_extracted_not_canonical,"Oromo Grade 8 extracted text lines 4797-4803",working_candidate,false,"No promotion"
TERM-OM-006,om-Latn-ET,algebraic symbol,mallattoo aljebiraa,candidate,source_extracted_not_canonical,"Oromo Grade 8 extracted text lines 2097-2103",working_candidate,false,"Plural mallattoolee used in translation"
TERM-OM-007,om-Latn-ET,operation symbol,mallattoo qoyyabaa,candidate,generated_from_source_pattern,"Oromo Grade 6 extracted text lines 1046-1049 uses qoyyaboota",generated_working_candidate,false,"Needs exact symbol phrase witness"
ADV-T001-BRIDGE,multiple,shared Horn algebra form,,veto,standing_lane_boundary,FAMILY_COHORT_TREE.json,rejected,false,"Somali and Oromo terms must not be merged despite shared administrative tranche"
ADV-T001-CERT,multiple,native or community approval,,veto,no_accepted_return,EVIDENCE_GRAPH.json,rejected,false,"Documents must remain labelled unreviewed working translations"

