"row_id","scope","language_or_region","search_cluster","search_queries","github_api_status","code_total","repo_total","returned_hit_summary","evidence_tier","source_or_repo_url","git_commit_tree_or_blob_sha","license_signal","source_package_status","exact_gap_or_blocker","next_source_action","non_claim_boundary"
"R7GHRT001","Malay-Indonesian","Indonesian","Neliti Weyl Noether ring","code: ""Aljabar Weyl"" ""Gelanggang Noether"" extension:tex; repo: ""Aljabar Weyl"" ""Gelanggang Noether""","200_code_and_repo","0","0","no code or repository hits","GAP_GITHUB_ZERO_RESULT","https://github.com/search","not_applicable","not_applicable_no_hit","no_matching_public_github_tex_or_repo_source_package_found","exact title cluster returned zero source-package hits","continue source-package discovery through journal repository or author routes","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7GHRT002","Malay-Indonesian","Indonesian","UIN Struktur Aljabar Teori Ring","code: ""Struktur Aljabar"" ""Teori Ring"" extension:tex; repo: ""Struktur Aljabar"" ""Teori Ring""","200_code_and_repo","0","1","repo hit nuraeniAy/Struktur-Aljabar; no code hits","GITHUB_REPO_HIT_EMPTY_CONTEXT","https://github.com/nuraeniAy/Struktur-Aljabar","empty_repo_no_tree_sha","no_license_detected; no_license_clearance_claimed","repository hit is empty by GitHub API metadata and not a usable source package","repository title/description context only; no branch tree files or source payload captured","keep as empty-repo context row and continue official UIN/repository source-package search","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7GHRT003","Malay-Indonesian","Indonesian","PID UFD Noetherian ring","code: ""Daerah Ideal Utama"" ""Daerah Faktorisasi Tunggal"" extension:tex; repo: ""Daerah Ideal Utama"" ""Daerah Faktorisasi Tunggal""","200_code_and_repo","0","0","no code or repository hits","GAP_GITHUB_ZERO_RESULT","https://github.com/search","not_applicable","not_applicable_no_hit","no_matching_public_github_tex_or_repo_source_package_found","exact title cluster returned zero source-package hits","continue source-package discovery through journal repository or author routes","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7GHRT004","Malay-Indonesian","Indonesian","Prime maximal ideals commutative ring","code: ""Ideal Prima"" ""Ideal Maksimal"" ""Gelanggang"" extension:tex; repo: ""Ideal Prima"" ""Ideal Maksimal"" ""Gelanggang""","200_code_and_repo","2","0","two code hits in KlinikAA/ONMIPA; no repository hits for exact publication cluster","A_SOURCE_ARCHIVE_CONTEXT_NOT_ARTICLE_SOURCE","https://github.com/KlinikAA/ONMIPA","commit 630d0ad535e39ee7a2a1e9225a725eca4517b08b; blobs 3aba757d28f98b45df0042f1b6c2610ff6eeef16 and d1dae4f65ee2c1e9a6899b7f685b8b25c24350fb","no_license_detected; no_license_clearance_claimed","adjacent ONMIPA TeX context only; not target article source package","public TeX hits are exam/prep context and do not source the UNHAS publication","keep separated from article-source claims; source-gated context only","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7GHRT005","Malay-Indonesian","Indonesian","Artin semisimple ring","code: ""Ring Artin"" ""Semisederhana"" extension:tex; repo: ""Ring Artin"" ""Semisederhana""","200_code_and_repo","0","0","no code or repository hits","GAP_GITHUB_ZERO_RESULT","https://github.com/search","not_applicable","not_applicable_no_hit","no_matching_public_github_tex_or_repo_source_package_found","exact title cluster returned zero source-package hits","continue source-package discovery through journal repository or author routes","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7GHRT006","Malay-Indonesian","Indonesian","S-prima penuh","code: ""S-Prima Penuh"" extension:tex; repo: ""S-Prima Penuh""","200_code_and_repo","0","0","no code or repository hits","GAP_GITHUB_ZERO_RESULT","https://github.com/search","not_applicable","not_applicable_no_hit","no_matching_public_github_tex_or_repo_source_package_found","exact title cluster returned zero source-package hits","continue source-package discovery through journal repository or author routes","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7GHRT007","Malay-Indonesian","Indonesian","Prime semiprime Noetherian ring","code: ""Ring Prima"" ""Semiprima"" ""Noetherian"" extension:tex; repo: ""Ring Prima"" ""Semiprima"" ""Noetherian""","200_code_and_repo","0","0","no code or repository hits","GAP_GITHUB_ZERO_RESULT","https://github.com/search","not_applicable","not_applicable_no_hit","no_matching_public_github_tex_or_repo_source_package_found","exact title cluster returned zero source-package hits","continue source-package discovery through journal repository or author routes","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7GHRT008","Malay-Indonesian","Indonesian","Noetherian cyclic module","code: ""Modul Noetherian"" ""Siklik"" extension:tex; repo: ""Modul Noetherian"" ""Siklik""","200_code_and_repo","0","0","no code or repository hits","GAP_GITHUB_ZERO_RESULT","https://github.com/search","not_applicable","not_applicable_no_hit","no_matching_public_github_tex_or_repo_source_package_found","exact title cluster returned zero source-package hits","continue source-package discovery through journal repository or author routes","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7GHRT009","Malay-Indonesian","Malaysian Malay","JQMA perfect codes ring-theory Malay title","code: ""Kod-kod Sempurna"" ""Teori Gelanggang"" extension:tex; repo: ""Kod-kod Sempurna"" ""Teori Gelanggang""","200_code_and_repo","0","0","no code or repository hits","GAP_GITHUB_ZERO_RESULT","https://github.com/search","not_applicable","not_applicable_no_hit","no_matching_public_github_tex_or_repo_source_package_found","exact Malay title cluster returned zero source-package hits","continue source-package discovery through UKM/JQMA article routes or author pages","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
"R7GHRT010","Malay-Indonesian","Malaysian Malay","UPM abstract algebra course Malay","code: ""Aljabar Niskala"" ""MTH4201"" extension:tex; repo: ""Aljabar Niskala"" ""MTH4201""","200_code_and_repo","0","0","no code or repository hits","GAP_GITHUB_ZERO_RESULT","https://github.com/search","not_applicable","not_applicable_no_hit","no_matching_public_github_tex_or_repo_source_package_found","exact course cluster returned zero source-package hits","continue official UPM source-route search; keep course route separate from proof-prose source packages","not translation evidence; not term approval; no native review; no canonical approval; no license clearance; no gate promotion; no completion claim"
