"relative_path","language_bucket","source_language","body_status","source_use_label","source_title","source_url","local_package_path","bytes","sha256","license_or_access_signal","origin_note","language_boundary"
"_provenance/NOETHER_PERSIANATE_TAJIK_ACTIVE_ROW_BUCKETS_AND_DRAFT_SUPPORT_20260705.md","_provenance","provenance sidecar","audit_or_provenance_ledger","audit-ledger","lane provenance sidecar","local lane output sidecar","_provenance/NOETHER_PERSIANATE_TAJIK_ACTIVE_ROW_BUCKETS_AND_DRAFT_SUPPORT_20260705.md","19161","4512DAAA99CCB67C0EC84BBFCECB018FD084709E4632E76A42B48DF66394D56C","local generated provenance/draft sidecar; not source body","copied from existing lane cache or generated package sidecar","does not authorize any other language bucket; no native review, accepted terminology, license clearance, gate promotion, or completion claim"
"_provenance/NOETHER_PERSIANATE_TAJIK_SOURCE_CANON_WITNESS_TABLE_20260704.json","_provenance","provenance sidecar","audit_or_provenance_ledger","audit-ledger","lane provenance sidecar","local lane output sidecar","_provenance/NOETHER_PERSIANATE_TAJIK_SOURCE_CANON_WITNESS_TABLE_20260704.json","36503","504F09428D241C5E12353D9691C45C2AE6CC2F91E54AF17DFD148DA82BAB0995","local generated provenance/draft sidecar; not source body","copied from existing lane cache or generated package sidecar","does not authorize any other language bucket; no native review, accepted terminology, license clearance, gate promotion, or completion claim"
"_provenance/NOETHER_PERSIANATE_TAJIK_SOURCE_CANON_WITNESS_TABLE_20260704.md","_provenance","provenance sidecar","audit_or_provenance_ledger","audit-ledger","lane provenance sidecar","local lane output sidecar","_provenance/NOETHER_PERSIANATE_TAJIK_SOURCE_CANON_WITNESS_TABLE_20260704.md","30089","691C7C49236D79777253BB989E97867C56120E20F0592239C794D8E12DBDA929","local generated provenance/draft sidecar; not source body","copied from existing lane cache or generated package sidecar","does not authorize any other language bucket; no native review, accepted terminology, license clearance, gate promotion, or completion claim"
"fa_IR/fa_iut_behboodi_advanced_algebra.pdf","fa_IR","Persian/Farsi (Iran)","native_source_body_pdf","native-source-body","IUT Behboodi Advanced Algebra","https://people.iut.ac.ir/sites/default/files/users/behboodi/course_files/advanced_algebra_dr._behboodi.pdf","fa_IR/fa_iut_behboodi_advanced_algebra.pdf","783008","B2BEDB1AA29693935B09445ED8D90910F27BDEEA7CA2F0BB5E3394F0150FDA40","university-hosted PDF; no open license found","copied from existing lane cache or generated package sidecar","does not authorize any other language bucket; no native review, accepted terminology, license clearance, gate promotion, or completion claim"
"fa_IR/fa_iut_behboodi_advanced_algebra.pdftotext.txt","fa_IR","Persian/Farsi (Iran)","OCR_witness_text_extraction_not_source_truth","OCR-witness","IUT Behboodi Advanced Algebra","https://people.iut.ac.ir/sites/default/files/users/behboodi/course_files/advanced_algebra_dr._behboodi.pdf","fa_IR/fa_iut_behboodi_advanced_algebra.pdftotext.txt","665767","EEE1E7F58B841D00D3466F9E0DF89501DF9A4CBCB3D83451EB3EACD2B527EFB0","university-hosted PDF; no open license found","copied from existing lane cache or generated package sidecar","does not authorize any other language bucket; no native review, accepted terminology, license clearance, gate promotion, or completion claim"
"fa_IR/fa_iut_mathematics_curriculum_field_galois_syllabus.pdf","fa_IR","Persian/Farsi (Iran)","native_source_body_pdf","native-source-body","IUT mathematics curriculum field/Galois syllabus","https://mathdept.iut.ac.ir/sites/mathdept/files/Site/%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87%20%D8%B3%D9%87%20%D9%81%D8%B5%D9%84%DB%8C%20%D8%AF%D8%A7%D9%86%D8%B4%DA%A9%D8%AF%D9%87%D9%94%20%D8%B1%DB%8C%D8%A7%D8%B6%DB%8C_2.pdf","fa_IR/fa_iut_mathematics_curriculum_field_galois_syllabus.pdf","4052966","E9F77D2B8B83136980D86E3DC1CF4D70F5DD648352BA0E4DEDF150BE1D6D68C8","university-hosted curriculum PDF; no license clearance claimed","copied from existing lane cache or generated package sidecar","does not authorize any other language bucket; no native review, accepted terminology, license clearance, gate promotion, or completion claim"
"fa_IR/fa_iut_mathematics_curriculum_field_galois_syllabus.pdftotext.txt","fa_IR","Persian/Farsi (Iran)","OCR_witness_text_extraction_not_source_truth","OCR-witness","IUT mathematics curriculum field/Galois syllabus","https://mathdept.iut.ac.ir/sites/mathdept/files/Site/%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87%20%D8%B3%D9%87%20%D9%81%D8%B5%D9%84%DB%8C%20%D8%AF%D8%A7%D9%86%D8%B4%DA%A9%D8%AF%D9%87%D9%94%20%D8%B1%DB%8C%D8%A7%D8%B6%DB%8C_2.pdf","fa_IR/fa_iut_mathematics_curriculum_field_galois_syllabus.pdftotext.txt","782283","0C9DDD45EDABB82285882DFBF617B085BC5CDAED7FBD80D126F2A24A98610E66","university-hosted curriculum PDF; no license clearance claimed","copied from existing lane cache or generated package sidecar","does not authorize any other language bucket; no native review, accepted terminology, license clearance, gate promotion, or completion claim"
"fa_IR/fa_kntu_foundations_of_algebra_course_guide.pdf","fa_IR","Persian/Farsi (Iran)","native_source_body_pdf","native-source-body","KNTU Foundations of Algebra course guide","https://kntu.ac.ir/dorsapax/userfiles/file/FoundationsofAlgebra.pdf","fa_IR/fa_kntu_foundations_of_algebra_course_guide.pdf","71814","85DF283F559FB9F81406712A12A6C164A1937E9DAAFD3C4A0AB47FDF2D49C125","university-hosted PDF; no open license found","copied from existing lane cache or generated package sidecar","does not authorize any other language bucket; no native review, accepted terminology, license clearance, gate promotion, or completion claim"
"fa_IR/fa_kntu_foundations_of_algebra_course_guide.pdftotext.txt","fa_IR","Persian/Farsi (Iran)","OCR_witness_text_extraction_not_source_truth","OCR-witness","KNTU Foundations of Algebra course guide","https://kntu.ac.ir/dorsapax/userfiles/file/FoundationsofAlgebra.pdf","fa_IR/fa_kntu_foundations_of_algebra_course_guide.pdftotext.txt","3231","D67534E478145A9EF2BE83AD51C2D9AAEE53F4A206AF1F4F4702BF145E844582","university-hosted PDF; no open license found","copied from existing lane cache or generated package sidecar","does not authorize any other language bucket; no native review, accepted terminology, license clearance, gate promotion, or completion claim"
"fa_IR/fa_linear_algebra_3blue1brown_tex_source_master.zip","fa_IR","Persian/Farsi (Iran)","native_source_archive","native-source-body","Persian 3Blue1Brown linear algebra TeX source archive","https://github.com/SireJeff/linear-algebra-3blue1brown-notes","fa_IR/fa_linear_algebra_3blue1brown_tex_source_master.zip","2006520","4D93CE90754B28ECC743CE5BB1ED62F0325F99A38D52E90DECC10DD1C3FFF59C","public GitHub source archive; README educational-use signal; no standard open license found","copied from existing lane cache or generated package sidecar","does not authorize any other language bucket; no native review, accepted terminology, license clearance, gate promotion, or completion claim"
