check_id,source_lines,item_class,selected_target_representation,comparison_result,editorial_action,status
FS-I04-001,800-804,section label title notice and note,same section division and note attachment,structure preserved,translate without candidate-added qualification,pass_independent
FS-I04-002,806-822,Definition I.4.1 parts a-b and maps,same theorem type item order map roles and logical conjunctions,structure formulas and terminology relation preserved,declare historical net and modern unramified relation,pass_independent
FS-I04-003,824-849,I.4.2-I.4.4 completions and residue fields,same hierarchy map directions and explicit OR hypothesis,formulas and logic preserved,omit the TeX-mislocated page marker,pass_independent
FS-I04-004,851-862,I.3.7 reference and I.4.5 open locus,same reference theorem type and scope,structure preserved,avoid false friends without changing the assertion,pass_independent
FS-I04-005,863-878,I.4.6 items i-iii and printed p.5,same item hierarchy complete base-change assertion and marker before proof,structure preserved and pagination source-corrected,use original-print boundary,pass_independent
FS-I04-006,879-895,I.4.7-I.4.8 graph target and projection,same hierarchy typed graph target projection target and base-change roles,formulas and factorization preserved,keep Cartesian product distinct from explicit fiber products,pass_independent
FS-I04-007,896-916,I.4.9 fiber algebra and source index entries,same theorem type fiber formula finite-product structure and explicit index debt,formula and algebra type preserved,use source-internal cross-check for product wording,pass_independent
FS-I04-008,918-940,I.4.10 trace pairing and discriminant,same hierarchy degree trace corrected dual target exterior powers and unit ideal,all structure preserved with one type-forced correction,disclose the shared source defect immediately,source_defect_disclosed_independent_pass
FS-I04-009,942-951,unnumbered remark and p.6,plain Remark paragraph with marker before heading,theorem form and original pagination preserved,do not render the environment suffix as visible text,pass_independent
FS-I04-010,952,§I.5 heading boundary,current reader ends before line 952,unit boundary exact,do not absorb I.5 into I.4,cursor_fixed_independent_pass
