"check_id","source_lines","source_item","english_item","comparison_result","editorial_action","status"
"FS-I05-001","952-974","section I.5 and Theorem I.5.1; open immersion if and only if étale and radicial; definition and two-proof notice","same label theorem type bidirectional logic terminology definition and proof count","structure logic and terminology preserved","expand fets as necessary and sufficient; use active corrected on branch","closed_independent_pass"
"FS-I05-002","976-990","proof 1; Y replaced by f(X); f flat radicial surjective; homeomorphism closed proper finite; coherent B rank one","same ordered implication chain and mathematical objects","proof dependency chain preserved","use active f and fermé branches and supply the context-forced target Y after homeomorphism","closed_independent_pass"
"FS-I05-003","992-1007","proof 2; Spec(A) Spec(B); f inverse y; widehat A; B tensor_A widehat A; O_x; X equals Y disjoint-union X-prime","same affine completion local-ring and disjoint-union formulas in the same order","all formulas and reduction steps preserved","render hats and tensor subscripts as TeX; omit enlargethispage as layout-only","closed_independent_pass"
"FS-I05-004","1008-1015","Corollary I.5.2 and one-sentence deduction","same theorem type label hypotheses conclusion and open-immersion deduction","structure preserved","retain onto a connected component rather than a weaker image phrase","closed_independent_pass"
"FS-I05-005","1017-1036","page 7; Corollary I.5.3; components Xi; Xi to Y; source says surjective and radicial; I.5.1 I.5.2 I.4.8 references","same page boundary theorem type component maps and references; target adds the missing étale hypothesis required by I.5.1 and discloses the shared French and original-print defect","structure maps and cross-references preserved with one logically forced correction","use running unramified; render the equivalent criterion as surjective étale and radicial; retain a counterexample-backed source-defect footnote","closed_source_defect_corrected_disclosed_independent_pass"
"FS-I05-006","1038-1049","Corollary I.5.4; f and g from Y to X; kappa(x) to kappa(y); X times_S Y","same hypotheses map directions residue fields conclusion and reduction product","formulas structure and logical dependencies preserved","retain prescheme and geometric-coincidence parenthetical","closed_independent_pass"
"FS-I05-007","1051-1069","Theorem I.5.5; X0 equals X times_S S0; Y0 equals Y times_S S0; Hom_S(Y,X) to Hom_{S0}(Y0,X0)","same theorem type label restriction formulas variance and bijectivity","formula directions and categorical variance preserved","reject target-argument reversal and source-external strengthening","closed_independent_pass"
"FS-I05-008","1071-1083","unnumbered Scholium; functor X maps to X0; fully faithful; equivalence with full subcategory; later equivalence","same unnumbered form functor direction and categorical assertions","complete structure and emphases preserved","do not replace the Scholium with a duplicate theorem statement","closed_independent_pass"
"FS-I05-009","1085-1113","page 8; titled Corollary I.5.6; xymatrix X left-arrow Y0 and S left-arrow Y with vertical arrows; unique Y to X","same printed boundary title theorem type four arrow directions and uniqueness conclusion","diagram structure and reduction preserved","render as a TeX array without flattening or reversing arrows","closed_independent_pass"
"FS-I05-010","1115-1139","Proposition I.5.7; X and X-prime flat finite type over Y; g; three tensor-fiber expressions; I.5.1 and I.5.9","same theorem type label hypotheses formula directions iff logic and proof references","formula hierarchy and dependencies preserved","correct source grammar type finis to finite type and retain corrected donnée sense","closed_independent_pass"
"FS-I05-011","1141-1151","Corollary I.5.8; editorial move note; g tensor_Y kappa(y); residue field k(g(x)); quasi-finite and net alternatives","same theorem type label note fiber formula point locators and alternatives","structure and formula preserved with normalized terminology","use unramified and kappa(g(x)); retain the editorial note","closed_independent_pass"
"FS-I05-012","1153-1166","page 9; Corollary I.5.9; flat or étale criterion for g tensor_Y kappa(y); Exposé IV 5.9 footnote","same boundary theorem type hypotheses alternatives formula and footnote","formula note and cross-volume locator preserved","write the external locator as text so the bounded document has no undefined label","closed_independent_pass"
"FS-I05-013","1168","section I.6 heading and label begin the next source unit","draft ends before line 1168 and cumulative status names line 1168 as excluded","unit boundary exact","do not absorb I.6 into I.5","cursor_fixed_independent_pass"
