ordinal,commit,subject,origin_head_at_packet,non_claim_boundary
1,c4304bfd,Add 9CFC CJK Arabic and 86D route batch,c4304bfd57070f0340bfe5dce9b9f44976c076b4,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, public/native signoff, visual inventory, term spine, sign rendering, or translation completion claim."
2,45250d8f,Add D9 Non-Slavic route and C0 repair,c4304bfd57070f0340bfe5dce9b9f44976c076b4,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, public/native signoff, visual inventory, term spine, sign rendering, or translation completion claim."
3,86d260cd,Add D9 OLP interlinear terminology heartbeat,c4304bfd57070f0340bfe5dce9b9f44976c076b4,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, public/native signoff, visual inventory, term spine, sign rendering, or translation completion claim."
4,9cfcf1ac,Add D9 R9 Interlanguage heartbeat recovery batch,c4304bfd57070f0340bfe5dce9b9f44976c076b4,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, public/native signoff, visual inventory, term spine, sign rendering, or translation completion claim."
5,d9ea29b0,Add C0CB Slavic OLP Interlanguage Persianate batch,c4304bfd57070f0340bfe5dce9b9f44976c076b4,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, public/native signoff, visual inventory, term spine, sign rendering, or translation completion claim."
6,c0cb1db1,Add Persianate Tajik 28019 frontier correction return,c4304bfd57070f0340bfe5dce9b9f44976c076b4,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, public/native signoff, visual inventory, term spine, sign rendering, or translation completion claim."
7,68e4432b,Add Non-Slavic 86B2 multilane R9 wake route,c4304bfd57070f0340bfe5dce9b9f44976c076b4,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, public/native signoff, visual inventory, term spine, sign rendering, or translation completion claim."
8,86b2acb6,Add 28019 CJK R2 Non-Slavic multilane frontier batch,c4304bfd57070f0340bfe5dce9b9f44976c076b4,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, public/native signoff, visual inventory, term spine, sign rendering, or translation completion claim."
9,28019a34,Add 9737 same-frontier local returns batch,c4304bfd57070f0340bfe5dce9b9f44976c076b4,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, public/native signoff, visual inventory, term spine, sign rendering, or translation completion claim."
10,94419346,Add 9737 CJK Interlanguage R2 R9 recovery batch,c4304bfd57070f0340bfe5dce9b9f44976c076b4,"CJK native/source evidence, source-use, codepoint, and gap recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, pan-CJK authority, Korean-school authority, public/native signoff, visual inventory, term spine, sign rendering, or translation completion claim."
