"control_id","record_revision","supersedes_id","evidence_class","role","locator","sha256","bytes","authority_status","confidence","notes"
"N04-S05-CTRL-001","1","","authority_control","current editable German authority","Noether_R823_cum_de.tex lines 3953-4043","EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21","2125031","primary editable authority","high","full cumulative file; bounded slice receipt is separate"
"N04-S05-CTRL-002","1","","authority_control","bounded R823 source slice receipt","lines 3953-4043 inclusive; UTF-8 CRLF joined with terminal CRLF","0E4BE8E32B627CA031D5C773C9DAD61EA0E593EEA0AF49B9F61830B184561B1B","8808","derived control receipt","high","source slice is not duplicated in this working directory"
"N04-S05-CTRL-003","1","","authority_control","original-print scan","paper_04_crelle139_pp118_154_ORIGINAL.pdf physical pp17-21","D7F7CE6D4B311FFD968ED47DC9C1478CFFCF9F446A86BF90263E0C9D1B41C9EF","72444867","historical printed-symbol and boundary control","high","whole 38-page Paper 4 scan"
"N04-S05-CTRL-004","1","","comparison_control","inherited English comparison witness","Paper04 English inherited lines 769-856","200C9F9115C22D93455A3B7AA372687059E539C6D01959D30EEB25BBEEFFE722","109132","comparison only","high","cannot override German controls; contains formula regressions"
"N04-S05-CTRL-005","1","","comparison_control","bounded inherited-English slice receipt","lines 769-856 inclusive; UTF-8 CRLF joined with terminal CRLF","26C226280C17043FDE67DBE775C691D9A52D36F55FADC76B46C184B2058D6AF0","8311","derived comparison receipt","high","comparison slice is not duplicated in this working directory"
"N04-S05-CTRL-006","1","","scan_evidence_control","printed p134 complete render","excluded source-control render receipt: printed p134 complete 300-dpi render","57DC9CE2C9960B2ADCFA37736E73EBB9FE412818A22CCE30EBADBF0EC5A99748","1279160","derived 300-dpi scan evidence","high","includes section boundary and relation 32"
"N04-S05-CTRL-007","1","","scan_evidence_control","printed p135 complete render","excluded source-control render receipt: printed p135 complete 300-dpi render","2714B0C8DA956E4469833F762058CEE15F9B3D98450A56F2117FC1FC12C78519","1398524","derived 300-dpi scan evidence","high","includes relations 33-36"
"N04-S05-CTRL-008","1","","scan_evidence_control","printed p136 complete render","excluded source-control render receipt: printed p136 complete 300-dpi render","F6BBB5DB830091A286405B13C5235378654DA3DB0E86DD2E3ED2257D9D488C4F","1548495","derived 300-dpi scan evidence","high","includes relation 37 Clebsch note and relation 38"
"N04-S05-CTRL-009","1","","scan_evidence_control","printed p137 complete render","excluded source-control render receipt: printed p137 complete 300-dpi render","0F4679043AD91CDE56603946C18B9D1C4E309D10FDFDB964067B5B1CDFDBD000","1406772","derived 300-dpi scan evidence","high","includes relation 39 conclusion and section 6 heading"
"N04-S05-CTRL-010","1","","scan_evidence_control","printed p138 boundary render","excluded source-control render receipt: printed p138 boundary 300-dpi render","37B7215373D820BD213ACEC8FC1D235F8B3C564625B5C4067555E9312217984F","1644045","derived 300-dpi boundary evidence","high","section 6 body only; excluded from section 5 target"
"N04-S05-CTRL-011","1","","scan_evidence_control","printed p135 high-resolution complete render","excluded source-control render receipt: printed p135 complete 600-dpi render","C127BF97B551835590387D48BCA7065AC39332B411A603353136E366DB9AA067","5513004","derived 600-dpi scan evidence","high","complete page used to confirm equation 35 context"
"N04-S05-CTRL-012","1","","scan_evidence_control","equation 35 focused crop","excluded source-control crop receipt: equation 35 at 600 dpi","661A6006C42E6D3035D228A0492E0E7A0FA6F3AD54ED4D0B8FD798C5CD7AA3A8","410886","derived 600-dpi scan evidence","high","shows both historical alpha component indices and complementary R index"
"N04-S05-CTRL-013","1","","coordination_control","shared equation 35 editorial-delta alert","excluded cross-language source-governance notice receipt: equation 35 editorial delta","575858ED2D73BD9AC5D97A923B8200CF8014C26E357E56AD3440747D1E6BA0B5","4668","durable cross-language coordination evidence","high","cross-language notice recorded; shared source not mutated"
"N04-S05-CTRL-009","2","N04-S05-CTRL-009@1","scan_evidence_control","printed p137 complete render","excluded source-control render receipt: printed p137 complete 300-dpi render","0F4679043AD91CDE56603946C18B9D1C4E309D10FDFDB964067B5B1CDFDBD000","1406772","derived 300-dpi scan evidence","high","confirms post-38 defect alpha linear-form identity sign relation39 conclusion and section6 heading"
"N04-S05-CTRL-014","1","","scan_evidence_control","printed p137 focused crop","excluded source-control crop receipt: printed p137 focused check","18C29763A189B1C1F4C7DE171AA7FD073D9DD4FBD2E74FE9D78FA29A00C35BC3","289596","derived focused scan evidence","high","confirms post-38 defect alpha and linear-form identity sign"
"N04-S05-CTRL-015","1","","coordination_control","shared post-38 defect alpha-rho editorial-delta addendum","excluded cross-language source-governance notice receipt: post-relation-38 defect parameter","D6B15E5077AA6C7B14975250B369450F3917E9ABB7D2D497294635568BF3F992","2580","durable cross-language coordination evidence","high","preserves prior notice history; shared source not mutated"
"N04-S05-CTRL-016","1","","coordination_control","shared linear-form identity-sign editorial-delta addendum","excluded cross-language source-governance notice receipt: linear-form identity sign","71FF1A5B3C5C93BC3461795DCB2CD132A27628C0B043C311B0955E3BFB91ED2F","2689","durable cross-language coordination evidence","high","preserves prior notice history; shared source not mutated"
