"comparison_id","record_revision","supersedes_id","evidence_class","object_type","source_locator","printed_page","target_locator","critical_controls","status","confidence","notes"
"N04-S05-CMP-001","1","","formula_comparison","numbered relation 32","R823 lines 3955-3961","134","tag 32","q-rho A-sigma pairing; y-one through y-rho-plus-sigma; i-rho range; epsilon sign; complementary A pairing","pass","high","original scan checked; literal source summation retained"
"N04-S05-CMP-002","1","","formula_comparison","product-matrix determinant display","R823 lines 3962-3965","134","unnumbered display after tag 32","rho v-y factors followed by sigma a-y factors and leading signed sum","pass","high","original scan checked"
"N04-S05-CMP-003","1","","formula_comparison","numbered relation 33","R823 lines 3969-3974","135","tag 33","ordinary factor R-rho-minus-alpha p-n-minus-rho-plus-alpha multiplied by separate R-p pairing","pass_with_inherited_grouping_correction","high","inherited comparison incorrectly merges the two factors"
"N04-S05-CMP-004","1","","formula_comparison","numbered relation 34","R823 lines 3976-3986","135","tag 34","first two lines ordinary first factor times paired second factor; third and fourth lines pairings; epsilon retained","pass_with_inherited_grouping_corrections","high","both inherited first-line groupings rejected"
"N04-S05-CMP-005","1","","formula_comparison","numbered relation 35","R823 lines 3988-3993 versus original printed p135","135","tag 35 and target editorial note","lambda lower and upper component indices; first complementary R subscript rho-one-plus-sigma-one-minus-alpha-minus-lambda; second denominator p-tau-one C-tau-minus-tau-one","pass_with_print_editable_delta_disclosed_and_inherited_index_correction","high","R823 coordinated editorial reading retained; print alpha reading and inherited rho-for-rho-one regression separately recorded"
"N04-S05-CMP-006","1","","theorem_formula_comparison","Theorem III and numbered relation 36","R823 lines 3996-4005","135-136","Theorem III tag 36 and following clause","combined lower endpoints zero and tau-minus-sigma; upper endpoints tau and rho; epsilon; R rows; exhaustion claim","pass","high","literal paired endpoints retained and decoded in target prose"
"N04-S05-CMP-007","1","","theorem_structure_comparison","Theorem III supporting argument","R823 line 4007","136","proof paragraph after tag 36","generality; nonexistence of further identities; reductions through 20 20a 25 36; special cases tau-one rho-one","pass","high","complete paragraph checked against print"
"N04-S05-CMP-008","1","","formula_comparison","numbered relation 37","R823 lines 4010-4018","136","tag 37","antisymmetric left side; combined alpha upper endpoints sigma and n-minus-sigma; Pi pairing; primes preserved","pass","high","literal combined upper endpoint retained"
"N04-S05-CMP-009","1","","note_comparison","Clebsch footnote","R823 line 4019","136","source footnote after relation 37","pages 25-32; dependence only on A B; application of 32 to Phi-h","pass","high","one source note preserved as source note"
"N04-S05-CMP-010","1","","formula_comparison","numbered relation 38","R823 lines 4020-4027","136","tag 38","no epsilon factor; braced sum to rho power; A and B factors; rho source-literal endpoint list","pass_with_inherited_epsilon_correction","high","inherited comparison inserts epsilon absent from R823 and print"
"N04-S05-CMP-011","1","","formula_structure_comparison","combined-bound explanations","R823 lines 4001 4014 4021 4025 4036","135-137","prose after tags 36 and 38","paired endpoints mean larger lower and smaller upper values; rho range ends at smaller m n","pass","high","source-literal formulas retained with explicit English decoding"
"N04-S05-CMP-012","1","","formula_comparison","numbered relation 39","R823 lines 4031-4040","137","tag 39","identical first expression on both sides; negative-one powers; combined alpha upper endpoints; Pi pairing","pass","high","original scan checked"
"N04-S05-CMP-013","1","","structure_comparison","closing consequences and boundary","R823 lines 4041-4045","137-138","two final paragraphs and excluded section 6 heading","odd defect consequence; linear-form consequence; extension beyond conditions 12; exact boundary","pass","high","physical page21 checked as boundary only"
"N04-S05-CMP-014","1","","note_comparison","source and editorial notes","R823 lines 3953-4043","134-137","entire target","one Clebsch source note and one target editorial equation-35 disclosure","pass","high","editorial note is explicitly not represented as a source note"
"N04-S05-CMP-013","2","N04-S05-CMP-013@1","structure_comparison","closing consequences and boundary","R823 lines 4041-4045 versus original printed p137","137-138","linear-form consequence final paragraph and excluded section 6 heading","linear-form identity sign differs in print and R823; odd-defect consequence; extension beyond conditions 12; exact boundary","pass_with_identity_sign_editorial_delta_disclosed","high","R823 ordinary equality retained; print identity sign disclosed; physical page21 checked as boundary only"
"N04-S05-CMP-014","2","N04-S05-CMP-014@1","note_comparison","source and editorial notes","R823 lines 3953-4043","134-137","entire target","one Clebsch source note and three immediate target editorial disclosures","pass","high","equation-35 post-38 defect-parameter and linear-form identity-sign editorial notes are explicitly distinguished from the source note"
"N04-S05-CMP-015","1","","prose_symbol_comparison","post-relation-38 defect parameter","R823 line 4028 versus original printed p137 physical p20","137","sentence immediately after tag 38 and target disclosure footnote","print defect alpha; R823 defect rho; rho is relation-38 outer exponent and range parameter","pass_with_print_editable_delta_disclosed","high","R823 contextually coherent rho retained without classifying print alpha as a proved mathematical defect"
"N04-S05-CMP-016","1","","prose_symbol_comparison","linear-form identity sign","R823 line 4041 versus original printed p137 physical p20","137","linear-form consequence after tag 39 and target disclosure footnote","print identity sign; R823 ordinary equality","pass_with_print_editable_notation_delta_disclosed","high","R823 equality retained; historical identity sign disclosed without certifying semantic interchangeability"
