"root","relative_path","manifest_bytes","actual_bytes","manifest_sha","actual_sha","ok"
"NON_SLAVIC_CORE_D8FDB95A_7A_MANIFEST_REFRESH_ROUTE_20260707","B3_HANDOFF_READY_D8FD.md","866","866","737150159C5A8141E4784E74634D5B272E2D583D2592D55DC0093B02A53ED176","737150159C5A8141E4784E74634D5B272E2D583D2592D55DC0093B02A53ED176","True"
"NON_SLAVIC_CORE_D8FDB95A_7A_MANIFEST_REFRESH_ROUTE_20260707","B3_HANDOFF_SENT_D8FD.md","828","828","5511796050E90FE84CC31E7A1840F974CA21BFF858AE08CD3E6B703E641DC2C4","5511796050E90FE84CC31E7A1840F974CA21BFF858AE08CD3E6B703E641DC2C4","True"
"NON_SLAVIC_CORE_D8FDB95A_7A_MANIFEST_REFRESH_ROUTE_20260707","BRANCH_COMMITS_EE4A_TO_D8FD.csv","137","137","9C278417F9C26136D506BEF22B5FB447A5412ED537BCF5956A1F28AF78CB84F0","9C278417F9C26136D506BEF22B5FB447A5412ED537BCF5956A1F28AF78CB84F0","True"
"NON_SLAVIC_CORE_D8FDB95A_7A_MANIFEST_REFRESH_ROUTE_20260707","BRANCH_COMPARE_EE4A_TO_D8FD.csv","1766","1766","46F55BEB302A45F25207E61AFBCAA888880581028134AFDCB234634B0E8F9B3A","46F55BEB302A45F25207E61AFBCAA888880581028134AFDCB234634B0E8F9B3A","True"
"NON_SLAVIC_CORE_D8FDB95A_7A_MANIFEST_REFRESH_ROUTE_20260707","EXACT_BLOCKERS_AND_RECOVERY_ROWS_D8FD.csv","538","538","6571D36BC323F7FBB33CAFDCE9D06D45F1A5224877B44F659B1A3AA531202C8E","6571D36BC323F7FBB33CAFDCE9D06D45F1A5224877B44F659B1A3AA531202C8E","True"
"NON_SLAVIC_CORE_D8FDB95A_7A_MANIFEST_REFRESH_ROUTE_20260707","README.md","792","792","2C8C1C40E26F271C98BE48854F6ADFE647F1FD84E41862267E48D3F2355705AF","2C8C1C40E26F271C98BE48854F6ADFE647F1FD84E41862267E48D3F2355705AF","True"
"NON_SLAVIC_CORE_D8FDB95A_7A_MANIFEST_REFRESH_ROUTE_20260707","ROUTE_SUMMARY_D8FD.csv","3188","3188","5CE50EF4BEC4B652C404DBD8CA3952EC10BA5D97F92F5794FA657683FDAB3328","5CE50EF4BEC4B652C404DBD8CA3952EC10BA5D97F92F5794FA657683FDAB3328","True"
"NON_SLAVIC_CORE_D8FDB95A_7A_MANIFEST_REFRESH_ROUTE_20260707","SUMMARY.json","894","894","530A05D1E2506B24E399A3990B11BF0F9E4580C325E46EB39A1015035D6B5AB9","530A05D1E2506B24E399A3990B11BF0F9E4580C325E46EB39A1015035D6B5AB9","True"
"R3_7A7576C3_EF53_BRANCH_VISIBILITY_SOURCE_USE_GAP_AUDIT_20260707_20260706T221059Z","B3_UPLOADER_READY_SUMMARY.csv","829","829","8CBBD651E9F7A47C374FA164E874C3C237603BC3D81A99CB8863E928773B84EA","8CBBD651E9F7A47C374FA164E874C3C237603BC3D81A99CB8863E928773B84EA","True"
"R3_7A7576C3_EF53_BRANCH_VISIBILITY_SOURCE_USE_GAP_AUDIT_20260707_20260706T221059Z","carried-forward-ef53-source-use-gap\B3_UPLOADER_READY_SUMMARY.csv","865","865","092AAEADB9E15CBB41FED0F8A7B80BDBD69E41FFE0FD7FF93ABBDB795444E6F9","092AAEADB9E15CBB41FED0F8A7B80BDBD69E41FFE0FD7FF93ABBDB795444E6F9","True"
"R3_7A7576C3_EF53_BRANCH_VISIBILITY_SOURCE_USE_GAP_AUDIT_20260707_20260706T221059Z","carried-forward-ef53-source-use-gap\R3_EF53A7CC_BLOCKERS_AND_RECOVERY_ROWS.csv","820","820","89893FCC952BD5EDA06CD1A80ED42CF40230CA2402870C8F1269D435C175BDC3","89893FCC952BD5EDA06CD1A80ED42CF40230CA2402870C8F1269D435C175BDC3","True"
"R3_7A7576C3_EF53_BRANCH_VISIBILITY_SOURCE_USE_GAP_AUDIT_20260707_20260706T221059Z","carried-forward-ef53-source-use-gap\R3_EF53A7CC_FABLE_ADVERSE_DO_NOT_USE_LEDGER.csv","614","614","D3BEAB3919A4CE482398C9C1982DCBAB7239FAFFB955C4AC5563E21F3C63C0C5","D3BEAB3919A4CE482398C9C1982DCBAB7239FAFFB955C4AC5563E21F3C63C0C5","True"
"R3_7A7576C3_EF53_BRANCH_VISIBILITY_SOURCE_USE_GAP_AUDIT_20260707_20260706T221059Z","carried-forward-ef53-source-use-gap\R3_EF53A7CC_INCOMING_WAKE_DRIFT_ROWS.csv","667","667","71B95AF6E29C95AAAA061490F4AB34E48E1220613EBE7C4D797D5320870C325E","71B95AF6E29C95AAAA061490F4AB34E48E1220613EBE7C4D797D5320870C325E","True"
"R3_7A7576C3_EF53_BRANCH_VISIBILITY_SOURCE_USE_GAP_AUDIT_20260707_20260706T221059Z","carried-forward-ef53-source-use-gap\R3_EF53A7CC_SOURCE_USE_FACT_CHANGE_AUDIT.csv","991","991","2E9C1D6942FF529EED41FB6CB11C880DF771990CE687115199069E26AE106BF0","2E9C1D6942FF529EED41FB6CB11C880DF771990CE687115199069E26AE106BF0","True"
"R3_7A7576C3_EF53_BRANCH_VISIBILITY_SOURCE_USE_GAP_AUDIT_20260707_20260706T221059Z","PACKAGE_VALIDATION.json","1111","1111","072F67A2384F05495E1E0253FAE9E6D518C50973E43DE7FB0454F1DB85CB9F19","072F67A2384F05495E1E0253FAE9E6D518C50973E43DE7FB0454F1DB85CB9F19","True"
"R3_7A7576C3_EF53_BRANCH_VISIBILITY_SOURCE_USE_GAP_AUDIT_20260707_20260706T221059Z","R3_7A7576C3_BLOCKERS_AND_RECOVERY_ROWS.csv","864","864","B10631B8DF5A90C3018F5FBF93301E97D23CE89D9BBC066403D0525D57F74885","B10631B8DF5A90C3018F5FBF93301E97D23CE89D9BBC066403D0525D57F74885","True"
"R3_7A7576C3_EF53_BRANCH_VISIBILITY_SOURCE_USE_GAP_AUDIT_20260707_20260706T221059Z","R3_7A7576C3_BRANCH_COMMITS_FROM_EF53.csv","128","128","E10F8634F9CD6BB7BF37D524323D94B77265B63A1E6975CD5912F3B72855A85C","E10F8634F9CD6BB7BF37D524323D94B77265B63A1E6975CD5912F3B72855A85C","True"
"R3_7A7576C3_EF53_BRANCH_VISIBILITY_SOURCE_USE_GAP_AUDIT_20260707_20260706T221059Z","R3_7A7576C3_BRANCH_DELTA_FROM_EF53.csv","22461","22461","CAA5B689D46781A2D927E14E066320A524881E236CD49CD5B03AB866342EA58E","CAA5B689D46781A2D927E14E066320A524881E236CD49CD5B03AB866342EA58E","True"
"R3_7A7576C3_EF53_BRANCH_VISIBILITY_SOURCE_USE_GAP_AUDIT_20260707_20260706T221059Z","R3_7A7576C3_BRANCH_VISIBLE_5C87-CURRENT_MANIFEST_ROWS.csv","2666","2666","75548FA6CCA13C6CEA3DDD41B1FE85BF2E0C4D18841339F482E3127CA6B0B593","75548FA6CCA13C6CEA3DDD41B1FE85BF2E0C4D18841339F482E3127CA6B0B593","True"
"R3_7A7576C3_EF53_BRANCH_VISIBILITY_SOURCE_USE_GAP_AUDIT_20260707_20260706T221059Z","R3_7A7576C3_BRANCH_VISIBLE_5C87-DEDUP_MANIFEST_ROWS.csv","2161","2161","1F0BE2FDEA360E010A2E60CF4DF993AEC3CEEA20297C2692668FC9A9C37E6D53","1F0BE2FDEA360E010A2E60CF4DF993AEC3CEEA20297C2692668FC9A9C37E6D53","True"
"R3_7A7576C3_EF53_BRANCH_VISIBILITY_SOURCE_USE_GAP_AUDIT_20260707_20260706T221059Z","R3_7A7576C3_BRANCH_VISIBLE_R3_PACKET_HASH_CHECK.csv","16418","16418","A1F7775B86C3C92E3FFAA46FBFC5698EAC91053560F9D08CB4F8EF37141EFA5D","A1F7775B86C3C92E3FFAA46FBFC5698EAC91053560F9D08CB4F8EF37141EFA5D","True"
