decision_id,evidence_class,authority_role,unit_id,source_term_or_delta,source_locator,target_locator,chosen_english_or_action,normalization_class,adverse_delta,rejected_alternative,motivation,status,confidence,record_revision,continuation_cursor,revisit_condition
SGA2-VIII-P14S-TERM-001,terminology,corrected_french_tex,SGA2-VIII-P14S,complexe limite a gauche,French line2573,Proposition1.4 opening,left-bounded complex,source_close_homological_register,possible convention ambiguity,bounded complex,explicit source condition removes ambiguity and parent scope requests left-bounded,production_choice_applied_self_review_pending,high,1,French source line2583 after blank line2582,SGA-wide homological register revision
SGA2-VIII-P14S-TERM-002,terminology,corrected_french_tex,SGA2-VIII-P14S,admet une resolution injective,French line2573,first sentence,admits an injective resolution,SGA_wide_register,none,has an injective replacement,retain source theorem terminology linked to Definition1.3,production_choice_applied_self_review_pending,high,1,French source line2583 after blank line2582,SGA-wide register revision
SGA2-VIII-P14S-TERM-003,terminology,corrected_french_tex,SGA2-VIII-P14S,homomorphisme de complexes,French lines2573-2574,morphism hypotheses and lift,homomorphism of complexes,source_close_register,none,chain map,preserve the source and current Expose VIII register,production_choice_applied_self_review_pending,high,1,French source line2583 after blank line2582,SGA-wide register revision
SGA2-VIII-P14S-TERM-004,terminology,corrected_french_tex,SGA2-VIII-P14S,unique a homotopie pres,French line2575,uniqueness clause,unique up to homotopy,SGA_wide_register,none,homotopically unique,standard concise English phrase and exact qualification,production_choice_applied_self_review_pending,high,1,French source line2583 after blank line2582,independent homological review
SGA2-VIII-P14S-TERM-005,terminology,corrected_french_tex,SGA2-VIII-P14S,commutatif a homotopie pres,French line2580,closing sentence,commutes up to homotopy,standard_mathematical_English,none,is homotopy commutative without a verb,preserve diagram action and non-strict qualification,production_choice_applied_self_review_pending,high,1,French source line2583 after blank line2582,independent diagram review
SGA2-VIII-P14S-TERM-006,notation_policy,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P14S,CX CY and Cu,French lines2573-2579 plus physical76-77,resolution lift and diagram formulas,retain concatenated source notation,source_notation_preservation,candidate changes all three to subscripts,C-sub-X C-sub-Y and C-sub-u,no French defect or authority correction supports the candidate rewrite,production_choice_applied_self_review_pending,high,1,French source line2583 after blank line2582,independent notation review or French authority correction
SGA2-VIII-P14S-TERM-007,comparison_policy,comparison_only_not_authority,SGA2-VIII-P14S,both left-bounded,jcreinhold lines126-129,parenthetical morphism hypothesis,accept the explicit both qualifier,comparison_beneficial_clarification,none,leave plural scope implicit,the French plural already applies to both complexes and the clarification changes no mathematics,comparison_choice_applied_after_source_match,high,1,French source line2583 after blank line2582,independent prose review
SGA2-VIII-P14S-TERM-008,diagram_policy,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P14S,xymatrix square,French lines2576-2579 plus physical77,target commutative square,use editable AMSCD diagram preserving every node label and direction,source_structure_preservation,candidate uses plain ASCII witness,copy ASCII art into TeX,typeset diagram is editable compilable and visually matches the authority structure,production_choice_applied_self_review_pending,high,1,French source line2583 after blank line2582,target toolchain change or independent diagram review
SGA2-VIII-P14S-TERM-009,boundary_policy,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P14S,demonstration laissee au lecteur,French line2583 and physical77,excluded continuation,exclude proof comment and footnote,exact_bounded_scope,none,include sentence because it is short,parent assigned lines2573-2581 only and line2583 begins proof material,production_boundary_choice_applied_self_review_pending,high,1,French source line2583 after blank line2582,scope reassignment
SGA2-VIII-P14S-TERM-010,independent_notation_and_diagram_confirmation,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P14S-QA,CX CY Cu and homotopy-commutative square,French lines2573-2580 plus physical76-77,final proposition statement,retain source CX CY Cu notation and editable AMSCD square with qualified homotopy commutativity,source_notation_and_structure_preservation,candidate substitutes C-sub-X C-sub-Y C-sub-u and ASCII layout,adopt candidate subscripts or flatten the square,the authority prints unsubscripted composition notation and a four-arrow square; independent inspection confirms the target exactly preserves both,applied_and_independently_confirmed,high,1,French source line2583 after blank line2582,cumulative Expose VIII integration review
