"current_live_head","carried_from_packet","logged_utc","thread_id","lane","observed_status","action","result","source_use_label","boundary"
"39845e697e45bb16f191fd26a2474be29014f9e0","R2_8466D686_POST_08BC_RECOVERY_BATCH_20260706","2026-07-06T17:46:33Z","019f2b3d-6628-7243-ba7a-429e022f974b","Persianate/Tajik","active/unread plus repeated idle wake messages","wake forwarded during cycle","sent","mutual-wake coordination log","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"39845e697e45bb16f191fd26a2474be29014f9e0","R2_8466D686_POST_08BC_RECOVERY_BATCH_20260706","2026-07-06T17:46:33Z","019f2b1a-9ff1-7530-b677-82bd81bd2c83","old package steward B","idle/unread, superseded by B3","wake attempted with B3-drift audit wording","send rejected: no active turn to steer; rely on B3 active steward","mutual-wake coordination log","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"39845e697e45bb16f191fd26a2474be29014f9e0","R2_8466D686_POST_08BC_RECOVERY_BATCH_20260706","2026-07-06T17:46:33Z","019f2b1b-09a8-7861-aa25-c87b6d5adf16","CJK native/source evidence","idle/unread","wake forwarded","sent","mutual-wake coordination log","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"39845e697e45bb16f191fd26a2474be29014f9e0","R2_8466D686_POST_08BC_RECOVERY_BATCH_20260706","2026-07-06T17:46:33Z","019f2b1c-6412-7630-a8d7-11bd75a54bb9","OLP/reviewer infrastructure","idle/unread","wake forwarded twice, second dedupe-aware","sent","mutual-wake coordination log","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"39845e697e45bb16f191fd26a2474be29014f9e0","R2_8466D686_POST_08BC_RECOVERY_BATCH_20260706","2026-07-06T17:46:33Z","019f2b1a-e5f6-7603-95c8-138242581298","interlanguage method authority","idle/unread","wake forwarded","sent","mutual-wake coordination log","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"39845e697e45bb16f191fd26a2474be29014f9e0","R2_8466D686_POST_08BC_RECOVERY_BATCH_20260706","2026-07-06T17:46:33Z","019f2b3c-ba4c-7a20-adf3-b273a8b12f4c","split CJK draft/source lane","idle/unread","wake forwarded","sent","mutual-wake coordination log","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"39845e697e45bb16f191fd26a2474be29014f9e0","R2_8466D686_POST_08BC_RECOVERY_BATCH_20260706","2026-07-06T17:46:33Z","019f2b3c-6c21-7013-9928-855d3ec34bd4","Romance source-evidence/draft lane","idle/unread","wake forwarded","sent","mutual-wake coordination log","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"39845e697e45bb16f191fd26a2474be29014f9e0","R2_8466D686_POST_08BC_RECOVERY_BATCH_20260706","2026-07-06T17:46:33Z","019f2b3d-0b6a-79f3-8cf4-4ab1d84ffc0d","Arabic RTL draft/source lane","idle/unread","wake forwarded","sent","mutual-wake coordination log","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"39845e697e45bb16f191fd26a2474be29014f9e0","R2_8466D686_POST_08BC_RECOVERY_BATCH_20260706","2026-07-06T17:46:33Z","019f2b1b-b71d-7a13-8daa-f60f930faf65","R9 Africa/Horn/West","active/unread stale-preview risk","wake forwarded","sent","mutual-wake coordination log","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
"39845e697e45bb16f191fd26a2474be29014f9e0","R2_8466D686_POST_08BC_RECOVERY_BATCH_20260706","2026-07-06T17:46:33Z","019f2b1c-9b41-71b3-8924-5d774941fb10","Slavic canonical baseline","active/unread stale-preview risk","wake forwarded","sent","mutual-wake coordination log","generated-draft/noncanonical/source-use/provenance/gap only; no native-review/community-consent/accepted-terminology/approval/license-clearance/gate-promotion/source-certification/final-status/bridge-pilot/term-promotion/translation-completion"
