"file","bytes","last_write_time_utc","sha256","gate"
"NOETHER_R6_ACCESS_AUTHORITY_MAP_20260704.md","14947","2026-07-05T14:00:30.5436273Z","8ba54a57b701b5480257ce07bcc9cba20d53d6e6d72ce2fb5ea4002f752cc257","support_metadata_only_no_promotion"
"NOETHER_R6_ACCESS_SOURCE_SLICE_QUEUE_20260704.csv","22423","2026-07-05T15:21:18.1121181Z","2263cc5a7e5a887c688c9eb0de13e455535963b6be68add09fe3973912f86de8","support_metadata_only_no_promotion"
"NOETHER_R6_ACTIVE_ROW_SOURCE_SUFFICIENCY_CLASSIFICATION_20260705.csv","69575","2026-07-05T15:09:54.4285822Z","67c618341c8c521f68ef04896e647ced89e98bb50f4c7b35c6847acb62e2a00a","support_metadata_only_no_promotion"
"NOETHER_R6_ACTIVE_ROW_SOURCE_SUFFICIENCY_CLASSIFICATION_20260705.md","1336","2026-07-05T15:09:54.5060316Z","da9cb2e3fbb5d71037e9c6931ab752bb37776ef9a8b1e2ef87355e098b90bb72","support_metadata_only_no_promotion"
"NOETHER_R6_ACTIVE_SOURCE_WITNESS_GAP_TABLE_20260705.csv","65858","2026-07-05T15:21:03.4371213Z","5db1ed0e449ff56e1c02cf6876e8b5fcab849b368d0f82969cade05d0b62ddd4","support_metadata_only_no_promotion"
"NOETHER_R6_ACTIVE_SOURCE_WITNESS_GAP_TABLE_20260705.md","785","2026-07-05T15:21:03.5848406Z","fa8f43fb80a0185b336038b8f32b5dd51a10b53db30150af442233470c3f3a01","support_metadata_only_no_promotion"
"NOETHER_R6_ARUBA_PAPIAMENTO_SOURCE_ROUTE_RETRY_ADDENDUM_20260705.csv","10778","2026-07-05T00:39:21.1028075Z","663e4e25815653ec49c8121b058ef8e111c5eeaf0ae1656679b61c3129f87ef7","support_metadata_only_no_promotion"
"NOETHER_R6_ARUBA_PAPIAMENTO_SOURCE_ROUTE_RETRY_ADDENDUM_20260705.md","4051","2026-07-05T00:39:45.0900117Z","93be35dbee4f0be65ecd851e026ab84f17058c3a48ab75d823064a02a30d9dfd","support_metadata_only_no_promotion"
"NOETHER_R6_B3_PACKAGE_BOUNDARY_AUDIT_20260704.csv","48297","2026-07-05T15:23:22.3921573Z","7ca7e011d2f5922f1ade1663903dce5fb7dd1576728e1c53ce8e6388a3a8bf18","support_metadata_only_no_promotion"
"NOETHER_R6_B3_PACKAGE_BOUNDARY_AUDIT_20260704.md","4396","2026-07-05T15:23:22.9555081Z","40fff028649c9371d12827d4f2c945324ccfd12bac8da1bfe49c0b0df4d3eb11","support_metadata_only_no_promotion"
"NOETHER_R6_BISLAMA_OFFICIAL_SOURCE_RETRY_ADDENDUM_20260705.csv","12765","2026-07-04T23:48:43.6485404Z","4413d066f8850716ad4637abb607037cbed50d0cc7edb14629c6891ed0948df0","support_metadata_only_no_promotion"
