"active_row_id","target_family","language_access_target","acquisition_class","current_coverage_state","known_witness_ids","known_source_urls","known_local_paths","known_sha256s","license_access_signals","language_topic_evidence","gap_ids","required_next_source_canon_step","blocker_gap_note","blocked_outputs"
"R6-ACTIVE-002","Creole/contact","Bislama, Papiamento/Papiamentu, Mauritian/Seychellois/Indian Ocean Creoles, Sranan/Guyanas, Jamaican Creole/Patois, Nigerian Pidgin, Krio, Tok Pisin, others","source_archive_or_github_source_file_discovery_required","explicit_blocker_only","","","","","","","R6-SRCARCH-GAP-002","Kreyol, Mauritius, Krio, Tok Pisin, Nigerian Pidgin, and Cape Verdean Kriolu route/candidate-source addenda are metadata only; continue named-language mathematical source-archive discovery before any source-archive claim.","source canon insufficient for scoped draft work; keep acquisition/gap status until exact target-language source witnesses, URLs/local paths/hashes, license/access signals, and reviewer/source-owner or media gates are recorded","target rendering; term spine; accepted terminology; source-authority promotion; license clearance; translation completion; pilot; Git push"
"R6-ACTIVE-003","Creole/contact","Cape Verdean Kriolu / Belize Kriol / other T0 creole rows","exact_named_language_math_source_capture_required","explicit_blocker_only","","","","","","","R6-GAP-AUTO-003","Use NOETHER_R6_CAPE_VERDEAN_KRIOLU_SOURCE_ROUTE_ADDENDUM_20260705.csv for Cape Verdean Kriolu route/context provenance; exact Kriolu mathematics/STEM body or validated mathematical source archive, source-owner/reviewer return, and reuse decision remain required. Belize Kriol and other T0 creole rows remain separate blockers.","source canon insufficient for scoped draft work; keep acquisition/gap status until exact target-language source witnesses, URLs/local paths/hashes, license/access signals, and reviewer/source-owner or media gates are recorded","target rendering; term spine; accepted terminology; source-authority promotion; license clearance; translation completion; pilot; Git push"
"R6-ACTIVE-004","Creole/contact","Jamaican Creole / Jamaican Patois","strict_witness_context_review_and_exact_target_math_body_check_required","strict_witness_plus_explicit_blockers","R6-CR-P2-015; R6-CR-P2-016","https://moey.gov.jm/wp-content/uploads/2015/04/JECCG_Four-to-Five-Year-Old__final_intrnt.pdf || https://moey.gov.jm/wp-content/uploads/2025/06/SEP-Jamaica-Education-Project-P178595-16-JUN-2025.pdf","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\jamaica_early_childhood_curriculum_guide_4_5.pdf || C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\jamaica_education_project_sep_2025.pdf","649c98526f7979c8ae017730bb522365eea135e44da8af98d8e2999709650bdc || 2ec4e8c0e9fa78a62c01a5e76431941a3fe752346f1595dc26c354bd0f813e22","license/reuse pending; source-owner/reviewer return required","Jamaican Creole / Jamaican Patois; creole/contact; official curriculum guide mentioning Jamaican patois/creole and mathematics concepts; source-canon || Jamaican Creole / Jamaican Patois; creole/contact; current official STEM/curriculum project context; not Patois witness; source-canon","R6-GAP-AUTO-004","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot | no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot | Find Jamaican Creole/Patois math/numeracy/literacy-STEM source or reviewer route; English curriculum remains comparator only.","source canon insufficient for scoped draft work; keep acquisition/gap status until exact target-language source witnesses, URLs/local paths/hashes, license/access signals, and reviewer/source-owner or media gates are recorded","target rendering; term spine; accepted terminology; source-authority promotion; license clearance; translation completion; pilot; Git push"
"R6-ACTIVE-005","Creole/contact","Jamaican Creole/Patois","exact_named_language_math_source_capture_required","explicit_blocker_only","","","","","","","R6-GAP-AUTO-005","Find Patois STEM/numeracy witness or reviewer route.","source canon insufficient for scoped draft work; keep acquisition/gap status until exact target-language source witnesses, URLs/local paths/hashes, license/access signals, and reviewer/source-owner or media gates are recorded","target rendering; term spine; accepted terminology; source-authority promotion; license clearance; translation completion; pilot; Git push"
"R6-ACTIVE-007","Creole/contact","Kreyol/Haitian Creole","exact_named_language_math_source_capture_required","explicit_blocker_only","","","","","","","R6-GAP-AUTO-006","Use NOETHER_R6_KREYOL_MIT_AYITI_MENFP_SOURCE_ROUTE_ADDENDUM_20260705.csv for MIT-Ayiti route/context provenance; official MENFP-hosted Kreyol math body, source-owner/reviewer return, and reuse decision remain required.","source canon insufficient for scoped draft work; keep acquisition/gap status until exact target-language source witnesses, URLs/local paths/hashes, license/access signals, and reviewer/source-owner or media gates are recorded","target rendering; term spine; accepted terminology; source-authority promotion; license clearance; translation completion; pilot; Git push"
"R6-ACTIVE-008","Creole/contact","Kreyol/Haitian Creole, Bislama, Papiamento/Papiamentu, Mauritian/Seychellois/Indian Ocean Creoles, Jamaican Creole/Patois, Nigerian Pidgin, Krio, Tok Pisin, Sranan/Guyanas, and adjacent named creole/contact rows","source_archive_or_github_source_file_discovery_required","explicit_blocker_only","","","","","","","R6-GITHUB-GAP-002","Use Kreyol GitHub candidate rows, Nigerian Pidgin pcm source-file candidates, and Mauritius/Krio/Tok Pisin/Cape Verdean Kriolu official route captures as blocker metadata only; keep named creole/contact repositories separate and require file-level capture policy, license scope, mathematical content review, and reviewer/source-owner route.","source canon insufficient for scoped draft work; keep acquisition/gap status until exact target-language source witnesses, URLs/local paths/hashes, license/access signals, and reviewer/source-owner or media gates are recorded","target rendering; term spine; accepted terminology; source-authority promotion; license clearance; translation completion; pilot; Git push"
"R6-ACTIVE-009","Creole/contact","Krio","exact_named_language_math_source_capture_required","explicit_blocker_only","","","","","","","R6-GAP-AUTO-007; R6-CR-P2-019","Use NOETHER_R6_KRIO_SIERRA_LEONE_MBSSE_SOURCE_ROUTE_ADDENDUM_20260705.csv for Krio/Sierra Leone route/context provenance; exact Krio mathematics/STEM body, source-owner/reviewer return, and reuse decision remain required.","source canon insufficient for scoped draft work; keep acquisition/gap status until exact target-language source witnesses, URLs/local paths/hashes, license/access signals, and reviewer/source-owner or media gates are recorded","target rendering; term spine; accepted terminology; source-authority promotion; license clearance; translation completion; pilot; Git push"
"R6-ACTIVE-010","Creole/contact","Mauritian/Seychellois/Indian Ocean Creoles","strict_witness_context_review_and_exact_target_math_body_check_required","strict_witness_plus_explicit_blockers","R6-CR-P2-010; R6-CR-P2-011; R6-CR-P2-012","https://mie.ac.mu/curriculum.html || https://web.mie.ac.mu/curriculum_books/ || https://web.mie.ac.mu/wp-content/uploads/2025/01/Implementation-guidelines_abridged.pdf","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\mauritius_mie_curriculum.html || C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\mauritius_mie_curriculum_books.html || C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\mauritius_fplns_implementation_guidelines_abridged.pdf","6bf4f367f90237bd4b767dcfcd893b1f23ccbbed88cc75ab1633870f9b90376a || ef972eaf0ea191e456da7d6598ff7306b6fc8b494e7cb6784c08ec7e1440199b || 7aabdbceec529a90f1268c78e9c89215353ee93b04492e80de8189eac917e270","license/reuse pending; source-owner/reviewer return required","Mauritian/Seychellois/Indian Ocean Creoles; creole/contact; MIE curriculum locator with Kreol Morisien/Kreol Rodrige resource pointers; source-canon || Mauritian/Seychellois/Indian Ocean Creoles; creole/contact; MIE curriculum/textbook locator with Kreol resources and practice papers; source-canon || Mauritian/Seychellois/Indian Ocean Creoles; creole/contact; Mauritius implementation guideline with Kreol Morisien/numeracy context; source-canon","R6-GAP-AUTO-008; R6-GAP-AUTO-009","Use NOETHER_R6_MAURITIUS_KREOL_MIE_SOURCE_ROUTE_ADDENDUM_20260705.csv for MIE route/context provenance; exact named-language math/STEM body, source-owner/reviewer return, and reuse decision remain required.","source canon insufficient for scoped draft work; keep acquisition/gap status until exact target-language source witnesses, URLs/local paths/hashes, license/access signals, and reviewer/source-owner or media gates are recorded","target rendering; term spine; accepted terminology; source-authority promotion; license clearance; translation completion; pilot; Git push"
"R6-ACTIVE-011","Creole/contact","Nigerian Pidgin","strict_witness_context_review_and_exact_target_math_body_check_required","strict_witness_plus_explicit_blockers","R6-CR-P2-018","https://nerdc.gov.ng/content_manager/primary/pri4-6_maths.pdf","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\nigeria_nerdc_pri4_6_maths.pdf","91fe69d3fed70762f334d3a5e850a062fbe542c16547c44b6f38da0de3683454","license/reuse pending; source-owner/reviewer return required","Nigerian Pidgin; creole/contact; official Nigerian mathematics comparator only; English, not Nigerian Pidgin; source-canon","R6-GAP-AUTO-010; R6-CR-P2-017","Use NOETHER_R6_NIGERIAN_PIDGIN_SOURCE_ROUTE_ADDENDUM_20260705.csv for Nigerian Pidgin route/context/candidate-source provenance; exact Nigerian Pidgin mathematics/STEM body or validated mathematical source archive, source-owner/reviewer return, and reuse decision remain required.","source canon insufficient for scoped draft work; keep acquisition/gap status until exact target-language source witnesses, URLs/local paths/hashes, license/access signals, and reviewer/source-owner or media gates are recorded","target rendering; term spine; accepted terminology; source-authority promotion; license clearance; translation completion; pilot; Git push"
"R6-ACTIVE-012","Creole/contact","Nigerian Pidgin/Krio/Tok Pisin/Cape Verdean/Belize","exact_named_language_math_source_capture_required","explicit_blocker_only","","","","","","","R6-GAP-AUTO-011","Nigerian Pidgin, Krio, Tok Pisin, and Cape Verdean Kriolu route contexts are now recorded in dated addenda; keep Belize Kriol and other rows separate and unresolved until exact named-language evidence lands.","source canon insufficient for scoped draft work; keep acquisition/gap status until exact target-language source witnesses, URLs/local paths/hashes, license/access signals, and reviewer/source-owner or media gates are recorded","target rendering; term spine; accepted terminology; source-authority promotion; license clearance; translation completion; pilot; Git push"
"R6-ACTIVE-013","Creole/contact","Papiamento/Papiamentu","exact_named_language_math_source_capture_required","explicit_blocker_only","","","","","","","R6-GAP-AUTO-012","Use the 20260705 Aruba route retry addendum for EA.AW blocker provenance; still split Aruba Papiamento vs Curacao Papiamentu and resolve exact source-body access before concept or support movement.","source canon insufficient for scoped draft work; keep acquisition/gap status until exact target-language source witnesses, URLs/local paths/hashes, license/access signals, and reviewer/source-owner or media gates are recorded","target rendering; term spine; accepted terminology; source-authority promotion; license clearance; translation completion; pilot; Git push"
