id,de,vi,class,evidence,confidence,adverse_or_review_note
VI-T001,"ternäre biquadratische Form","dạng bậc bốn ba biến","source_fact plus editorial rendering","P01 formula f=x_1^3x_2+x_2^3x_3+x_3^3x_1 is homogeneous of total degree 4; native Vietnamese usage attests 'đa thức bậc bốn ba biến'",high,"Reject trùng phương and song bậc hai here; both can suggest a different algebraic shape"
VI-T002,Formensystem,"hệ dạng",editorial_inference,"Vietnamese mathematical prose uses dạng for mathematical form; German context treats a generated system of forms",medium,"Independent Vietnamese invariant-theory review pending"
VI-T003,Ordnung,"cấp",source_defined,"German P01 line 393 explicitly separates coefficient-side Ordnung from variable-side Grad",medium,"Local convention for this edition only; do not silently merge with bậc"
VI-T004,Grad,"bậc",source_defined,"German P01 line 393 explicitly defines Grad on the variables; native Vietnamese polynomial usage uses bậc",high,"Paired with VI-T003"
VI-T005,Invariant,"bất biến",external_attestation,"VNU mathematics materials use lý thuyết bất biến",high,"Classical invariant-theory noun usage still needs specialist review"
VI-T006,Kovariant,"hiệp biến",external_attestation,"Vietnamese mathematical dictionaries attest hiệp biến and dạng hiệp biến",medium,"Do not confuse with statistical covariance"
VI-T007,Kontravariant,"phản biến",external_attestation,"Vietnamese mathematical usage attests phản biến",medium,"Classical invariant-theory noun usage needs specialist review"
VI-T008,automorphe Form,"dạng tự đẳng cấu",external_attestation plus editorial_inference,"VIASM uses dạng tự đẳng cấu for automorphic form",medium,"The 1907 invariant-theory sense may not coincide with the modern automorphic-form sense"
VI-T009,Modul,"môđun",editorial_inference,"Source treats Modul as a modulus form and writes systems mod nu",medium,"Explicit trap: not an algebraic module; preserve source symbol and context"
VI-T010,Überschiebung,"phép transvection",editorial_inference,"Established international invariant-theory term transvection; German retained at first occurrence",low,"No strong native Vietnamese attestation found; checker may prefer a defined Vietnamese equivalent"
VI-T011,Faltung,"phép co",cross_language_witness,"French witness uses contraction and Chinese witness uses 缩并 for the exact German locus",medium,"Witness evidence only; not translation authority and distinct from Überschiebung"
VI-T012,Formenreihe,"dãy dạng",editorial_inference,"German immediately defines the object and its rectangular ordering",medium,"Definition controls the term"
VI-T013,Reduzent,"bộ quy giản",editorial_inference,"German immediately defines Reduzent as a reducible Formenreihe",low,"Provisional coined term; independent specialist review required"
VI-T014,reduzibel,"khả quy",native_mathematics_usage,"Native Vietnamese algebra corpus uses bất khả quy; khả quy is the paired standard",high,"Sense is reducibility of forms or form sequences"
VI-T015,quadratische Form,"dạng toàn phương",native_mathematics_usage,"Standard Vietnamese algebra terminology",high,"None known"
