"active_row_id","language_access_target","bucket","gap_ids","output_policy","blocker_or_ethics_note","next_gate"
"R6-ACTIVE-001","Bislama","source_canon_sufficient_for_scoped_draft_work","R6-GAP-AUTO-001; R6-GAP-AUTO-002; R6-CR-P2-001; R6-CR-P2-001A; R6-CR-P2-002; R6-CR-P2-002A; R6-CR-P2-003; R6-CR-P2-003A; R6-CR-P2-004; R6-CR-P2-005","draft_noncanonical_support_allowed_for_scoped_row_only","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","NOETHER_R6_SCOPED_DRAFT_TRANSLATION_SUPPORT_CREOLE_COVERED_ROWS_20260705.csv; NOETHER_R6_DRAFT_SUPPORT_INTERLINEAR_SCAFFOLDS_COVERED_ROWS_20260705.csv"
"R6-ACTIVE-002","Bislama, Papiamento/Papiamentu, Mauritian/Seychellois/Indian Ocean Creoles, Sranan/Guyanas, Jamaican Creole/Patois, Nigerian Pidgin, Krio, Tok Pisin, others","source_canon_insufficient","R6-SRCARCH-GAP-002","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","Kreyol, Mauritius, Krio, Tok Pisin, Nigerian Pidgin, and Cape Verdean Kriolu route/candidate-source addenda are metadata only; continue named-language mathematical source-archive discovery before any source-archive claim."
"R6-ACTIVE-003","Cape Verdean Kriolu / Belize Kriol / other T0 creole rows","source_canon_insufficient","R6-GAP-AUTO-003","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","Use NOETHER_R6_CAPE_VERDEAN_KRIOLU_SOURCE_ROUTE_ADDENDUM_20260705.csv for Cape Verdean Kriolu route/context provenance; exact Kriolu mathematics/STEM body or validated mathematical source archive, source-owner/reviewer return, and reuse decision remain required. Belize Kriol and other T0 creole rows remain separate blockers."
"R6-ACTIVE-004","Jamaican Creole / Jamaican Patois","source_canon_insufficient","R6-GAP-AUTO-004","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot | no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot | Find Jamaican Creole/Patois math/numeracy/literacy-STEM source or reviewer route; English curriculum remains comparator only."
"R6-ACTIVE-005","Jamaican Creole/Patois","source_canon_insufficient","R6-GAP-AUTO-005","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","Find Patois STEM/numeracy witness or reviewer route."
"R6-ACTIVE-006","Kreyol / Haitian Creole","source_canon_sufficient_for_scoped_draft_work","","draft_noncanonical_support_allowed_for_scoped_row_only","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","NOETHER_R6_SCOPED_DRAFT_TRANSLATION_SUPPORT_CREOLE_COVERED_ROWS_20260705.csv; NOETHER_R6_DRAFT_SUPPORT_INTERLINEAR_SCAFFOLDS_COVERED_ROWS_20260705.csv"
"R6-ACTIVE-007","Kreyol/Haitian Creole","source_canon_insufficient","R6-GAP-AUTO-006","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","Use NOETHER_R6_KREYOL_MIT_AYITI_MENFP_SOURCE_ROUTE_ADDENDUM_20260705.csv for MIT-Ayiti route/context provenance; official MENFP-hosted Kreyol math body, source-owner/reviewer return, and reuse decision remain required."
"R6-ACTIVE-008","Kreyol/Haitian Creole, Bislama, Papiamento/Papiamentu, Mauritian/Seychellois/Indian Ocean Creoles, Jamaican Creole/Patois, Nigerian Pidgin, Krio, Tok Pisin, Sranan/Guyanas, and adjacent named creole/contact rows","source_canon_insufficient","R6-GITHUB-GAP-002","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","Use Kreyol GitHub candidate rows, Nigerian Pidgin pcm source-file candidates, and Mauritius/Krio/Tok Pisin/Cape Verdean Kriolu official route captures as blocker metadata only; keep named creole/contact repositories separate and require file-level capture policy, license scope, mathematical content review, and reviewer/source-owner route."
"R6-ACTIVE-009","Krio","source_canon_insufficient","R6-GAP-AUTO-007; R6-CR-P2-019","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","Use NOETHER_R6_KRIO_SIERRA_LEONE_MBSSE_SOURCE_ROUTE_ADDENDUM_20260705.csv for Krio/Sierra Leone route/context provenance; exact Krio mathematics/STEM body, source-owner/reviewer return, and reuse decision remain required."
"R6-ACTIVE-010","Mauritian/Seychellois/Indian Ocean Creoles","source_canon_insufficient","R6-GAP-AUTO-008; R6-GAP-AUTO-009","source_acquisition_gap_only_no_draft_target_rendering","source-canon/provenance/gap/draft metadata only as applicable; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push","Use NOETHER_R6_MAURITIUS_KREOL_MIE_SOURCE_ROUTE_ADDENDUM_20260705.csv for MIE route/context provenance; exact named-language math/STEM body, source-owner/reviewer return, and reuse decision remain required."
