"search_id","lane_scope","route_or_language","query","url_or_path","probe_status","source_type","source_owner_signal","source_use_decision","blocker_effect","next_action","searched_at_utc"
"R6-212DFB-SEARCH-1","indigenous","Ecuador Kichwa/CNIB","Ecuador Kichwa CNIB matematica PDF curriculum intercultural bilingue","https://educacion.gob.ec/curriculos-nacionales-interculturales-bilingues/","probe_failed: The request was canceled due to the configured HttpClient.Timeout of 8 seconds elapsing.","official_curriculum_route_page","Ecuador Ministry of Education page","source-start route; not source certification","does not close source/reviewer/ethics authority gates by itself","resolve/download exact Kichwa CNIB body and hash local copy before any wider support","2026-07-06T07:51:45Z"
"R6-212DFB-SEARCH-2","indigenous","Ecuador EIB/CNIB general","CURRICULO-EIB-288-PAGINAS PDF Ecuador","https://www.educacionbilingue.gob.ec/wp-content/uploads/2021/01/CURRICULO-EIB-288-PAGINAS.pdf","probe_failed: The SSL connection could not be established, see inner exception.","official_or_affiliated_pdf_route","Educacion Bilingue Ecuador PDF host","candidate source body; language-specific Kichwa math scope still requires review","does not close source/reviewer/ethics authority gates by itself","capture bytes/SHA/source-owner route; verify Kichwa/math sections and reuse signal","2026-07-06T07:51:45Z"
"R6-212DFB-SEARCH-3","indigenous","Paraguay Guarani/PRODEPA","Paraguay MEC PRODEPA matematica guarani PDF","https://www.mec.gov.py/cms?ref=295084-programa-de-alfabetizacion-no-formal","probe_failed: The request was canceled due to the configured HttpClient.Timeout of 8 seconds elapsing.","official_program_route_page","Paraguay MEC page","official route evidence; not Guarani mathematics source body closure","does not close source/reviewer/ethics authority gates by itself","resolve exact Guarani/Matematica PRODEPA file body, local path, SHA, and permission/reuse signal","2026-07-06T07:51:45Z"
"R6-212DFB-SEARCH-4","indigenous","Paraguay PRODEPA background","PRODEPA MEC Paraguay educacion basica bilingue matematica guarani","https://mec.gov.py/talento/archivo/concurso08-16/material_lectura/gestion_educativa/educacion_permanente_educacion_basica_bilingue.pdf","probe_failed: The request was canceled due to the configured HttpClient.Timeout of 8 seconds elapsing.","official_or_mec_pdf_background","Paraguay MEC file path","background/program evidence only; not target-language term authority","does not close source/reviewer/ethics authority gates by itself","verify whether PDF contains target-language Guarani math body and reuse status","2026-07-06T07:51:45Z"
"R6-212DFB-SEARCH-5","sign_access","ASL algebra/STEM","ASL math signs algebra official signbank","https://aslstem.cs.washington.edu/term/Algebra","http_200","community_STEM_sign_dictionary","ASL STEM site","candidate sign/access source witness; no accepted sign or reuse claim","does not close source/reviewer/ethics authority gates by itself","record media/source ownership, transcript/caption status, license/reuse, and reviewer route before use","2026-07-06T07:51:45Z"
"R6-212DFB-SEARCH-6","sign_access","ASL math dictionary","Texas Math Sign Language Dictionary ASL math terms","https://www.texasdeafed.org/apps/pages/index.jsp?pREC_ID=2563102&type=d&uREC_ID=4364244","http_200","statewide_outreach_math_sign_dictionary","Texas School for the Deaf / Statewide Outreach Center page","candidate ASL math-access source; no sign acceptance or translation output","does not close source/reviewer/ethics authority gates by itself","verify term list, media reuse, ownership, and reviewer route","2026-07-06T07:51:45Z"
"R6-212DFB-SEARCH-7","sign_access","DGS math videos","Deutsche Gebaerdensprache Mathematik Lehrvideos","https://www.uni-goettingen.de/de/videos%2Bin%2Bdeutscher%2Bgeb%C3%A4rdensprache%2B%28dgs%29/693397.html","http_200","university_DGS_math_video_route","University of Goettingen mathematics/DGS page","candidate sign-access instructional route; no visual inventory or sign rendering","does not close source/reviewer/ethics authority gates by itself","verify media ownership, caption/transcript availability, reuse, and DGS reviewer route","2026-07-06T07:51:45Z"
"R6-212DFB-SEARCH-8","sign_access","DGS corpus dictionary","Digitales Woerterbuch Deutsche Gebaerdensprache Mathematik","https://www.sign-lang.uni-hamburg.de/korpusdict/overview/index-de.html","http_200","DGS_corpus_dictionary_route","University of Hamburg DGS corpus dictionary","candidate dictionary route; no direct math term acceptance from this gap audit","does not close source/reviewer/ethics authority gates by itself","locate exact math entries and source-use terms before any sign support","2026-07-06T07:51:45Z"
"R6-212DFB-SEARCH-9","sign_access","DGS open dictionary comparator","SignDict Mathematik DGS open dictionary","https://signdict.org/","http_200","open_DGS_dictionary_comparator","SignDict open dictionary page","comparator/recovery route only; community-added entries are not authority","does not close source/reviewer/ethics authority gates by itself","if used, capture exact entry, contributor/license terms, and reviewer route","2026-07-06T07:51:45Z"
"R6-212DFB-SEARCH-10","creole_contact","Haitian Kreyol math source-backed rows","MIT Ayiti Kreyol matematik source rows already local","local:outputs/R6_SOURCE_GATED_DRAFT_PRETRANSLATION_INTERLINEAR_PACKET_20260706/ledgers/SOURCE_GATED_DRAFT_RENDERINGS.csv","local_path_reference_not_http_probed","local_verified_source_gated_scaffold","local source-gated draft packet","generated-draft/noncanonical support only for cited Kreyol classroom-math contexts","does not close source/reviewer/ethics authority gates by itself","review/source-owner route before widening beyond classroom notes","2026-07-06T07:51:45Z"
"R6-212DFB-SEARCH-11","creole_contact","Bislama/Vanuatu source-backed rows","Bislama Matematiks Saens source-backed local rows","local:outputs/R6_SOURCE_GATED_DRAFT_PRETRANSLATION_INTERLINEAR_PACKET_20260706/ledgers/SOURCE_GATED_DRAFT_RENDERINGS.csv","local_path_reference_not_http_probed","local_verified_source_gated_scaffold","local source-gated draft packet","generated-draft/noncanonical support only for cited Bislama classroom/STEM contexts","does not close source/reviewer/ethics authority gates by itself","review/source-owner route before advanced algebra/invariant-theory use","2026-07-06T07:51:45Z"
