"term_id","record_revision","supersedes_id","evidence_class","german","source_locator","adopted_english","target_locator","rejected_choice","decision_reason","status","confidence"
"N04-S04-TERM-001","1","","terminology_decision","Zerlegungsidentität","R823 lines 3839-3940","decomposition identity","heading and throughout","resolution identity","matches the defined operation and established Paper 4 English terminology","adopted","high"
"N04-S04-TERM-002","1","","terminology_decision","Symbolreihe","R823 lines 3840-3940","symbol row","throughout","symbolic row","matches Sections 1 through 3 and denotes a row of symbols","adopted","high"
"N04-S04-TERM-003","1","","terminology_decision","Variabelnreihe","R823 line 3840","variable row","introductory definition","row of variables","matches Sections 1 through 3 lane terminology","adopted","high"
"N04-S04-TERM-004","1","","terminology_decision","Schlußausdruck","R823 lines 3840 3911 3923","final expression","definition and case discussion","concluding expression","the source means the expression produced by the identity","adopted","high"
"N04-S04-TERM-005","1","","terminology_decision","zerlegt","R823 lines 3840 3858 3925","decomposed","p and q row decompositions","resolved","aligns the verb with the defined decomposition identity","adopted","high"
"N04-S04-TERM-006","1","","terminology_decision","unzerlegbar","R823 line 3909","indecomposable","conclusion after relation 27","irreducible","preserves the Paper 4 distinction from irreduzibel","adopted","high"
"N04-S04-TERM-007","1","","terminology_decision","Modul epsilon","R823 line 3894","sign epsilon","sentence before relation 26","modulus epsilon","epsilon is explicitly negative one to an exponent and therefore supplies the sign","adopted","high"
"N04-S04-TERM-008","1","","terminology_decision","Einzelsumme","R823 lines 3923 3940","individual sum","relations 25 and 30 discussion","single sum","distinguishes one alpha- or beta-indexed component of the full nested expression","adopted","high"
"N04-S04-TERM-009","1","","terminology_decision","Polare","R823 line 3940","polar","discussion before relation 31","polarization","the source names the resulting form rather than the operation","adopted","high"
"N04-S04-TERM-010","1","","terminology_decision","Polarprozeß","R823 line 3940","polar process","display before relation 31","polarization process","preserves Noether's process terminology and matches Section 3","adopted","high"
"N04-S04-TERM-011","1","","terminology_decision","Aggregat","R823 line 3945","aggregate","definition of Pi","sum","Pi may combine polar operations with constants and is not presented as a plain scalar sum","adopted","high"
"N04-S04-TERM-012","1","","terminology_decision","dualistisch","R823 line 3925","dual","relation 29 transition","dualistic","idiomatic mathematical English without altering the asserted duality","adopted","high"
"N04-S04-TERM-013","1","","terminology_decision","Paragraph","R823 lines 3909 3839 3953","section","cross-reference to Section 5","paragraph","the numbered source division is a section in modern English usage","adopted","high"
