"alignment_id","record_revision","supersedes_id","evidence_class","unit_id","r823_lines","printed_pages","physical_scan_pages","target_locator","status","confidence","adverse_delta"
"N04-S04-ALN-001","1","","source_alignment","N04-S04","3839-3951","132-134","15-17","complete section heading through relation 31","closed","high","section 5 begins at line 3953 on printed p134; relation 28 corrected from scan"
"N04-S04-ALN-002","1","","source_alignment","N04-S04-SETUP","3839-3840","132","15","heading and introductory definition","closed","high","none"
"N04-S04-ALN-003","1","","source_alignment","N04-S04-EQ22","3841-3848","132","15","three definitions in relation 22","closed","high","none"
"N04-S04-ALN-004","1","","source_alignment","N04-S04-CASES","3849-3858","132","15","four-case array and transition","closed","high","none"
"N04-S04-ALN-005","1","","source_alignment","N04-S04-EQ23-24","3859-3879","132-133","15-16","relations 23 and 24 with iterative explanation","closed_english_comparison_correction_reported","high","inherited English and four checked Slavic bodies lose rho-minus-one in relation 23"
"N04-S04-ALN-006","1","","source_alignment","N04-S04-EQ25-27","3880-3910","133","16","decomposition identity sign rule differential equation and conclusion","closed","high","none"
"N04-S04-ALN-007","1","","source_alignment","N04-S04-EQ28","3911-3924","133-134","16-17","cases 2 through 4 relation 28 and iteration","closed_english_scan_correction_disclosed_and_propagation_reported","high","R823 inherited English and four checked Slavic bodies collapse both first-term subscripts in relation 28"
"N04-S04-ALN-008","1","","source_alignment","N04-S04-EQ29-30","3925-3940","134","17","dual definitions and dual decomposition identity","closed","high","inherited English modernizes combined limits to max and min"
"N04-S04-ALN-009","1","","source_alignment","N04-S04-POLAR-EQ31","3941-3951","134","17","polar operations and relation 31","closed","high","source combined-limit notation retained"
"N04-S04-ALN-004","2","N04-S04-ALN-004@1","source_alignment","N04-S04-CASES","3849-3858","132","15","four-case array and transition","closed_with_print_editable_delta_disclosed","high","original print uses tau at least sigma in case 3; R823 and target use tau greater than sigma to make the partition disjoint"
