"record_id","record_type","language_scope","topic_scope","source_or_artifact","status","sha256","bytes","row_count","summary","required_action","no_claims"
"GOV-AGENTS","github_instruction_bus","all","program_governance","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\AGENTS.md","read_controlling","E4E6A7422E118543E5ADAB00ACFB32E8C097FE6F40153745A9E5D9CCAF0DCE6B","8348","","Program rule: source canon first, GitHub-visible governance, B3-only publication, sufficiency transition after source baseline.","Follow for Romance lane and whole-program source-canon alignment.","draft/non-canonical only; not native reviewed; not approved; not accepted terminology; no gate promotion; no license-clearance claim; no Git push by language lane"
"GOV-COPILOT","github_instruction_bus","all","program_governance","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\.github\copilot-instructions.md","read_controlling","D553C306879C915C9B0132E6DF50F010FE8F9ADC9EB130C9295BC4DF9DBD50FF","2898","","Repository coding/governance mirror: keep generated translations separate from source corpus and do not claim approval.","Follow for Romance lane and whole-program source-canon alignment.","draft/non-canonical only; not native reviewed; not approved; not accepted terminology; no gate promotion; no license-clearance claim; no Git push by language lane"
"GOV-OPEN-MACHINE-MD","github_instruction_bus","all","program_governance","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\noether-slavic-handoff\20260629\cross-session-coordination\20260704\NOETHER_OPEN_MACHINE_GITHUB_COORDINATION_RULE_20260704.md","read_controlling","D2B3A68F28C90C09A3BEAC978D78E336C375F9B44F13CD544771DCC7026BA127","2334","","GitHub is the instruction bus; language lanes report artifacts for B3 instead of pushing.","Follow for Romance lane and whole-program source-canon alignment.","draft/non-canonical only; not native reviewed; not approved; not accepted terminology; no gate promotion; no license-clearance claim; no Git push by language lane"
"GOV-OPEN-MACHINE-JSON","github_instruction_bus","all","program_governance","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\noether-slavic-handoff\20260629\cross-session-coordination\20260704\NOETHER_OPEN_MACHINE_GITHUB_COORDINATION_RULE_20260704.json","read_controlling","E01C2CBA3FAF4A16A87E493E71AF2C0159A4AC120A0E42F650ED40CF4FE7CE10","2922","","Machine-readable coordination rule with B3 publication boundary and sufficiency-transition status.","Follow for Romance lane and whole-program source-canon alignment.","draft/non-canonical only; not native reviewed; not approved; not accepted terminology; no gate promotion; no license-clearance claim; no Git push by language lane"
"GOV-SUFFICIENCY","github_instruction_bus","all","program_governance","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\noether-slavic-handoff\20260629\cross-session-coordination\20260704\NOETHER_SOURCE_CANON_SUFFICIENCY_TRANSLATION_TRANSITION_20260705.md","read_controlling","A6504AFF333D3B58866F19D95A39BE171F67002952A566A13BDDE8C25A0C0EA2","1781","","Controlling transition: covered rows receive scoped draft support; uncovered rows remain source-acquisition gaps.","Follow for Romance lane and whole-program source-canon alignment.","draft/non-canonical only; not native reviewed; not approved; not accepted terminology; no gate promotion; no license-clearance claim; no Git push by language lane"
"PARENT-LEDGER","parent_record","all","program_governance","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NOETHER_INTERLANGUAGE_TRANSLATION_CONSOLIDATION_LEDGER_20260704.md","read_available_local_record","A1474CE44F37E2C4E9D34F3D658D581614D07980F5004286392791931E8682EC","550451","","Parent consolidation ledger re-read for current governance interpretation and B3/package frontier facts.","Use as local evidence; publish any lane drift through B3/package steward only.","draft/non-canonical only; not native reviewed; not approved; not accepted terminology; no gate promotion; no license-clearance claim; no Git push by language lane"
"SOURCE-CANON-STEERING","parent_record","all","program_governance","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NOETHER_SOURCE_CANON_FIRST_STEERING_RECORD_20260704.md","read_available_local_record","531B9E358E52BDE20F613E75B8DE33558C05301CA971639E727DD584B34205C4","4993","","Source-canon-first steering record re-read; translation-completion language treated as historical and superseded by source-canon governance.","Use as local evidence; publish any lane drift through B3/package steward only.","draft/non-canonical only; not native reviewed; not approved; not accepted terminology; no gate promotion; no license-clearance claim; no Git push by language lane"
"B3-STEWARD-LOG","parent_record","all","program_governance","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-pr-branch-steward\outputs\NOETHER_SESSION_B_COORDINATOR_RUN_LOG_20260704.md","read_available_local_record","0A4F6C2FD0F0D341F879E2CAF45698FBBC27B51B604BDA3960DC6CDDCAD8344E","424302","","B3 steward durable log re-read for package-publication boundary and prior Romance package entries.","Use as local evidence; publish any lane drift through B3/package steward only.","draft/non-canonical only; not native reviewed; not approved; not accepted terminology; no gate promotion; no license-clearance claim; no Git push by language lane"
"ROMANCE-SUFFICIENCY-ROWS","lane_artifact","french;spanish","queued_terms_and_context_rows","C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\NOETHER_ROMANCE_SUFFICIENCY_TRANSITION_SCOPED_DRAFT_ROWS_20260705.csv","scoped_draft_support_after_sufficiency","CD735B7DC26821ACA2947807253FDDF40436C6C11666B23E506ABB88C4DFC379","42701","46","46 Romance row instances: french=21; spanish=25; decisions: covered_draft_allowed=30; covered_draft_allowed_gap_narrowed=1; covered_draft_allowed_with_manual_review_flag=1; covered_draft_allowed_with_source_context_note=12; uncovered_source_acquisition_gap_retained=2","Covered rows may use existing draft slices plus row-level source-context, alternatives/register, formula-neighboring, and interlinear notes as draft review material.","draft/non-canonical only; not native reviewed; not approved; not accepted terminology; no gate promotion; no license-clearance claim; no Git push by language lane"
"ROMANCE-SUFFICIENCY-NARRATIVE","lane_artifact","french;spanish","queued_terms_and_context_rows","C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\NOETHER_ROMANCE_SUFFICIENCY_TRANSITION_SCOPED_DRAFT_ROWS_20260705.md","human_readable_sufficiency_transition_note","0B94F25427E4E1DF2CC64A3BE10F3D7FD420D843EF5DBDCF88D171596318F0A4","14422","","Human-readable sufficiency transition note for B3/package steward and reviewers; labels are draft/non-canonical/not reviewed.","Package as sidecar if B3 continues the Romance lane drift set.","draft/non-canonical only; not native reviewed; not approved; not accepted terminology; no gate promotion; no license-clearance claim; no Git push by language lane"
