probe_id,platform,target_language_or_access_target,query_or_candidate,source_url,result_count,local_metadata_path,metadata_sha256,evidence_type,topic_tags,license_or_access_signal,source_gate_decision,gap_or_blocker_note,upload_policy,promotion_allowed
R9-GH-Q-001,GitHub,Amharic,"repository search: amharic math dataset","https://api.github.com/search/repositories?q=amharic%20math%20dataset&per_page=10",1,work/source_canon_witnesses/20260704_r9_archive_probe/github_search_amharic_math_dataset.json,82E05F4F78B508D5C63A2138EF72B6B910E6335B6E68EF54E6196545C0DC444E,repository_search_metadata,"math word problems; dataset; Amharic","search metadata only","candidate_found_requires_gate","one candidate found; inspect license/source before any data-body use","metadata-only local capture",false
R9-GH-C-001,GitHub,Amharic,Aman-byte1/amharic-conversation-and-math-dataset,https://github.com/Aman-byte1/amharic-conversation-and-math-dataset,n/a,"work/source_canon_witnesses/20260704_r9_archive_probe/github_repo_aman_byte1_amharic_conversation_and_math_dataset.json; work/source_canon_witnesses/20260704_r9_archive_probe/github_contents_aman_byte1_amharic_conversation_and_math_dataset.json","repo_metadata_sha256:DFD8231AF627823F3905EFC444E5A26BECEA3D682CB11E3EF9D29F9B80CD858D; contents_metadata_sha256:AEC0149E7CA3868524902F1B29416B21C14CB05C61BB320996B728BE6B13AA4F",candidate_dataset_repository,"Amharic word problems; numeric answers; dataset CSV","GitHub API license=null; no LICENSE file in root contents metadata; no license-clearance claim","blocked_no_license_metadata","candidate has README.md, conversations_amharic.csv, and math_intelligence.csv, but raw CSV bodies were not captured and cannot be treated as reusable source canon without license/owner return","metadata-only; no raw dataset body captured",false
R9-GH-Q-002,GitHub,Amharic,"repository search: amharic mathematics dataset","https://api.github.com/search/repositories?q=amharic%20mathematics%20dataset&per_page=10",0,work/source_canon_witnesses/20260704_r9_archive_probe/github_search_amharic_mathematics_dataset.json,4AF480B8EE5B87B369A76C49BD22C9A783908272EBFFBE97898F8AB0F0772A5F,repository_search_metadata,"mathematics; dataset; Amharic","empty search metadata","explicit_gap_row","no GitHub repository search result for this query","metadata-only local capture",false
R9-GH-Q-003,GitHub,Hausa,"repository search: hausa math dataset","https://api.github.com/search/repositories?q=hausa%20math%20dataset&per_page=10",0,work/source_canon_witnesses/20260704_r9_archive_probe/github_search_hausa_math_dataset.json,4AF480B8EE5B87B369A76C49BD22C9A783908272EBFFBE97898F8AB0F0772A5F,repository_search_metadata,"math dataset; Hausa","empty search metadata","explicit_gap_row","no GitHub repository search result for this query","metadata-only local capture",false
R9-GH-Q-004,GitHub,Hausa,"repository search: hausa lissafi mathematics","https://api.github.com/search/repositories?q=hausa%20lissafi%20mathematics&per_page=10",0,work/source_canon_witnesses/20260704_r9_archive_probe/github_search_hausa_lissafi_mathematics.json,4AF480B8EE5B87B369A76C49BD22C9A783908272EBFFBE97898F8AB0F0772A5F,repository_search_metadata,"lissafi; mathematics; Hausa","empty search metadata","explicit_gap_row","no GitHub repository search result for this Hausa-language math term query","metadata-only local capture",false
R9-GH-Q-005,GitHub,Somali,"repository search: somali xisaab math","https://api.github.com/search/repositories?q=somali%20xisaab%20math&per_page=10",0,work/source_canon_witnesses/20260704_r9_archive_probe/github_search_somali_xisaab_math.json,4AF480B8EE5B87B369A76C49BD22C9A783908272EBFFBE97898F8AB0F0772A5F,repository_search_metadata,"xisaab; mathematics; Somali","empty search metadata","explicit_gap_row","no GitHub repository search result for this Somali-language math term query","metadata-only local capture",false
R9-GH-Q-006,GitHub,Oromo/Afaan Oromo,"repository search: oromo herrega math","https://api.github.com/search/repositories?q=oromo%20herrega%20math&per_page=10",0,work/source_canon_witnesses/20260704_r9_archive_probe/github_search_oromo_herrega_math.json,4AF480B8EE5B87B369A76C49BD22C9A783908272EBFFBE97898F8AB0F0772A5F,repository_search_metadata,"herrega; mathematics; Oromo","empty search metadata","explicit_gap_row","no GitHub repository search result for this Oromo-language math term query","metadata-only local capture",false
R9-GH-Q-007,GitHub,Tigrinya/Tigrigna,"repository search: tigrinya numbers math","https://api.github.com/search/repositories?q=tigrinya%20numbers%20math&per_page=10",0,work/source_canon_witnesses/20260704_r9_archive_probe/github_search_tigrinya_numbers_math.json,4AF480B8EE5B87B369A76C49BD22C9A783908272EBFFBE97898F8AB0F0772A5F,repository_search_metadata,"numbers; math; Tigrinya","empty search metadata","explicit_gap_row","this query returned no new repository results; existing fgaim/tigrinya-numbers witness remains separately captured","metadata-only local capture",false
R9-GH-Q-008,GitHub,Yoruba,"repository search: yoruba mathematics dataset","https://api.github.com/search/repositories?q=yoruba%20mathematics%20dataset&per_page=10",0,work/source_canon_witnesses/20260704_r9_archive_probe/github_search_yoruba_mathematics_dataset.json,4AF480B8EE5B87B369A76C49BD22C9A783908272EBFFBE97898F8AB0F0772A5F,repository_search_metadata,"mathematics; dataset; Yoruba","empty search metadata","explicit_gap_row","no GitHub repository search result for this query","metadata-only local capture",false
R9-HF-Q-001,HuggingFace,Amharic,"dataset search: amharic math","https://huggingface.co/api/datasets?search=amharic%20math&limit=20",0,work/source_canon_witnesses/20260704_r9_archive_probe/hf_dataset_search/hf_search_amharic_math.json,4F53CDA18C2BAA0C0354BB5F9A3ECBE5ED12AB4D8E11BA873C2F11161202B945,dataset_search_metadata,"math dataset; Amharic","empty search metadata","explicit_gap_row","no Hugging Face dataset search result for this query","metadata-only local capture",false
