role	relative_path	bytes	sha256
authority_witness	returned_contents/final_state/source/20_AUTHORITY_DELIGNE_D021_WEIGHT_ONE_IAS_NUMBER24_25PP.pdf	2092474	2ACE335E3C8CC08BB8B60D756886284C4E7AECF093081DDA0DE46650800E6986
comparison_only_witness	returned_contents/final_state/comparison/21_COMPARATOR_DELIGNE_D021_WEIGHT_ONE_COLLECTED_SPLIT_24PP.pdf	460530	3E2D6E05377BA1017EAAB113BC7523B45B56FB0C4CC108493F79EBAD39033AE8
zero_accepted_evidence	returned_contents/final_state/salvage/30_ZERO_ACCEPTED_PRIOR_WORK_DELIGNE_D021.zip	1051715	D55B831C10A0CC48C4177BFFE93FFCB1C16CA4E9276BED63948C917DC651FC68
returned_delivery_evidence	inherited_return/DELIGNE_D021_WEIGHT_ONE_MODULAR_FORMS_FINAL_COMPLETE_DELIVERY.zip	45242852	B32A3A5443AF2C805EB921B0CB24408654D5CFDE2364D45273BCF055A630855C
frozen_page_map	returned_contents/final_state/control/PAGE_MAP.tsv	1959	54B8B316E2072A5C342CFB96B56F2BEAD988EC6C67462DE8062FB5FAB86EE67B
frozen_asset_ledger	returned_contents/final_state/edition/asset_ledger.tsv	193	906BEBBFB59CF307E2C8F5125EF2A1C11B557AD385E67DE6A8C8A5576AAED420
frozen_page_records	returned_contents/final_state/edition/source_language.ndjson	83606	A7D9FCCF8482984F90D4226177ADFFFDAC9C3A26A1C165428D2779ACE724EB9A
frozen_page_records	returned_contents/final_state/edition/english_standalone.ndjson	78412	794D9E372B4DD293B2972A21B8BD60C7C81DCF803EBC5FDEE4893B32718DEA3C
frozen_page_records	returned_contents/final_state/edition/apparatus.ndjson	54458	F25CF3818E62D32DE63D8ABE38A0739DBB0708284BB1F59598B2152AE735787F
editable_latex	work/source/D021_Formes_modulaires_de_poids_1_FR.tex	79921	300BB5DB2D62EFCC825742A8E26B443F92DD79569DBF04EF0DDDBA040E336D17
reader_pdf	work/output/D021_Formes_modulaires_de_poids_1_FR.pdf	206032	4B4FC661A45C8E220834FA4977CFA17198A5767870A4EB657EAF845CF9B8A30F
editable_latex	work/source/D021_Modular_Forms_of_Weight_1_EN.tex	76608	09403F4F077B503674B3662DFAF0EB88CFB97DDC9D1A7F787A694AC0AFB5D1C3
reader_pdf	work/output/D021_Modular_Forms_of_Weight_1_EN.pdf	203322	76E6E094B8F322368F5B4C9E3109C052C39C09DD488ADBE15A5B8FD9E1957328
editable_latex	work/source/D021_Formes_modulaires_de_poids_1_APPARATUS.tex	43331	638B029A773CEC30BABC4BC6A97D8EC6D2193ACE0FB353A265EDFF9446FBC457
apparatus_pdf	work/output/D021_Formes_modulaires_de_poids_1_APPARATUS.pdf	132993	069BA1A76320B0E9CB8A4855E25B0866A898B4999C3C72A6E06031ABD57AE77A
deterministic_builder	work/tools/build_d021_latex.py	18942	13AE8C9FC672A63DD77CBB6E9E1EBF2EEA768784962093BA72A633CF29612AA6
build_input_manifest	work/manifests/D021_BUILD_INPUTS.tsv	1454	639E28F2920DAAA07D2D6A3E3321805C1DEE249981C2F801A500081ECD7D9352
latex_generation_report	work/manifests/D021_LATEX_GENERATION_REPORT.json	2282	027726FE756DCB6A65B9CDBDD0CC92B11F3BFD67E28B89D7304167AF6105844C
