"language","bcp47","branch","lexeme_id","source_form","draft_gloss","source_anchor","source_body_id","formula_neighboring_usage_note","false_friend_or_overreach_note","interlanguage_scaffold_status"
"Turkish","tr","Oghuz","L-RING","halka","Turkish source form 'halka' -> draft gloss 'ring'; ring neighborhood source witness; not a Noetherian-ring or polynomial-ring closure by itself","ocr-witnesses/tr/TR-EXP-001_ankara_acikders_bolum_9_polynomial_rings.txt:3","TR-EXP-001-text","no formula marker detected on source line","ring neighborhood source witness; not a Noetherian-ring or polynomial-ring closure by itself","generated-draft; non-canonical; source-tied; do not promote"
"Turkish","tr","Oghuz","L-RING","halka","Turkish source form 'halka' -> draft gloss 'ring'; ring neighborhood source witness; not a Noetherian-ring or polynomial-ring closure by itself","ocr-witnesses/tr/TR-EXP-001_ankara_acikders_bolum_9_polynomial_rings.txt:5","TR-EXP-001-text","no formula marker detected on source line","ring neighborhood source witness; not a Noetherian-ring or polynomial-ring closure by itself","generated-draft; non-canonical; source-tied; do not promote"
"Turkish","tr","Oghuz","L-RING","halkası","Turkish source form 'halkası' -> draft gloss 'ring'; ring neighborhood source witness; not a Noetherian-ring or polynomial-ring closure by itself","ocr-witnesses/tr/TR-EXP-001_ankara_acikders_bolum_9_polynomial_rings.txt:5","TR-EXP-001-text","no formula marker detected on source line","ring neighborhood source witness; not a Noetherian-ring or polynomial-ring closure by itself","generated-draft; non-canonical; source-tied; do not promote"
"Turkish","tr","Oghuz","L-RING","halka","Turkish source form 'halka' -> draft gloss 'ring'; ring neighborhood source witness; not a Noetherian-ring or polynomial-ring closure by itself","ocr-witnesses/tr/TR-EXP-001_ankara_acikders_bolum_9_polynomial_rings.txt:9","TR-EXP-001-text","no formula marker detected on source line","ring neighborhood source witness; not a Noetherian-ring or polynomial-ring closure by itself","generated-draft; non-canonical; source-tied; do not promote"
"Turkish","tr","Oghuz","L-RING","halka","Turkish source form 'halka' -> draft gloss 'ring'; ring neighborhood source witness; not a Noetherian-ring or polynomial-ring closure by itself","ocr-witnesses/tr/TR-EXP-001_ankara_acikders_bolum_9_polynomial_rings.txt:11","TR-EXP-001-text","no formula marker detected on source line","ring neighborhood source witness; not a Noetherian-ring or polynomial-ring closure by itself","generated-draft; non-canonical; source-tied; do not promote"
"Turkish","tr","Oghuz","L-RING","halka","Turkish source form 'halka' -> draft gloss 'ring'; ring neighborhood source witness; not a Noetherian-ring or polynomial-ring closure by itself","ocr-witnesses/tr/TR-EXP-001_ankara_acikders_bolum_9_polynomial_rings.txt:18","TR-EXP-001-text","no formula marker detected on source line","ring neighborhood source witness; not a Noetherian-ring or polynomial-ring closure by itself","generated-draft; non-canonical; source-tied; do not promote"
"Turkish","tr","Oghuz","L-RING","halka","Turkish source form 'halka' -> draft gloss 'ring'; ring neighborhood source witness; not a Noetherian-ring or polynomial-ring closure by itself","ocr-witnesses/tr/TR-EXP-001_ankara_acikders_bolum_9_polynomial_rings.txt:27","TR-EXP-001-text","no formula marker detected on source line","ring neighborhood source witness; not a Noetherian-ring or polynomial-ring closure by itself","generated-draft; non-canonical; source-tied; do not promote"
"Turkish","tr","Oghuz","L-RING","halka","Turkish source form 'halka' -> draft gloss 'ring'; ring neighborhood source witness; not a Noetherian-ring or polynomial-ring closure by itself","ocr-witnesses/tr/TR-EXP-001_ankara_acikders_bolum_9_polynomial_rings.txt:35","TR-EXP-001-text","no formula marker detected on source line","ring neighborhood source witness; not a Noetherian-ring or polynomial-ring closure by itself","generated-draft; non-canonical; source-tied; do not promote"
"Turkish","tr","Oghuz","L-RING","halka","Turkish source form 'halka' -> draft gloss 'ring'; ring neighborhood source witness; not a Noetherian-ring or polynomial-ring closure by itself","ocr-witnesses/tr/TR-EXP-001_ankara_acikders_bolum_9_polynomial_rings.txt:52","TR-EXP-001-text","no formula marker detected on source line","ring neighborhood source witness; not a Noetherian-ring or polynomial-ring closure by itself","generated-draft; non-canonical; source-tied; do not promote"
"Turkish","tr","Oghuz","L-RING","halka","Turkish source form 'halka' -> draft gloss 'ring'; ring neighborhood source witness; not a Noetherian-ring or polynomial-ring closure by itself","ocr-witnesses/tr/TR-EXP-001_ankara_acikders_bolum_9_polynomial_rings.txt:53","TR-EXP-001-text","no formula marker detected on source line","ring neighborhood source witness; not a Noetherian-ring or polynomial-ring closure by itself","generated-draft; non-canonical; source-tied; do not promote"
