"language","bcp47","branch","lexeme_id","searched_forms","source_rows_searched","occurrence_count","status","non_claim_boundary"
"Azerbaijani","az","Oghuz","L-IDEAL","ideal","16","9","has exact packaged occurrence","generated-draft/non-canonical term occurrence and scaffold support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Azerbaijani","az","Oghuz","L-NOETHERIAN-RING","Noether | Nöter | Neter","16","4","has exact packaged occurrence","generated-draft/non-canonical term occurrence and scaffold support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Azerbaijani","az","Oghuz","L-POLYNOMIAL","çoxhədli | coxhedli","16","140","has exact packaged occurrence","generated-draft/non-canonical term occurrence and scaffold support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Azerbaijani","az","Oghuz","L-POLYNOMIAL-RING","çoxhədli halqa | coxhedli halqa","16","1","has exact packaged occurrence","generated-draft/non-canonical term occurrence and scaffold support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Azerbaijani","az","Oghuz","L-RING","halqa | həlqə","16","23","has exact packaged occurrence","generated-draft/non-canonical term occurrence and scaffold support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Bashkir","ba","Kipchak","L-IDEAL","идеал","18","42","has exact packaged occurrence","generated-draft/non-canonical term occurrence and scaffold support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Bashkir","ba","Kipchak","L-NOETHERIAN-RING","Нётер | Noether","18","2","has exact packaged occurrence","generated-draft/non-canonical term occurrence and scaffold support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Bashkir","ba","Kipchak","L-POLYNOMIAL","күпбыуын","18","49","has exact packaged occurrence","generated-draft/non-canonical term occurrence and scaffold support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Bashkir","ba","Kipchak","L-POLYNOMIAL-RING","күпбыуын ҡулса","18","0","no exact packaged occurrence; keep gap/blocker as applicable","generated-draft/non-canonical term occurrence and scaffold support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Bashkir","ba","Kipchak","L-RING","ҡулса | коммутатив ҡулса","18","161","has exact packaged occurrence","generated-draft/non-canonical term occurrence and scaffold support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kazakh","kk","Kipchak","L-IDEAL","идеал","20","7","has exact packaged occurrence","generated-draft/non-canonical term occurrence and scaffold support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kazakh","kk","Kipchak","L-NOETHERIAN-RING","Нётер | Нетер | Нётер сақинасы | Нетер сақинасы | Нётер сақина | Нетер сақина | Noether","20","120","has exact packaged occurrence","generated-draft/non-canonical term occurrence and scaffold support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kazakh","kk","Kipchak","L-POLYNOMIAL","көпмүшелік","20","25","has exact packaged occurrence","generated-draft/non-canonical term occurrence and scaffold support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kazakh","kk","Kipchak","L-POLYNOMIAL-RING","көпмүшелік сақина","20","3","has exact packaged occurrence","generated-draft/non-canonical term occurrence and scaffold support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kazakh","kk","Kipchak","L-RING","сақина","20","14","has exact packaged occurrence","generated-draft/non-canonical term occurrence and scaffold support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kyrgyz","ky","Kipchak","L-IDEAL","идеал","10","1","has exact packaged occurrence","generated-draft/non-canonical term occurrence and scaffold support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kyrgyz","ky","Kipchak","L-NOETHERIAN-RING","Нётер | Noether","10","0","no exact packaged occurrence; keep gap/blocker as applicable","generated-draft/non-canonical term occurrence and scaffold support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kyrgyz","ky","Kipchak","L-POLYNOMIAL","көп мүчө | келтирилбес көп мүчө","10","22","has exact packaged occurrence","generated-draft/non-canonical term occurrence and scaffold support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kyrgyz","ky","Kipchak","L-POLYNOMIAL-RING","көп мүчө шакек | көп мүчөлөр шакеги","10","0","no exact packaged occurrence; keep gap/blocker as applicable","generated-draft/non-canonical term occurrence and scaffold support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kyrgyz","ky","Kipchak","L-RING","шакек","10","0","no exact packaged occurrence; keep gap/blocker as applicable","generated-draft/non-canonical term occurrence and scaffold support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Turkmen","tk","Oghuz","L-IDEAL","ideal","17","1","has exact packaged occurrence","generated-draft/non-canonical term occurrence and scaffold support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Turkmen","tk","Oghuz","L-NOETHERIAN-RING","Noether | Noeter | Nöter","17","0","no exact packaged occurrence; keep gap/blocker as applicable","generated-draft/non-canonical term occurrence and scaffold support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Turkmen","tk","Oghuz","L-POLYNOMIAL","köpagza | kopagza | köp agza","17","12","has exact packaged occurrence","generated-draft/non-canonical term occurrence and scaffold support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Turkmen","tk","Oghuz","L-POLYNOMIAL-RING","köpagza halka | kopagza halka","17","0","no exact packaged occurrence; keep gap/blocker as applicable","generated-draft/non-canonical term occurrence and scaffold support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Turkmen","tk","Oghuz","L-RING","halka","17","2","has exact packaged occurrence","generated-draft/non-canonical term occurrence and scaffold support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Turkish","tr","Oghuz","L-MODULE","modül | modul","53","262","has exact packaged occurrence","generated-draft/non-canonical term occurrence and scaffold support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Turkish","tr","Oghuz","L-NOETHERIAN-RING","Noether | Noetherian","53","130","has exact packaged occurrence","generated-draft/non-canonical term occurrence and scaffold support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Turkish","tr","Oghuz","L-POLYNOMIAL","polinom","53","128","has exact packaged occurrence","generated-draft/non-canonical term occurrence and scaffold support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Turkish","tr","Oghuz","L-POLYNOMIAL-RING","polinom halkası | polinom halkasi | polinomlar halkası","53","11","has exact packaged occurrence","generated-draft/non-canonical term occurrence and scaffold support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Turkish","tr","Oghuz","L-RING","halka | halkası | halkasi","53","372","has exact packaged occurrence","generated-draft/non-canonical term occurrence and scaffold support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Tatar","tt","Kipchak","L-IDEAL","идеал","16","13","has exact packaged occurrence","generated-draft/non-canonical term occurrence and scaffold support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Tatar","tt","Kipchak","L-NOETHERIAN-RING","Нётер | Noether","16","0","no exact packaged occurrence; keep gap/blocker as applicable","generated-draft/non-canonical term occurrence and scaffold support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Tatar","tt","Kipchak","L-POLYNOMIAL","күпбуын","16","28","has exact packaged occurrence","generated-draft/non-canonical term occurrence and scaffold support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Tatar","tt","Kipchak","L-POLYNOMIAL-RING","күпбуын боҗра | күпбуыннар боҗрасы","16","0","no exact packaged occurrence; keep gap/blocker as applicable","generated-draft/non-canonical term occurrence and scaffold support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Tatar","tt","Kipchak","L-RING","боҗра","16","1","has exact packaged occurrence","generated-draft/non-canonical term occurrence and scaffold support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uyghur","ug","Karluk","L-MODULE","مودۇل","31","6","has exact packaged occurrence","generated-draft/non-canonical term occurrence and scaffold support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uyghur","ug","Karluk","L-NOETHERIAN-RING","نوئېتېر | نوئېتېر ھالقا | نوئېتېر ھالقىسى","31","36","has exact packaged occurrence","generated-draft/non-canonical term occurrence and scaffold support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uyghur","ug","Karluk","L-POLYNOMIAL","كۆپ ئەزالىق | كۆپئەزالىق","31","6","has exact packaged occurrence","generated-draft/non-canonical term occurrence and scaffold support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uyghur","ug","Karluk","L-POLYNOMIAL-RING","كۆپ ئەزالىق ھالقا | كۆپ ئەزالىق ھالقىسى","31","6","has exact packaged occurrence","generated-draft/non-canonical term occurrence and scaffold support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uyghur","ug","Karluk","L-RING","ھالقا | ھالقىسى","31","32","has exact packaged occurrence","generated-draft/non-canonical term occurrence and scaffold support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uzbek","uz","Karluk","L-IDEAL","ideal","22","10","has exact packaged occurrence","generated-draft/non-canonical term occurrence and scaffold support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uzbek","uz","Karluk","L-NOETHERIAN-RING","neyteriya | Noether | Neter","22","9","has exact packaged occurrence","generated-draft/non-canonical term occurrence and scaffold support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Uzbek","uz","Karluk","L-POLYNOMIAL","koʻphad | ko‘phad | kop had | ko`phad | koʻphadlar | ko‘phadlar | ko’phadlar | ko`phadlar | ko'phadlar","22","175","has exact packaged occurrence","generated-draft/non-canonical term occurrence and scaffold support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
