"language","query","status","url"
"es","álgebra abstracta","downloaded","https://es.wikipedia.org/w/index.php?curid=12952&oldid=173778307"
"es","anillo álgebra","downloaded","https://es.wikipedia.org/w/index.php?curid=9303&oldid=172514148"
"es","cuerpo álgebra","downloaded","https://es.wikipedia.org/w/index.php?curid=47083&oldid=163965223"
"es","módulo álgebra","downloaded","https://es.wikipedia.org/w/index.php?curid=46655&oldid=163545571"
"es","grupo teoría","downloaded","https://es.wikipedia.org/w/index.php?curid=21349&oldid=166023447"
"es","demostración matemática","downloaded","https://es.wikipedia.org/w/index.php?curid=60286&oldid=171959514"
"fr","algèbre générale","downloaded","https://fr.wikipedia.org/w/index.php?curid=9&oldid=228034381"
"fr","anneau mathématiques","downloaded","https://fr.wikipedia.org/w/index.php?curid=5276690&oldid=237541745"
"fr","corps algèbre","downloaded","https://fr.wikipedia.org/w/index.php?curid=96201&oldid=235538713"
"fr","module anneau","downloaded","https://fr.wikipedia.org/w/index.php?curid=247990&oldid=234911105"
"fr","théorie des groupes","downloaded","https://fr.wikipedia.org/w/index.php?curid=17703&oldid=228274599"
"fr","démonstration mathématique","downloaded","https://fr.wikipedia.org/w/index.php?curid=20686&oldid=228450069"
"pt","álgebra abstrata","downloaded","https://pt.wikipedia.org/w/index.php?curid=60301&oldid=68734795"
"pt","anel matemática","downloaded","https://pt.wikipedia.org/w/index.php?curid=9559&oldid=68653183"
"pt","corpo álgebra","downloaded","https://pt.wikipedia.org/w/index.php?curid=44171&oldid=72178684"
"pt","módulo álgebra","downloaded","https://pt.wikipedia.org/w/index.php?curid=616487&oldid=72002999"
"pt","teoria de grupos","downloaded","https://pt.wikipedia.org/w/index.php?curid=193830&oldid=71904594"
"pt","demonstração matemática","downloaded","https://pt.wikipedia.org/w/index.php?curid=94226&oldid=72063411"
"ca","àlgebra abstracta","downloaded","https://ca.wikipedia.org/w/index.php?curid=290598&oldid=37629739"
"ca","anell àlgebra","downloaded","https://ca.wikipedia.org/w/index.php?curid=41933&oldid=37220674"
"ca","cos matemàtiques","downloaded","https://ca.wikipedia.org/w/index.php?curid=54406&oldid=36480260"
"ca","mòdul anell","downloaded","https://ca.wikipedia.org/w/index.php?curid=151836&oldid=36710349"
"ca","teoria de grups","downloaded","https://ca.wikipedia.org/w/index.php?curid=53255&oldid=37305780"
"ca","demostració matemàtica","downloaded","https://ca.wikipedia.org/w/index.php?curid=53831&oldid=37621206"
"it","algebra astratta","downloaded","https://it.wikipedia.org/w/index.php?curid=40840&oldid=141860794"
"it","anello algebra","downloaded","https://it.wikipedia.org/w/index.php?curid=33544&oldid=138537220"
"it","campo matematica","downloaded","https://it.wikipedia.org/w/index.php?curid=31716&oldid=145498082"
"it","modulo algebra","downloaded","https://it.wikipedia.org/w/index.php?curid=63266&oldid=146300127"
"it","teoria dei gruppi","downloaded","https://it.wikipedia.org/w/index.php?curid=85128&oldid=146811610"
"it","dimostrazione matematica","downloaded","https://it.wikipedia.org/w/index.php?curid=95417&oldid=144538899"
"gl","álxebra abstracta","downloaded","https://gl.wikipedia.org/w/index.php?curid=51033&oldid=7114436"
"gl","anel álxebra","downloaded","https://gl.wikipedia.org/w/index.php?curid=209662&oldid=7399914"
"gl","corpo matemáticas","downloaded","https://gl.wikipedia.org/w/index.php?curid=209642&oldid=6945035"
"gl","módulo álxebra","downloaded","https://gl.wikipedia.org/w/index.php?curid=317094&oldid=6945037"
"gl","teoría de grupos","downloaded","https://gl.wikipedia.org/w/index.php?curid=169282&oldid=7404099"
"gl","demostración matemática","downloaded","https://gl.wikipedia.org/w/index.php?curid=167091&oldid=7442913"
"ro","algebră abstractă","downloaded","https://ro.wikipedia.org/w/index.php?curid=752864&oldid=17640786"
"ro","inel algebră","downloaded","https://ro.wikipedia.org/w/index.php?curid=12164&oldid=17778278"
"ro","corp algebră","downloaded","https://ro.wikipedia.org/w/index.php?curid=2608752&oldid=17715620"
"ro","modul matematică","downloaded","https://ro.wikipedia.org/w/index.php?curid=88&oldid=17753407"
"ro","teoria grupurilor","downloaded","https://ro.wikipedia.org/w/index.php?curid=2398153&oldid=17567738"
"ro","demonstrație matematică","downloaded","https://ro.wikipedia.org/w/index.php?curid=1106041&oldid=16295374"
"rm","algebra matematica","no_article_result_zero_page_or_revision",""
"rm","rintg algebra","no_article_result_zero_page_or_revision",""
"rm","corp matematica","rejected_nonmathematical_result:Biologia","https://rm.wikipedia.org/w/index.php?curid=12989&oldid=160482"
"rm","modul matematica","rejected_nonmathematical_result:Republica_Populara_da_la_China","https://rm.wikipedia.org/w/index.php?curid=13415&oldid=172712"
"rm","gruppa matematica","rejected_nonmathematical_result:Biologia","https://rm.wikipedia.org/w/index.php?curid=12989&oldid=160482"
"rm","demonstraziun matematica","rejected_nonmathematical_result:Tirchia","https://rm.wikipedia.org/w/index.php?curid=10695&oldid=167422"
