route_id,variety_code,variety_name,macrobranch,subbranch,standard_or_idiom,region,script,scope_status,corpus_language_key,source_queue,gap_reason,cohort_route,dominant_standard_not_proxy,notes,current_active_body_count,current_active_bytes,current_domains,current_license_status,evidence_status,corpus_manifest_sha256,review_status
R001,es,Spanish,Western Romance,Ibero-Romance,standard,Spain and Americas,Latn,core_initial,es,consolidated_active,,Spanish readers,true,Regional standards require later metadata,9,895422,abstract_algebra;field_theory;group_theory;mathematics_general;mathematics_mixed;module_theory;proof_register;ring_theory,declared_cc_by_sa_4_0;declared_cc_by_sa_4_0_project_terms_pending_page_match;unresolved,active_substantive_body_present,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_active_corpus
R002,pt,Portuguese,Western Romance,Ibero-Romance,standard,Portugal Africa and Brazil,Latn,core_initial,pt,consolidated_active,,Portuguese readers,true,European and Brazilian register split queued,7,1509170,abstract_algebra;group_theory;mathematics_general;module_theory;proof_register;ring_theory,declared_cc_by_sa_3_0_needs_attribution_check;declared_cc_by_sa_4_0;declared_cc_by_sa_4_0_project_terms_pending_page_match,active_substantive_body_present,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_active_corpus
R003,gl,Galician,Western Romance,Ibero-Romance,standard,Galicia,Latn,core_initial,gl,consolidated_active,,Galician readers,true,Portuguese is adjacent evidence only,6,1261078,abstract_algebra;field_theory;group_theory;mathematics_general;module_theory;proof_register;ring_theory,declared_cc_by_sa_4_0,active_substantive_body_present,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_active_corpus
R004,ca,Catalan,Western Romance,Occitano-Romance,standard,Catalonia and wider Catalan area,Latn,core_initial,ca,consolidated_active,,Catalan readers,true,Valencian and Balearic routes remain separately tagged,6,1102317,abstract_algebra;group_theory;mathematics_general;module_theory;proof_register;ring_theory,declared_cc_by_sa_4_0;declared_cc_by_sa_4_0_project_terms_pending_page_match,active_substantive_body_present,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_active_corpus
R005,fr,French,Western Romance,Oïl,standard,France and Francophonie,Latn,core_initial,fr,consolidated_active,,French readers,true,Oïl varieties are not replaced by French,21,1692746,abstract_algebra;field_theory;group_theory;mathematics_general;mathematics_mixed;module_theory;proof_register;ring_theory,arxiv_distribution_license_not_reuse_clear;declared_cc_by_sa_4_0,active_substantive_body_present,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_active_corpus
R006,it,Italian,Western Romance,Italo-Dalmatian,standard,Italy and Switzerland,Latn,core_initial,it,consolidated_active,,Italian readers,true,Regional languages are independent routes,8,1641920,abstract_algebra;analysis;field_theory;group_theory;mathematics_general;module_theory;proof_register;ring_theory,declared_cc_by_sa_4_0;unresolved_no_explicit_grant,active_substantive_body_present,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_active_corpus
R007,ro,Romanian,Eastern Romance,Daco-Romanian,standard,Romania and Moldova,Latn,core_initial,ro,consolidated_active,,Romanian readers,true,Moldovan script/register metadata queued,6,1251878,abstract_algebra;field_theory;group_theory;mathematics_general;proof_register;ring_theory,declared_cc_by_sa_4_0,active_substantive_body_present,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_active_corpus
R008,rm-rg,Rumantsch Grischun,Rhaeto-Romance,Romansh,standardized umbrella,Switzerland,Latn,core_initial,rm,Swiss institutional mathematics or education source with stable edition,,Rumantsch Grischun readers,true,One official general school-mathematics body is active; specialist algebra remains a zero-body gap; inherited forms are not corpus attestation,1,1199558,arithmetic;fractions;geometry;measurement;solution_register;word_problems,unresolved_no_explicit_reuse_grant,active_substantive_body_present,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_active_corpus
R009,rm-sursilvan,Sursilvan,Rhaeto-Romance,Romansh,regional idiom,Surselva Switzerland,Latn,core_expansion,,idiom-specific institutional dictionary plus native mathematics text,No source acquired,Separate Sursilvan cohort,true,Rumantsch Grischun is not a proxy,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
R010,rm-sutsilvan,Sutsilvan,Rhaeto-Romance,Romansh,regional idiom,Central Grisons Switzerland,Latn,core_expansion,,idiom-specific institutional dictionary plus native mathematics text,No source acquired,Separate Sutsilvan cohort,true,Rumantsch Grischun is not a proxy,0,0,,no_active_source,explicit_zero_body_gap,6774E4D5F1718D38C127C3A21EC1E88E146718A00D7D9850D4C48C3700B8CAB2,route_implemented_20260717_needs_source_acquisition
