"source_id","language_code","query","title","title_provenance","page_id","revision_id","source_url","retrieved_url","license_url","local_relative_path","bytes","sha256","source_use_status","sense_review_status"
"WIKIHTML-CA-37629739","ca","àlgebra abstracta","Àlgebra abstracta","existing_manifest","290598","37629739","https://ca.wikipedia.org/w/index.php?curid=290598&oldid=37629739","https://ca.wikipedia.org/wiki/%C3%80lgebra_abstracta","https://creativecommons.org/licenses/by-sa/4.0/deed.ca","corpus/downloaded_wikimedia_html/ca/Q01_290598_37629739_.html","257700","4483145488DFD767A8B931CDB77F99AC18C515D55D463DB07938C10AA1235180","native_rendered_article_context_shelf","automatic_search_result_requires_manual_review"
"WIKIHTML-CA-37220674","ca","anell àlgebra","Anell (matemàtiques)","existing_manifest","41933","37220674","https://ca.wikipedia.org/w/index.php?curid=41933&oldid=37220674","https://ca.wikipedia.org/wiki/Anell_(matem%C3%A0tiques)","https://creativecommons.org/licenses/by-sa/4.0/deed.ca","corpus/downloaded_wikimedia_html/ca/Q02_41933_37220674_.html","198822","6D2F13156AED62BC860C1534FE697287C5014FAFAA525816FE717D4B2E829FBB","native_rendered_article_context_shelf","automatic_search_result_requires_manual_review"
"WIKIHTML-CA-36480260","ca","cos matemàtiques","Cos (matemàtiques)","existing_manifest","54406","36480260","https://ca.wikipedia.org/w/index.php?curid=54406&oldid=36480260","https://ca.wikipedia.org/wiki/Cos_(matem%C3%A0tiques)","https://creativecommons.org/licenses/by-sa/4.0/deed.ca","corpus/downloaded_wikimedia_html/ca/Q03_54406_36480260_.html","175722","D426B7C588E924F826BA86AE0A3C5047CA152CFE313CC399C0726ED207CF9344","native_rendered_article_context_shelf","automatic_search_result_requires_manual_review"
"WIKIHTML-CA-37621206","ca","demostració matemàtica","Demostració (matemàtiques)","existing_manifest","53831","37621206","https://ca.wikipedia.org/w/index.php?curid=53831&oldid=37621206","https://ca.wikipedia.org/wiki/Demostraci%C3%B3_(matem%C3%A0tiques)","https://creativecommons.org/licenses/by-sa/4.0/deed.ca","corpus/downloaded_wikimedia_html/ca/Q06_53831_37621206_.html","284882","FC8422DD2D764F8644A34E4424F2C60AC5C941AC30F696BC1E47843268F641BF","native_rendered_article_context_shelf","automatic_search_result_requires_manual_review"
"WIKIHTML-CA-36710349","ca","mòdul anell","A-mòdul","existing_manifest","151836","36710349","https://ca.wikipedia.org/w/index.php?curid=151836&oldid=36710349","https://ca.wikipedia.org/wiki/A-m%C3%B2dul","https://creativecommons.org/licenses/by-sa/4.0/deed.ca","corpus/downloaded_wikimedia_html/ca/Q04_151836_36710349_.html","151380","8031691E3AE369F0C96F3140524D5D0981A751AFD7185D38571685149CE8E338","native_rendered_article_context_shelf","automatic_search_result_requires_manual_review"
"WIKIHTML-CA-37305780","ca","teoria de grups","Teoria de grups","existing_manifest","53255","37305780","https://ca.wikipedia.org/w/index.php?curid=53255&oldid=37305780","https://ca.wikipedia.org/wiki/Teoria_de_grups","https://creativecommons.org/licenses/by-sa/4.0/deed.ca","corpus/downloaded_wikimedia_html/ca/Q05_53255_37305780_.html","214983","206F483DBC691AB3DA49380FA19FEA88F2EF236686F9B49092730C34DF73A456","native_rendered_article_context_shelf","automatic_search_result_requires_manual_review"
"WIKIHTML-ES-173778307","es","álgebra abstracta","Álgebra abstracta","existing_manifest","12952","173778307","https://es.wikipedia.org/w/index.php?curid=12952&oldid=173778307","https://es.wikipedia.org/wiki/%C3%81lgebra_abstracta","https://creativecommons.org/licenses/by-sa/4.0/deed.es","corpus/downloaded_wikimedia_html/es/Q01_12952_173778307_.html","223255","EEBCE0086387EADE2C43A0C2D26391BB2E7F926388AD7101A6318CB910CA4C4C","native_rendered_article_context_shelf","automatic_search_result_requires_manual_review"
"WIKIHTML-ES-172514148","es","anillo álgebra","Anillo (matemática)","existing_manifest","9303","172514148","https://es.wikipedia.org/w/index.php?curid=9303&oldid=172514148","https://es.wikipedia.org/wiki/Anillo_(matem%C3%A1tica)","https://creativecommons.org/licenses/by-sa/4.0/deed.es","corpus/downloaded_wikimedia_html/es/Q02_9303_172514148_.html","334583","C1A75F20EFD9ED929100BBBA94CF76FF5AE717C0F85D1E6CCE67C2925D91D2C6","native_rendered_article_context_shelf","automatic_search_result_requires_manual_review"
"WIKIHTML-ES-163965223","es","cuerpo álgebra","Álgebra sobre un cuerpo","existing_manifest","47083","163965223","https://es.wikipedia.org/w/index.php?curid=47083&oldid=163965223","https://es.wikipedia.org/wiki/%C3%81lgebra_sobre_un_cuerpo","https://creativecommons.org/licenses/by-sa/4.0/deed.es","corpus/downloaded_wikimedia_html/es/Q03_47083_163965223_.html","187264","F3F26EC1193C2C2CA29E5BAA363F5987D573B804A76B372584D10D357087945F","native_rendered_article_context_shelf","automatic_search_result_requires_manual_review"
"WIKIHTML-ES-171959514","es","demostración matemática","Demostración matemática","existing_manifest","60286","171959514","https://es.wikipedia.org/w/index.php?curid=60286&oldid=171959514","https://es.wikipedia.org/wiki/Demostraci%C3%B3n_matem%C3%A1tica","https://creativecommons.org/licenses/by-sa/4.0/deed.es","corpus/downloaded_wikimedia_html/es/Q06_60286_171959514_.html","377104","33379DAE7C71AA40B37300BBC8A29CDF2BAD65BDA042EC51BA041EAB46479F2D","native_rendered_article_context_shelf","automatic_search_result_requires_manual_review"
