audit_entry_number,parent_pdf_index_0based,parent_pdf_page_1based,printed_page_from_audit,audit_heading
756,4,5,,### #756 (2026-07-18) — PHASE 3 COLD RE-VERIFY CORPS **DEBUT** : mapping front-matter + idx4 (page de titre) = **RAS (aucun defaut isole ; noms/accents/ordre conformes au scan).** Compile inchange **0-err / 373pp** (2871223 o). 0 fix. Fichier NON modifie.
757,6,7,,"### #757 (2026-07-18) — PHASE 3 COLD RE-VERIFY idx6 (PREFACE, .tex L96-101) = **1 FIX (restauration SIC : redige -> regige).** Compile **0-err / 373pp** (PDF 2871233 o ; +10o = re-render 1 glyphe). Fix757 verifie au PDF compile."
758,8,9,,"### #758 (2026-07-18) — PHASE 3 COLD RE-VERIFY idx8 (INTRODUCTION 1re page, .tex L104-108) = **RAS (0 fix ; transcription DEJA fidele au scan, 3 coquilles reproduites).** + **CHECK INBOX [agent] (demande [archive owner]).** Compile inchange **0-err / 373pp**. Fichier NON modifie (fix758 AVORTE par assert -- voir ci-dessous)."
759,9,10,,"### #759 (2026-07-18) — PHASE 3 COLD RE-VERIFY idx9 (INTRODUCTION p2, L108fin-L110-L112debut) = **4 FIX (coquilles SIC restaurees, transcription les avait CORRIGEES).** + inbox [agent] VIDE. Compile **0-err / 373pp** (PDF 2871225 o). Les 4 verifies 9600 + get_text PDF compile."
760,10,11,,### #760 (2026-07-18) — **INBOX [agent] : 1re ALERTE REELLE reçue + traitée (candidat #1 = REJETE).** idx10 (cold-verify front-matter) DIFFERE (candidats [agent] prioritaires). Fichier NON modifie ; compile inchange **0-err / 373pp**.
763,10,11,,"### #763 (2026-07-18) — PHASE 3 COLD RE-VERIFY idx10 (INTRODUCTION p3 = DERNIÈRE, L112fin-L114-L116) = **RAS (0 fix).** Inbox [agent] : pas de nouvelle alerte. Compile inchangé **0-err / 373pp** (PDF 2871332 o)."
9,14,15,,### #9 (2026-07-03) — Exposé 0 p1 (idx14) scribed symbol-complete (5 bands) — ~15 deviations on one page
765,14,15,,"### #765 (2026-07-18) — PHASE 3 COLD RE-VERIFY idx14 (**EXPOSÉ 0, printed p1 = 1re page du CORPS**, .tex L171-201) = **2 FIX (coquilles SIC restaurees).** Inbox [agent] : pas de nouvelle alerte. Compile **0-err / 373pp** (PDF 2871358 o). Les 2 verifies image + PDF compile."
10,15,16,,### #10 (2026-07-03) — Exposé 0 p2 (idx15) scribed symbol-complete (5 bands) — ~12 deviations
766,15,16,,"### #766 (2026-07-18) — PHASE 3 COLD RE-VERIFY idx15 (EXPOSÉ 0 p2, printed p2, .tex L205-230) = **1 FIX (coquille SIC).** Inbox [agent] : pas de nouvelle alerte. Compile **0-err / 373pp** (PDF 2871357 o)."
