slug,pdf,page,png,width,height,mean_gray,stddev_gray,black_fraction,trim_box,trim_x,trim_y,trim_area_fraction,blankish,dark_or_inverted
riemann_complete_trimmed,pdf__riemann_complete_trimmed.pdf,1,release_candidates\repairs\riemann_trimmed_audit\sample_pages\riemann_complete_trimmed\page_00001.png,585,833,0.98553,0.09983,0.02842,356x469+0+0,0,0,0.34263,False,False
riemann_complete_trimmed,pdf__riemann_complete_trimmed.pdf,2,release_candidates\repairs\riemann_trimmed_audit\sample_pages\riemann_complete_trimmed\page_00002.png,585,833,0.95159,0.16322,0.11298,452x713+0+0,0,0,0.66134,False,False
riemann_complete_trimmed,pdf__riemann_complete_trimmed.pdf,3,release_candidates\repairs\riemann_trimmed_audit\sample_pages\riemann_complete_trimmed\page_00003.png,585,833,0.9391,0.18046,0.14267,452x758+0+0,0,0,0.70308,False,False
riemann_complete_trimmed,pdf__riemann_complete_trimmed.pdf,4,release_candidates\repairs\riemann_trimmed_audit\sample_pages\riemann_complete_trimmed\page_00004.png,585,833,0.9466,0.17033,0.12543,452x757+0+0,0,0,0.70216,False,False
riemann_complete_trimmed,pdf__riemann_complete_trimmed.pdf,5,release_candidates\repairs\riemann_trimmed_audit\sample_pages\riemann_complete_trimmed\page_00005.png,585,833,0.94143,0.17774,0.13715,453x714+0+0,0,0,0.66374,False,False
riemann_complete_trimmed,pdf__riemann_complete_trimmed.pdf,22,release_candidates\repairs\riemann_trimmed_audit\sample_pages\riemann_complete_trimmed\page_00022.png,585,833,0.9523,0.16121,0.11269,452x757+0+0,0,0,0.70216,False,False
riemann_complete_trimmed,pdf__riemann_complete_trimmed.pdf,44,release_candidates\repairs\riemann_trimmed_audit\sample_pages\riemann_complete_trimmed\page_00044.png,585,833,0.97267,0.12418,0.06449,452x757+0+0,0,0,0.70216,False,False
riemann_complete_trimmed,pdf__riemann_complete_trimmed.pdf,65,release_candidates\repairs\riemann_trimmed_audit\sample_pages\riemann_complete_trimmed\page_00065.png,745,1053,0.96828,0.13262,0.0765,568x958+0+0,0,0,0.69363,False,False
riemann_complete_trimmed,pdf__riemann_complete_trimmed.pdf,86,release_candidates\repairs\riemann_trimmed_audit\sample_pages\riemann_complete_trimmed\page_00086.png,745,1053,0.9743,0.11905,0.06278,568x958+0+0,0,0,0.69363,False,False
riemann_complete_trimmed,pdf__riemann_complete_trimmed.pdf,107,release_candidates\repairs\riemann_trimmed_audit\sample_pages\riemann_complete_trimmed\page_00107.png,745,1053,0.99486,0.0542,0.01259,568x957+0+0,0,0,0.69291,False,False
riemann_complete_trimmed,pdf__riemann_complete_trimmed.pdf,129,release_candidates\repairs\riemann_trimmed_audit\sample_pages\riemann_complete_trimmed\page_00129.png,745,1053,0.96756,0.13358,0.07981,568x907+0+0,0,0,0.65671,False,False
