segment_id,source_line_start,source_line_end,logic_role,scope_constraints,target_sentence_ids,review_status,source_text_sha256,source_text
S031,21099,21099,section_heading,section number and representation-module concept retained,T-H6,accounted,ED493AE32AE7A6165B80FB02A9B4D1F0342EAAC3E4D29EEAB81B91061CB679D6,\subsection*{\texorpdfstring{\(\S\) 3. Darstellungsmoduln}{\textbackslash S 3. Darstellungsmoduln}}\label{s-3.-darstellungsmoduln}
S032,21101,21101,direct_definition_label,historical abbreviation d. D. M. retained,T-031,accounted,EB87C13E98651797664DCE5BE9E142DA9C115104033B1B20AED642B249959BB9,Definition des \emph{direkten Darstellungsmoduls} (d. D. M.).
S033,21103,21103,direct_bimodule_structure,additive abelian group and both o/T module actions retained by operand order,T-032,accounted,C9B64D533469993707F14C33A513767248F065CA0FDAEBE1369DE970E07001EA,"Direkter Darstellungsmodul von \(\mathfrak{o}\) in bezug auf \(\mathsf T\) ist jeder \(\mathfrak{o}\), \(\mathsf T\)-Doppelmodul \(\mathfrak M\) (d. h. also eine additiv geschriebene abelsche Gruppe, die in bezug auf \(\mathfrak{o}\) Linksmodul, in bezug auf \(\mathsf T\) Rechtsmodul ist und dem durchlaufenden Assoziativgesetz genügt: \(c\in\mathfrak{o}\), \(m\in\mathfrak M\), \(\tau\in\mathsf T\); \((cm)\tau=c(m\tau)\)), der sich als direkte Summe von endlich vielen eingliedrigen \(\mathsf T\)-Moduln schreiben läßt --- mit \(\tau=0\) aus \(x_i\tau=0\) ---"
S034,21103,21103,mixed_associativity,quantifiers and exact action-order equation retained,T-033,accounted,C9B64D533469993707F14C33A513767248F065CA0FDAEBE1369DE970E07001EA,"Direkter Darstellungsmodul von \(\mathfrak{o}\) in bezug auf \(\mathsf T\) ist jeder \(\mathfrak{o}\), \(\mathsf T\)-Doppelmodul \(\mathfrak M\) (d. h. also eine additiv geschriebene abelsche Gruppe, die in bezug auf \(\mathfrak{o}\) Linksmodul, in bezug auf \(\mathsf T\) Rechtsmodul ist und dem durchlaufenden Assoziativgesetz genügt: \(c\in\mathfrak{o}\), \(m\in\mathfrak M\), \(\tau\in\mathsf T\); \((cm)\tau=c(m\tau)\)), der sich als direkte Summe von endlich vielen eingliedrigen \(\mathsf T\)-Moduln schreiben läßt --- mit \(\tau=0\) aus \(x_i\tau=0\) ---"
S035,21103,21103,direct_free_rank_one_decomposition,finite direct sum; one-generator summands; zero-annihilator implication retained,T-034,accounted,C9B64D533469993707F14C33A513767248F065CA0FDAEBE1369DE970E07001EA,"Direkter Darstellungsmodul von \(\mathfrak{o}\) in bezug auf \(\mathsf T\) ist jeder \(\mathfrak{o}\), \(\mathsf T\)-Doppelmodul \(\mathfrak M\) (d. h. also eine additiv geschriebene abelsche Gruppe, die in bezug auf \(\mathfrak{o}\) Linksmodul, in bezug auf \(\mathsf T\) Rechtsmodul ist und dem durchlaufenden Assoziativgesetz genügt: \(c\in\mathfrak{o}\), \(m\in\mathfrak M\), \(\tau\in\mathsf T\); \((cm)\tau=c(m\tau)\)), der sich als direkte Summe von endlich vielen eingliedrigen \(\mathsf T\)-Moduln schreiben läßt --- mit \(\tau=0\) aus \(x_i\tau=0\) ---"
S036,21105,21107,direct_decomposition_formula,all n summands and multiplication sides retained,T-E4,accounted,2D7DA9115FA5EDBB44658C980FE08373280DDCA8F2077ED31EC9AE41ED84BA2A,\[ ⏎ \mathfrak M=x_1\cdot\mathsf T+x_2\cdot\mathsf T+\cdots+x_n\cdot\mathsf T. ⏎ \]
S037,21109,21109,reciprocal_definition_label,historical abbreviation r. D. M. retained,T-035,accounted,8EFA6411CD5762B3268EC8EAEFB68A0BB1C9377DDCB5B66E719F1C20D9082E4B,Definition des \emph{reziproken Darstellungsmoduls} (r. D. M.).
S038,21111,21111,reciprocal_actions_and_commutation,both source-left actions and exact commutation equation retained without calling the ring commutative,T-036;T-037,accounted,FF05C6DF30F4ACB8762908764B7DE7747E225B57BAABF1863EEE16AD0330033B,"Reziproker Darstellungsmodul von \(\mathfrak{o}\) in bezug auf \(\mathsf T^*\) ist jeder \(\mathfrak{o}\)-Links- und \(\mathsf T^*\)-Linksmodul \(\mathfrak M^*\), der dem Kommutativgesetz (Wenn \(c\in\mathfrak{o}\), \(m\in\mathfrak M^*\), \(\tau\in\mathsf T^*\), so \(c(\tau^*m^*)=\tau^*(cm)\)) genügt und sich als direkte Summe von endlich vielen einfachen \(\mathsf T^*\)-Moduln schreiben läßt --- mit \(\tau^*=0\) aus \(\tau^*\cdot x_i^*=0\) ---"
S039,21111,21111,reciprocal_decomposition,finite direct sum; source word einfach and zero-annihilator implication retained with ambiguity note,T-038,accounted,FF05C6DF30F4ACB8762908764B7DE7747E225B57BAABF1863EEE16AD0330033B,"Reziproker Darstellungsmodul von \(\mathfrak{o}\) in bezug auf \(\mathsf T^*\) ist jeder \(\mathfrak{o}\)-Links- und \(\mathsf T^*\)-Linksmodul \(\mathfrak M^*\), der dem Kommutativgesetz (Wenn \(c\in\mathfrak{o}\), \(m\in\mathfrak M^*\), \(\tau\in\mathsf T^*\), so \(c(\tau^*m^*)=\tau^*(cm)\)) genügt und sich als direkte Summe von endlich vielen einfachen \(\mathsf T^*\)-Moduln schreiben läßt --- mit \(\tau^*=0\) aus \(\tau^*\cdot x_i^*=0\) ---"
S040,21113,21115,reciprocal_decomposition_formula,source formula retained exactly including unstarred x indices,T-E5,accounted,F3E5F6F102334649EC1C269041486CD14ECFCFE8ACFDBF31BB7C9DB4BA16A91D,\[ ⏎ \mathfrak M^*=\mathsf T^*\cdot x_1+\cdots+\mathsf T^*\cdot x_n. ⏎ \]
