segment_id,source_line_start,source_line_end,logic_role,scope_constraints,target_sentence_ids,review_status
S031,21099,21099,section_heading,section number and representation-module concept retained,T-H6,accounted
S032,21101,21101,direct_definition_label,historical abbreviation d. D. M. retained,T-031,accounted
S033,21103,21103,direct_bimodule_structure,additive abelian group and both o/T module actions retained by operand order,T-032,accounted
S034,21103,21103,mixed_associativity,quantifiers and exact action-order equation retained,T-033,accounted
S035,21103,21103,direct_free_rank_one_decomposition,finite direct sum; one-generator summands; zero-annihilator implication retained,T-034,accounted
S036,21105,21107,direct_decomposition_formula,all n summands and multiplication sides retained,T-E4,accounted
S037,21109,21109,reciprocal_definition_label,historical abbreviation r. D. M. retained,T-035,accounted
S038,21111,21111,reciprocal_actions_and_commutation,both source-left actions and exact commutation equation retained without calling the ring commutative,T-036;T-037,accounted
S039,21111,21111,reciprocal_decomposition,finite direct sum; source word einfach and zero-annihilator implication retained with ambiguity note,T-038,accounted
S040,21113,21115,reciprocal_decomposition_formula,source formula retained exactly including unstarred x indices,T-E5,accounted
