printed_page	folio_as_printed	running_head_as_printed	imprint_as_printed	signature_as_printed	rules	evidence	disposition
65			G. Lejeune Dirichlet’s Werke.	9	short rule below title; rule after opening paragraph	qa/source/p065_authority.png	FR furniture reproduced; EN running heads and imprint translated; not counted as additional author pages
66	66	RECHERCHES SUR LES DIVISEURS PREMIERS				qa/source/p066_authority.png	FR furniture reproduced; EN running heads and imprint translated; not counted as additional author pages
67	67	D’UNE CLASSE DE FORMULES DU QUATRIÈME DEGRÉ.		9*		qa/source/p067_authority.png	FR furniture reproduced; EN running heads and imprint translated; not counted as additional author pages
68	68	RECHERCHES SUR LES DIVISEURS PREMIERS				qa/source/p068_authority.png	FR furniture reproduced; EN running heads and imprint translated; not counted as additional author pages
69	69	D’UNE CLASSE DE FORMULES DU QUATRIÈME DEGRÉ.				qa/source/p069_authority.png	FR furniture reproduced; EN running heads and imprint translated; not counted as additional author pages
70	70	RECHERCHES SUR LES DIVISEURS PREMIERS				qa/source/p070_authority.png	FR furniture reproduced; EN running heads and imprint translated; not counted as additional author pages
71	71	D’UNE CLASSE DE FORMULES DU QUATRIÈME DEGRÉ.			footnote separator	qa/source/p071_authority.png	FR furniture reproduced; EN running heads and imprint translated; not counted as additional author pages
72	72	RECHERCHES SUR LES DIVISEURS PREMIERS				qa/source/p072_authority.png	FR furniture reproduced; EN running heads and imprint translated; not counted as additional author pages
73	73	D’UNE CLASSE DE FORMULES DU QUATRIÈME DEGRÉ.	G. Lejeune Dirichlet’s Werke.	10		qa/source/p073_authority.png	FR furniture reproduced; EN running heads and imprint translated; not counted as additional author pages
74	74	RECHERCHES SUR LES DIVISEURS PREMIERS				qa/source/p074_authority.png	FR furniture reproduced; EN running heads and imprint translated; not counted as additional author pages
