printed_page	authority_pdf_page	scope_leaf	role	fr_status	en_status	apparatus_status	occurrences_in_each_current_reader
63	80	1	COPY_MATTER	COPY_LOGGED	COPY_LOGGED	COPY_LOGGED	0
64	81	2	COPY_MATTER	COPY_LOGGED	COPY_LOGGED	COPY_LOGGED	0
65	82	3	AUTHOR_TEXT	ACCEPTED_S01	ACCEPTED_S01	ACCEPTED_S01	1
66	83	4	AUTHOR_TEXT	ACCEPTED_S01	ACCEPTED_S01	ACCEPTED_S01	1
67	84	5	AUTHOR_TEXT	ACCEPTED_S01	ACCEPTED_S01	ACCEPTED_S01	1
68	85	6	AUTHOR_TEXT	ACCEPTED_S01	ACCEPTED_S01	ACCEPTED_S01	1
69	86	7	AUTHOR_TEXT	ACCEPTED_S01	ACCEPTED_S01	ACCEPTED_S01	1
70	87	8	AUTHOR_TEXT	ACCEPTED_S01	ACCEPTED_S01	ACCEPTED_S01	1
71	88	9	AUTHOR_TEXT	ACCEPTED_S01	ACCEPTED_S01	ACCEPTED_S01	1
72	89	10	AUTHOR_TEXT	ACCEPTED_S01	ACCEPTED_S01	ACCEPTED_S01	1
73	90	11	AUTHOR_TEXT	ACCEPTED_S01	ACCEPTED_S01	ACCEPTED_S01	1
74	91	12	AUTHOR_TEXT	ACCEPTED_S01	ACCEPTED_S01	ACCEPTED_S01	1
75	92	13	AUTHOR_TEXT	UNPROCESSED_UNVERIFIED_R28	UNPROCESSED_UNVERIFIED_R28	UNPROCESSED_UNVERIFIED_R28	0
76	93	14	AUTHOR_TEXT	UNPROCESSED_UNVERIFIED_R28	UNPROCESSED_UNVERIFIED_R28	UNPROCESSED_UNVERIFIED_R28	0
77	94	15	AUTHOR_TEXT	UNPROCESSED_UNVERIFIED_R28	UNPROCESSED_UNVERIFIED_R28	UNPROCESSED_UNVERIFIED_R28	0
78	95	16	AUTHOR_TEXT	UNPROCESSED_UNVERIFIED_R28	UNPROCESSED_UNVERIFIED_R28	UNPROCESSED_UNVERIFIED_R28	0
79	96	17	AUTHOR_TEXT	UNPROCESSED_UNVERIFIED_R28	UNPROCESSED_UNVERIFIED_R28	UNPROCESSED_UNVERIFIED_R28	0
80	97	18	AUTHOR_TEXT	UNPROCESSED_UNVERIFIED_R28	UNPROCESSED_UNVERIFIED_R28	UNPROCESSED_UNVERIFIED_R28	0
81	98	19	AUTHOR_TEXT	UNPROCESSED_NO_INHERITED_TEXT	UNPROCESSED_NO_INHERITED_TEXT	UNPROCESSED_NO_INHERITED_TEXT	0
82	99	20	AUTHOR_TEXT	UNPROCESSED_NO_INHERITED_TEXT	UNPROCESSED_NO_INHERITED_TEXT	UNPROCESSED_NO_INHERITED_TEXT	0
83	100	21	AUTHOR_TEXT	UNPROCESSED_NO_INHERITED_TEXT	UNPROCESSED_NO_INHERITED_TEXT	UNPROCESSED_NO_INHERITED_TEXT	0
84	101	22	AUTHOR_TEXT	UNPROCESSED_NO_INHERITED_TEXT	UNPROCESSED_NO_INHERITED_TEXT	UNPROCESSED_NO_INHERITED_TEXT	0
85	102	23	AUTHOR_TEXT	UNPROCESSED_NO_INHERITED_TEXT	UNPROCESSED_NO_INHERITED_TEXT	UNPROCESSED_NO_INHERITED_TEXT	0
86	103	24	AUTHOR_TEXT	UNPROCESSED_NO_INHERITED_TEXT	UNPROCESSED_NO_INHERITED_TEXT	UNPROCESSED_NO_INHERITED_TEXT	0
87	104	25	AUTHOR_TEXT	UNPROCESSED_NO_INHERITED_TEXT	UNPROCESSED_NO_INHERITED_TEXT	UNPROCESSED_NO_INHERITED_TEXT	0
88	105	26	AUTHOR_TEXT	UNPROCESSED_NO_INHERITED_TEXT	UNPROCESSED_NO_INHERITED_TEXT	UNPROCESSED_NO_INHERITED_TEXT	0
89	106	27	AUTHOR_TEXT	UNPROCESSED_NO_INHERITED_TEXT	UNPROCESSED_NO_INHERITED_TEXT	UNPROCESSED_NO_INHERITED_TEXT	0
90	107	28	AUTHOR_TEXT	UNPROCESSED_NO_INHERITED_TEXT	UNPROCESSED_NO_INHERITED_TEXT	UNPROCESSED_NO_INHERITED_TEXT	0
91	108	29	AUTHOR_TEXT	UNPROCESSED_NO_INHERITED_TEXT	UNPROCESSED_NO_INHERITED_TEXT	UNPROCESSED_NO_INHERITED_TEXT	0
92	109	30	AUTHOR_TEXT	UNPROCESSED_NO_INHERITED_TEXT	UNPROCESSED_NO_INHERITED_TEXT	UNPROCESSED_NO_INHERITED_TEXT	0
93	110	31	AUTHOR_TEXT	UNPROCESSED_NO_INHERITED_TEXT	UNPROCESSED_NO_INHERITED_TEXT	UNPROCESSED_NO_INHERITED_TEXT	0
94	111	32	AUTHOR_TEXT	UNPROCESSED_NO_INHERITED_TEXT	UNPROCESSED_NO_INHERITED_TEXT	UNPROCESSED_NO_INHERITED_TEXT	0
95	112	33	AUTHOR_TEXT	UNPROCESSED_NO_INHERITED_TEXT	UNPROCESSED_NO_INHERITED_TEXT	UNPROCESSED_NO_INHERITED_TEXT	0
96	113	34	AUTHOR_TEXT	UNPROCESSED_NO_INHERITED_TEXT	UNPROCESSED_NO_INHERITED_TEXT	UNPROCESSED_NO_INHERITED_TEXT	0
97	114	35	AUTHOR_TEXT	UNPROCESSED_NO_INHERITED_TEXT	UNPROCESSED_NO_INHERITED_TEXT	UNPROCESSED_NO_INHERITED_TEXT	0
98	115	36	AUTHOR_TEXT	UNPROCESSED_NO_INHERITED_TEXT	UNPROCESSED_NO_INHERITED_TEXT	UNPROCESSED_NO_INHERITED_TEXT	0
