"row","topic","target_rendering_slot","source_context_note","term_alternatives","formula_note","scaffold"
"K-TRN-001","proof reading and definition use","owner-filled proof/definition rendering","definition use vs proof claim vs hypothesis check","proof/demonstration/argument; definition/defining condition","near implication, iff, forall, exists","DEF_USE: definition + instantiated variables -> required conclusion"
"K-TRN-002","sets membership subset equality","owner-filled membership/inclusion/equality rendering","object membership vs set inclusion vs equality","belongs-to/membership; subset/inclusion; same-set/equality","near x in A, A subset B, A = B","SET_REL: object -> membership test -> set relation -> equality/inclusion claim"
"K-TRN-003","relation/function boundary","owner-filled relation/function distinction","arbitrary relation vs graph membership vs uniqueness","relation/correspondence; function/map/assignment","near R subset A x B and f:A->B","REL_FUN: input set + graph + uniqueness -> function reading"
"K-TRN-004","domain codomain range image","owner-filled domain/codomain/range rendering","declared input/output vs actual image","domain/source set; codomain/target set; range/image","near f:A->B, f(a), image f[A]","DOM_COD_RNG: declared input -> declared output -> actual image -> boundary case"
"K-TRN-005","injective surjective bijective family","owner-filled property rendering","one-to-one vs onto vs both","injective/one-to-one; surjective/onto; bijective/one-to-one correspondence","near f(x)=f(y) implies x=y and preimage witness","PROP_FUN: output equality -> input equality; codomain element -> preimage witness; both -> bijection"
"K-TRN-006","relation properties equivalence order poset","owner-filled relation-property rendering","property name tied to formula pattern","reflexive; symmetric; antisymmetric; transitive; equivalence relation; partial order","near aRa, aRb -> bRa, aRb and bRa -> a=b","REL_PROP: relation R + formula pattern -> named property -> structure label"
"K-TRN-007","composition inverse arrow reading","owner-filled arrow/composition rendering","map name, application, maps-to, composition order, inverse","maps to/sends to; composition/followed by; inverse map/inverse relation","near f:A->B, x |-> f(x), (g o f)(x), f^{-1}","ARROW_OP: named map + input + output reading -> composition/inverse operation"
"K-TRN-008","finite infinite equinumerosity","owner-filled finite/infinite/same-size rendering","finite counting vs infinite set vs same size by bijection","finite; infinite; equinumerous/same cardinality; correspondence/bijection","near |A|, |B|, bijection A<->B","SIZE_EQ: set A + set B + bijection/counting witness -> size comparison"
"K-TRN-009","OpenIntro numeracy to function bridge","owner-filled numeracy context rendering","rate, table, graph, average, spread as function-neighboring contexts","rate/ratio/proportion; table/graph; input/output; average/spread","near y=f(x), table columns, graph axes, rate per unit","NUM_FUNC: real-world input -> table/graph/model -> output/summary -> interpretation"
"K-TRN-010","linear map and abstract algebra extension","owner-filled algebra extension rendering","extension after relation/function basics are stable","linear map/transformation; homomorphism; kernel/image; equivalence class","near T:V->W, phi:G->H, kernel, image, quotient","ALG_MAP: structured domain + structure-preserving rule -> image/kernel/equivalence consequence"
