decision_id,record_revision,supersedes,component_id,source_unit_record_id,evidence_class,authority_role,source_tex_lines,printed_volume_pages,physical_source_pdf_pages,recomposed_running_pages,source_locator,target_locator,source_term_or_delta,chosen_english_or_action,normalization_class,beneficial_convention,adverse_delta,rejected_alternative,rationale,decision,status,confidence,cross_references,continuation_cursor,review_state,closure_id
SGA2-VI-TERM-001,1,,SGA2-VI-C01,SGA2-VI-OPEN,terminology,corrected_french_tex,2146,72,65,57,French TeX 2146,Target TeX 93-96,espace annele,ringed space,standard_mathematical_english,stable SGA-wide terminology,,ringed topological space,Standard historical term,preserve,passed,high,SGA2-VI-ALIGN-001,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-TERM-002,1,,SGA2-VI-C01,SGA2-VI-OPEN,terminology,corrected_french_tex,2146,72,65,57,French TeX 2146,Target TeX 93-96,partie localement fermee,locally closed subset,standard_mathematical_english,consistent set-language,,locally closed part,Standard idiom,preserve,passed,high,SGA2-VI-ALIGN-001,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-TERM-003,1,,SGA2-VI-C01,SGA2-VI-OPEN,terminology,corrected_french_tex,2146,72,65,57,French TeX 2146,Target TeX 94,O_X-Modules,O_X-modules,register_normalization,lowercase common noun in English,,capitalized Modules,Matches lane policy,preserve,passed,high,SGA2-VI-FORM-002,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-TERM-004,1,,SGA2-VI-C01,SGA2-VI-OPEN,terminology,corrected_french_tex,2154,72,65,57,French TeX 2154,Target TeX 119,Theoreme d'excision,Excision theorem,standard_mathematical_english,canonical theorem name,,Excision Theorem title case,Sentence-style theorem naming,preserve,passed,high,SGA2-VI-FORM-005,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-TERM-005,1,,SGA2-VI-C02,SGA2-VI-14-16,terminology,corrected_french_tex,2164,72,65,57,French TeX 2164,Target TeX 135-143,isomorphisme fonctoriel,functorial isomorphism,standard_mathematical_english,stable categorical register,,natural isomorphism,Functorial is literal and consistent,preserve,passed,high,SGA2-VI-FORM-006,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-TERM-006,1,,SGA2-VI-C02,SGA2-VI-14-16,terminology,corrected_french_tex,2171,73,65,57,French TeX corrected branch 2171,Target TeX 162-168,isomorphisme partial-fonctoriel,partial-functorial isomorphism,source_literal_register,preserves derived-functor terminology,,natural isomorphism,Source specifically invokes partial-functor structure,preserve,passed,high,SGA2-VI-FORM-010,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-TERM-007,1,,SGA2-VI-C02,SGA2-VI-14-16,terminology,corrected_french_tex,2174,73,66,58,French TeX 2174,Target TeX 169-179,flasque,flasque,source_register_choice,preserves source-era SGA terminology,,flabby,Flasque is accepted historical English in this lane,preserve,passed,high,SGA2-VI-FORM-011,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-TERM-008,1,,SGA2-VI-C02,SGA2-VI-14-16,terminology,corrected_french_tex,2174-2185,73,66,58,French TeX 2174-2185,Target TeX 169-197,foncteur spectral,spectral functor,source_register_choice,retains source abstraction,,spectral sequence,The source names the functor and then gives its initial term,preserve,passed,high,SGA2-VI-FORM-011;SGA2-VI-FORM-014,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-TERM-009,1,,SGA2-VI-C03,SGA2-VI-1719,terminology,corrected_french_tex,2199,74,66,58,French TeX 2199,Target TeX 219-220,splitte localement,splits locally,standard_mathematical_english,idiomatic verb,,is locally split,Both are valid but active form matches lane register,preserve,passed,high,SGA2-VI-FORM-016,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-TERM-010,1,,SGA2-VI-C03,SGA2-VI-1719,terminology,corrected_french_tex,2207-2215,74,66,58,French TeX 2207-2215,Target TeX 234-257,leading ellipsis beside next Ext term,explicit continuation arrow after ellipsis,readability_normalization,makes exact-sequence continuation unambiguous,,verbatim omission of arrow,No term or order changes; bounded review recorded the normalization,preserve,passed,high,SGA2-VI-FORM-017;SGA2-VI-FORM-018,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-TERM-011,1,,SGA2-VI-C04,SGA2-VI-21,terminology,corrected_french_tex,2221,75,67,59,French TeX 2221,Target TeX 262,Applications plural,Applications plural,source_required_heading_correction,exact heading number agreement,Earlier bounded draft had singular Application,singular Application,Independent bounded review corrected it,preserve,passed,high,SGA2-VI-ALIGN-011,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-TERM-012,1,,SGA2-VI-C04,SGA2-VI-21,terminology,corrected_french_tex,2221-2224,75,67,59,French TeX 2221-2224,Target TeX 262-267,preschema,prescheme,historical_SGA_register,consistent with existing English SGA volumes,,scheme,Changing the historical category would be substantive,preserve,passed,high,SGA2-VI-FORM-019,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-TERM-013,1,,SGA2-VI-C04,SGA2-VI-21,terminology,corrected_french_tex,2224-2227,75,67,59,French TeX 2224-2227,Target TeX 265-277,quasi-coherent,quasi-coherent,standard_mathematical_english,stable hyphenation,,quasicoherent,Conventional English hyphenation,preserve,passed,high,SGA2-VI-FORM-019;SGA2-VI-FORM-020,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-TERM-014,1,,SGA2-VI-C05,SGA2-VI-22-T23S,terminology,corrected_french_tex,2232,75,67,59,French TeX 2232,Target TeX 279-291,sous-preschema ferme,closed subprescheme,source_distinction,preserves setup category,,closed subset,The theorem later deliberately changes to closed subset,preserve,passed,high,SGA2-VI-FORM-021,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-TERM-015,1,,SGA2-VI-C05,SGA2-VI-22-T23S,terminology,corrected_french_tex,2232,75,67,59,French TeX 2232,Target TeX 287,systeme projectif,projective system,standard_SGA_register,consistent category language,,inverse system,Literal SGA term is clear,preserve,passed,high,SGA2-VI-FORM-021,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-TERM-016,1,,SGA2-VI-C05,SGA2-VI-22-T23S,terminology,corrected_french_tex,2250,76,67,59,French TeX 2250,Target TeX 315-318,partie fermee,closed subset,source_distinction,preserves theorem wording after subprescheme setup,,closed subprescheme,Source changes category in the theorem,preserve,passed,high,SGA2-VI-FORM-025,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-TERM-017,1,,SGA2-VI-C06,SGA2-VI-T23P-CLOSE,terminology,corrected_french_tex,2262,76,67-68,59-60,French TeX corrected branch 2262,Target TeX 337-340,literal I^n M,literal I^n M,source_literal_formula_choice,preserves exact source rather than harmonizing with O_Yn indexing,,I^(n+1) M,No source authorization for silent harmonization,preserve,passed,high,SGA2-VI-FORM-026,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-TERM-018,1,,SGA2-VI-C06,SGA2-VI-T23P-CLOSE,terminology,corrected_french_tex,2268,76,68,60,French TeX corrected branch 2268; direct PDF physical 68,Target TeX 353-355,sheaf H_Y^q versus plain H_Y^0,sheaf H_Y^q versus plain H_Y^0,source_required_operator_correction,restores global-versus-sheaf distinction,Earlier bounded draft used calligraphic H_Y^0,calligraphic H_Y^0,Direct PDF and corrected TeX agree,preserve,passed,high,SGA2-VI-FORM-028,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-TERM-019,1,,SGA2-VI-C06,SGA2-VI-T23P-CLOSE,terminology,corrected_french_tex,2272,76,68,60,French TeX 2272,Target TeX 363-366,Tohoku then Godement,Tohoku then Godement,bibliography_order,preserves source order,,expanded speculative citations,Source only refers to Expose I bibliography,preserve,passed,high,SGA2-VI-FORM-030,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-TERM-020,1,,SGA2-VI-CUM-ROOT,package,rights_and_attribution,authority_and_comparison_controls,2139-2272,72-76,65-68,57-60,Authority and comparison hash ledger,Publication controls,French-source rights and candidate CC BY declaration,retain separate caveats,publication_hygiene,prevents license overclaim,public-curator license decision remains open,CC BY claim applied to all materials,The candidate license does not license French source or automatically license this English work,preserve,passed,high,SGA2-VI-CUM-AUTH-001;SGA2-VI-CUM-AUTH-003,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
