review_id,record_revision,supersedes,review_class,source_locator,target_locator,evidence_count,status,decision,errors,source_tex_lines,printed_volume_pages,physical_source_pdf_pages,recomposed_running_pages,continuation_cursor,review_state,closure_id,caveat
SGA2-VI-REVIEW-001,1,,authority_hashes,three authority and comparison controls,ledgers/AUTHORITY_ARTIFACT_HASHES.csv,3,passed,recomputed bytes and SHA-256,0,2139-2272,72-76,65-68,57-60,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719,Candidate remains comparison-only
SGA2-VI-REVIEW-002,1,,sealed_component_artifacts,six working-unit TeX PDF and review seals,ledgers/COMPONENT_UNIT_INTEGRATION.csv,18,passed,recomputed every artifact hash,0,2139-2272,72-76,65-68,57-60,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719,Seals remain bounded-unit evidence
SGA2-VI-REVIEW-003,1,,cumulative_body_integration,six sealed mathematical bodies,cumulative TeX line ranges in integration ledger,6,passed,case-sensitive exact match after documented wrapper and whitespace normalization,0,2139-2272,72-76,65-68,57-60,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719,No mathematical-body drift found
SGA2-VI-REVIEW-004,1,,source_alignment,corrected French TeX and direct PDF,ledgers/SOURCE_ALIGNMENT_COVERAGE.csv,16,passed,rechecked all bounded sections formulas and close,0,2139-2272,72-76,65-68,57-60,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719,Three page coordinate systems kept distinct
SGA2-VI-REVIEW-005,1,,formula_symbol_structure,corrected French TeX and direct PDF,ledgers/FORMULA_SYMBOL_NOTE_STRUCTURE_COMPARISON.csv,30,passed,rechecked critical operators indices maps equations and references,0,2139-2272,72-76,65-68,57-60,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719,Source-literal anomalies disclosed
SGA2-VI-REVIEW-006,1,,terminology_adverse_choices,source terminology and candidate deltas,ledgers/TERMINOLOGY_NORMALIZATION_ADVERSE_CHOICES.csv,20,passed,rechecked chosen and rejected forms,0,2139-2272,72-76,65-68,57-60,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719,US spelling policy unchanged
SGA2-VI-REVIEW-007,1,,build,two fresh pdfLaTeX passes,final cumulative PDF,2,passed,pass two clean,0,2139-2272,72-76,65-68,57-60,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719,First-pass rerun warnings expected and resolved
SGA2-VI-REVIEW-008,1,,diagnostics,sanitized pass-two and final logs,build evidence ledger,2,passed,no warning box undefined reference missing glyph or fatal patterns,0,2139-2272,72-76,65-68,57-60,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719,Private roots sanitized
SGA2-VI-REVIEW-009,1,,pdf_structure,Poppler pdfinfo,final cumulative PDF,1,passed,four unencrypted A4 pages with descriptive fields,0,2139-2272,72-76,65-68,57-60,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719,No XMP metadata stream and not tagged
SGA2-VI-REVIEW-010,1,,font_structure,pdffonts,final cumulative PDF,18,passed,all reported rows embedded subset and Unicode mapped,0,2139-2272,72-76,65-68,57-60,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719,Tool reports repeated font objects separately
SGA2-VI-REVIEW-011,1,,target_visual,300 dpi target renders,render_qa target pages,4,passed,all pages inspected at original resolution,0,2139-2272,72-76,65-68,57-60,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719,No clipping overlap collision blank page or missing glyph
