alignment_id,record_revision,supersedes,component_id,source_unit_record_id,evidence_class,authority_role,source_tex_lines,printed_volume_pages,physical_source_pdf_pages,recomposed_running_pages,source_locator,target_locator,coverage_status,decision,status,confidence,adverse_delta,rejected_alternative,cross_references,continuation_cursor,review_state,closure_id
SGA2-VI-ALIGN-001,1,,SGA2-VI-C01,SGA2-VI-OPEN,source_alignment,corrected_french_tex_and_direct_pdf,2139-2146,72,65,57,French TeX lines 2139-2146; direct PDF physical 65,Target TeX lines 88-102,complete,retain title and global-versus-sheaf functor distinction,passed,high,,Flattened Ext and Hom notation,SGA2-VI-CUM-AUTH-001;SGA2-VI-CUM-AUTH-002,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-ALIGN-002,1,,SGA2-VI-C01,SGA2-VI-OPEN,source_alignment,corrected_french_tex_and_direct_pdf,2148-2152,72,65,57,French TeX lines 2148-2152; direct PDF physical 65,Target TeX lines 103-118,complete,retain Lemma 1.2 presheaf and canonical sections identity,passed,high,,Ordinary Hom or missing restriction bars,SGA2-VI-ALIGN-001,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-ALIGN-003,1,,SGA2-VI-C01,SGA2-VI-OPEN,source_alignment,corrected_french_tex_and_direct_pdf,2154-2161,72,65,57,French TeX lines 2154-2161; direct PDF physical 65,Target TeX lines 119-133,complete,preserve literal support subscripts X and V and exact proof close,passed,high,Source-literal X and V are mathematically notable,Silent replacement by Z,SGA2-VI-ALIGN-002,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-ALIGN-004,1,,SGA2-VI-C02,SGA2-VI-14-16,source_alignment,corrected_french_tex_and_direct_pdf,2163-2171,72-73,65,57,French TeX lines 2163-2171; direct PDF physical 65,Target TeX lines 134-168,complete,preserve three functorial isomorphisms and theta direction,passed,high,,Reverse theta or dropped tensor base,SGA2-VI-CUM-AUTH-001;SGA2-VI-CUM-AUTH-002,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-ALIGN-005,1,,SGA2-VI-C02,SGA2-VI-14-16,source_alignment,corrected_french_tex_and_direct_pdf,2173-2174,73,66,58,French TeX lines 2173-2174; direct PDF physical 66,Target TeX lines 169-179,complete,preserve exactness and flasqueness hypotheses and first initial term,passed,high,,Malformed corrected sheaf-Ext branch,SGA2-VI-ALIGN-004,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-ALIGN-006,1,,SGA2-VI-C02,SGA2-VI-14-16,source_alignment,corrected_french_tex_and_direct_pdf,2176-2180,73,66,58,French TeX lines 2176-2180; direct PDF physical 66,Target TeX lines 181-194,complete,preserve second and third spectral-functor initial terms,passed,high,,Conflation of global and sheaf Ext,SGA2-VI-ALIGN-005,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-ALIGN-007,1,,SGA2-VI-C02,SGA2-VI-14-16,source_alignment,corrected_french_tex_and_direct_pdf,2184-2191,73,66,58,French TeX lines 2184-2191; direct PDF physical 66,Target TeX lines 196-207,complete,preserve Theorem 1.6 order punctuation and all p-q indices,passed,high,Comma in 1.6.2 was corrected during bounded review,Semicolon after X in equation 1.6.2,SGA2-VI-ALIGN-006,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-ALIGN-008,1,,SGA2-VI-C03,SGA2-VI-1719,source_alignment,corrected_french_tex_and_direct_pdf,2193-2202,74,66,58,French TeX lines 2193-2202; direct PDF physical 66,Target TeX lines 209-229,complete,preserve primes support order local splitting and tensor exactness,passed,high,,Prime loss or reversed support order,SGA2-VI-CUM-AUTH-001;SGA2-VI-CUM-AUTH-002,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-ALIGN-009,1,,SGA2-VI-C03,SGA2-VI-1719,source_alignment,corrected_french_tex_and_direct_pdf,2204-2210,74,66,58,French TeX lines 2204-2210; direct PDF physical 66,Target TeX lines 230-243,complete,preserve Theorem 1.8 exact-sequence order and degree shift,passed,high,Explicit continuation arrow added for readability,Changed term order or omitted degree shift,SGA2-VI-ALIGN-008,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-ALIGN-010,1,,SGA2-VI-C03,SGA2-VI-1719,source_alignment,corrected_french_tex_and_direct_pdf,2212-2219,74,66-67,58-59,French TeX lines 2212-2219; direct PDF physical 66-67,Target TeX lines 245-260,complete,preserve Corollary 1.9 restrictions and concluding dependencies,passed,high,Explicit continuation arrow added for readability,Ordinary ambient Hom without restriction,SGA2-VI-ALIGN-009,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
