comparison_id,record_revision,supersedes,component_id,source_unit_record_id,evidence_class,authority_role,object_type,source_tex_lines,printed_volume_pages,physical_source_pdf_pages,recomposed_running_pages,source_locator,target_locator,critical_controls,external_candidate_delta,decision,result,status,confidence,adverse_or_choice,rejected_alternative,continuation_cursor,review_state,closure_id
SGA2-VI-FORM-001,1,,SGA2-VI-C01,SGA2-VI-OPEN,formula_and_structure,corrected_french_tex_and_direct_pdf,chapter_title,2139,72,65,57,French TeX 2139,Target TeX 88-89,"global Ext with X; sheaf Ext without X; support Z; bullet degree",Candidate flattens some operator styling,preserve source distinctions,all controls present,passed,high,notation_choice,flattened Ext notation,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-FORM-002,1,,SGA2-VI-C01,SGA2-VI-OPEN,formula_and_structure,corrected_french_tex_and_direct_pdf,derived_functor_definition,2146,72,65,57,French TeX 2146,Target TeX 92-101,"Gamma_Z of sheaf Hom versus underlined Gamma_Z of sheaf Hom; ith degree",Candidate markup can obscure the sheaf Gamma,preserve global and sheaf functors,exact distinction retained,passed,high,notation_choice,ordinary Gamma for both branches,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-FORM-003,1,,SGA2-VI-C01,SGA2-VI-OPEN,formula_and_structure,corrected_french_tex_and_direct_pdf,Lemma_1_2_presheaf,2148-2150,72,65,57,French TeX 2148-2150,Target TeX 103-109,"Z intersect U; U domain; both restrictions; degree i",Candidate is readable but not corroborative,preserve every restriction,exactly aligned,passed,high,,missing U restriction,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-FORM-004,1,,SGA2-VI-C01,SGA2-VI-OPEN,formula_and_structure,corrected_french_tex_and_direct_pdf,canonical_sections_identity,2152,72,65,57,French TeX 2152,Target TeX 111-117,"Gamma(U;-); underlined Gamma_Z; sheaf Hom; Z intersect U; O_X restriction",Candidate ordinary-Hom rendering rejected,preserve sheaf operators,exactly aligned,passed,high,adverse_candidate_delta,ordinary Hom,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-FORM-005,1,,SGA2-VI-C01,SGA2-VI-OPEN,formula_and_structure,corrected_french_tex_and_direct_pdf,equation_1_3_1,2154-2158,72,65,57,French TeX 2154-2158; direct PDF physical 65,Target TeX 119-128,"Ext_X on X; Ext_V on V; restrictions to V; bullet degree",Candidate does not resolve the source-literal anomaly,preserve both literal controls,source-literal X and V retained and disclosed,passed,high,source_literal_choice,silent replacement by support Z,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-FORM-006,1,,SGA2-VI-C02,SGA2-VI-14-16,formula_and_structure,corrected_french_tex_and_direct_pdf,O_XZ_restrictions,2164,72,65,57,French TeX 2164; direct PDF physical 65,Target TeX 135-143,"zero on X minus Z; O_X restriction on Z",Candidate notation normalized but comparison-only,preserve both conditions,exactly aligned,passed,high,,drop one defining restriction,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-FORM-007,1,,SGA2-VI-C02,SGA2-VI-14-16,formula_and_structure,corrected_french_tex_and_direct_pdf,equation_1_4_1,2167,72,65,57,French TeX 2167,Target TeX 149-152,"Gamma_Z; sheaf Hom; Hom over O_X; O_XZ first argument",Candidate flattens sheaf Hom,preserve operator layers,exactly aligned,passed,high,adverse_candidate_delta,ordinary Hom for sheaf Hom,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-FORM-008,1,,SGA2-VI-C02,SGA2-VI-14-16,formula_and_structure,corrected_french_tex_and_direct_pdf,equation_1_4_2,2168,72,65,57,French TeX 2168,Target TeX 153-156,"O_XZ tensor over O_X with F; global Hom target G",Candidate readable but not authoritative,preserve tensor base and order,exactly aligned,passed,high,,reverse tensor or omit base,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-FORM-009,1,,SGA2-VI-C02,SGA2-VI-14-16,formula_and_structure,corrected_french_tex_and_direct_pdf,equation_1_4_3,2169,72,65,57,French TeX 2169,Target TeX 157-161,"Hom(F; sheaf Hom(O_XZ;G)) equals Hom(F; underlined Gamma_Z(G))",Candidate styling can flatten both sheaf operators,preserve equality chain,exactly aligned,passed,high,adverse_candidate_delta,flattened inner sheaf operators,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
SGA2-VI-FORM-010,1,,SGA2-VI-C02,SGA2-VI-14-16,formula_and_structure,corrected_french_tex_and_direct_pdf,theta_isomorphism,2171,73,65,57,French TeX corrected branch 2171; direct PDF physical 65,Target TeX 162-168,"partial-functorial; theta; global Ext source; supported Ext target; arrow direction",Candidate direction not independent evidence,preserve corrected branch,exactly aligned,passed,high,source_branch_choice,reverse arrow or unnamed isomorphism,French line 2274; Expose VII begins after blank line 2273,independently_package_audited,SGA2-VI-CUM-INDEPENDENT-PACKAGE-AUDIT-20260719
