"lane","primary_table","primary_table_sha256","row_count","source_witness_rows","gap_or_blocker_rows","source_witness_rows_with_applicable_gaps","gap_or_blocker_rows_with_applicable_gaps","source_witness_missing_field_counts","gap_or_blocker_missing_field_counts","applicability_status","git_frontier_observed","non_claim_boundary"
"noether-arabic-rtl-source-evidence-draft-lane","noether-arabic-rtl-source-evidence-draft-lane/outputs/NOETHER_ARABIC_RTL_SOURCE_CANON_WITNESS_TABLE_NORMALIZED_20260704.csv","C70D17AFC7CA804738EDD376A86E432AD26B9336810142EB8AA62D6143505A4B","26","19","7","1","0","topic_tags=1","","source_witness_rows_need_population","4b2d9254c2c97881eb95231ef66226ebaf6c3c57","applicability-aware audit only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"noether-cjk-native-source-evidence","noether-cjk-native-source-evidence/outputs/NOETHER_CJK_SOURCE_CANON_FIELD_NORMALIZED_WITNESS_TABLE_20260704.json","BF65A4661F0A445D7C86E56A90AE348074A182BFFC51C24D003C9048C7727A2E","39","25","14","2","0","source_url=1; sha256_or_other_hash=2","","source_witness_rows_need_population","4b2d9254c2c97881eb95231ef66226ebaf6c3c57","applicability-aware audit only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"noether-cjk-source-evidence-draft-lane","noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_CANON_WITNESS_TABLE_20260704.json","9F5A261B7E4AC69D4CA1DBEC919DEA6A1CEF1C38F684119E57D81C911AAE6EBC","9","9","0","9","0","evidence_tier=9; sha256_or_other_hash=9","","source_witness_rows_need_population","4b2d9254c2c97881eb95231ef66226ebaf6c3c57","applicability-aware audit only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"noether-olp-relation-function-support","noether-olp-relation-function-support/outputs/SESSION_K_SOURCE_CANON_FIRST_WITNESS_REGISTER_20260704.csv","18A8EDB2FB9FD54CDB885A7BA864C971E209979C8D0728F0C27667283369D694","17","17","0","17","0","target_language_or_access_target=17; evidence_tier=17; source_type=17; sha256_or_other_hash=17; source_language=17; non_claim_boundary=17","","source_witness_rows_need_population","4b2d9254c2c97881eb95231ef66226ebaf6c3c57","applicability-aware audit only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"noether-persianate-tajik-source-evidence-draft-lane","noether-persianate-tajik-source-evidence-draft-lane/outputs/NOETHER_PERSIANATE_TAJIK_SOURCE_CANON_WITNESS_TABLE_20260704.json","C75EF869F9AF82C920975A4F0F3FB80C362178E8055C40E7EA007A6DDC7B14BB","12","9","3","0","0","","","all_rows_populated_for_applicable_fields","4b2d9254c2c97881eb95231ef66226ebaf6c3c57","applicability-aware audit only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"noether-r2-pan-turkic-hard-blockers","noether-r2-pan-turkic-hard-blockers/outputs/NOETHER_R2_PAN_TURKIC_SOURCE_CANON_PROGRAM_NORMALIZED_REGISTER_20260704.json","BCCDA6DECD44184DCE5145CB2842D7425F1663BC4CA025FA8044C219CA2A96E8","61","53","8","0","0","","","all_rows_populated_for_applicable_fields","4b2d9254c2c97881eb95231ef66226ebaf6c3c57","applicability-aware audit only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"noether-r3-arabic-persianate-linear-algebra","noether-r3-arabic-persianate-linear-algebra/outputs/R3_SOURCE_CANON_PROGRAM_ALIGNMENT_20260704T201340Z/R3_SOURCE_CANON_REQUIRED_SHAPE_WITNESS_TABLE_20260704T201340Z.json","1FCDF12B7A2AD3A3C481BB4607586453A67D5242DDBE48B1D75977B8D4C83653","22","19","3","1","0","sha256_or_other_hash=1","","source_witness_rows_need_population","4b2d9254c2c97881eb95231ef66226ebaf6c3c57","applicability-aware audit only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"noether-r6-indigenous-creole-sign","noether-r6-indigenous-creole-sign/outputs/NOETHER_R6_SOURCE_CANON_STRICT_PROVENANCE_WITNESS_TABLE_20260704.csv","D083F8ADD01BD4B6CB144F925D5A0B19A9C5EE611C33702225DE1742C60FC0EB","82","82","0","82","0","target_language_or_access_target=82; topic_tags=82; source_type=82; license_or_access_signal=82; source_language=82; non_claim_boundary=82","","source_witness_rows_need_population","4b2d9254c2c97881eb95231ef66226ebaf6c3c57","applicability-aware audit only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"noether-r7-malay-sea-pacific","noether-r7-malay-sea-pacific/outputs/NOETHER_R7_SOURCE_CANON_REQUIRED_FIELD_WITNESS_TABLE_20260704.csv","98469BF68EF176B0FC7A550968543CE30EDE398CE2A9701009D9F7D4C7E57DC0","59","58","1","0","0","","","all_rows_populated_for_applicable_fields","4b2d9254c2c97881eb95231ef66226ebaf6c3c57","applicability-aware audit only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"noether-r9-africa-horn-west","noether-r9-africa-horn-west/outputs/R9_SOURCE_CANON_REQUIRED_FIELD_WITNESS_TABLE_20260704.csv","EDE0B91E3664B5E6CE3716653DB3941E97F8B0D424FB57DD055DB6D72AD4B3EE","17","17","0","0","0","","","all_rows_populated_for_applicable_fields","4b2d9254c2c97881eb95231ef66226ebaf6c3c57","applicability-aware audit only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
