"priority","lane","primary_table","row_index","applicability","source_title","target_language_or_access_target","source_url","missing_applicable_fields","recommended_action","non_claim_boundary"
"P2_source_witness_context_gap","noether-arabic-rtl-source-evidence-draft-lane","noether-arabic-rtl-source-evidence-draft-lane/outputs/NOETHER_ARABIC_RTL_SOURCE_CANON_WITNESS_TABLE_NORMALIZED_20260704.csv","13","source_witness_record","GitHub Arabic TeX false positive","Rejected candidate","https://raw.githubusercontent.com/Ag-ilies/pfe/fbd0c804af7c2bf2d151251ad0b39a40dec21809/Content/02_Chapter1/Text/chapter1.tex","topic_tags","populate source-witness provenance/context fields or explicitly downgrade row to gap/blocker","applicability-aware row gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_source_witness_provenance_gap","noether-cjk-native-source-evidence","noether-cjk-native-source-evidence/outputs/NOETHER_CJK_SOURCE_CANON_FIELD_NORMALIZED_WITNESS_TABLE_20260704.json","19","source_witness_record","bulk_codepoint_redo_manifest","zh-Hans","","source_url; sha256_or_other_hash","populate source-witness provenance/context fields or explicitly downgrade row to gap/blocker","applicability-aware row gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_source_witness_provenance_gap","noether-cjk-native-source-evidence","noether-cjk-native-source-evidence/outputs/NOETHER_CJK_SOURCE_CANON_FIELD_NORMALIZED_WITNESS_TABLE_20260704.json","20","source_witness_record","cjk_ctan_typesetting_infrastructure","CJK infrastructure","https://ctan.org/pkg/ctex","sha256_or_other_hash","populate source-witness provenance/context fields or explicitly downgrade row to gap/blocker","applicability-aware row gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_source_witness_provenance_gap","noether-cjk-source-evidence-draft-lane","noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_CANON_WITNESS_TABLE_20260704.json","1","source_witness_record","代数学方法 第一卷","zh-Hans","https://github.com/wenweili/AlJabr-1","evidence_tier; sha256_or_other_hash","populate source-witness provenance/context fields or explicitly downgrade row to gap/blocker","applicability-aware row gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_source_witness_provenance_gap","noether-cjk-source-evidence-draft-lane","noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_CANON_WITNESS_TABLE_20260704.json","2","source_witness_record","代数学方法 第二卷","zh-Hans","https://github.com/wenweili/AlJabr-2","evidence_tier; sha256_or_other_hash","populate source-witness provenance/context fields or explicitly downgrade row to gap/blocker","applicability-aware row gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_source_witness_provenance_gap","noether-cjk-source-evidence-draft-lane","noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_CANON_WITNESS_TABLE_20260704.json","3","source_witness_record","松村英之『可換環論』ノート","ja","https://github.com/Seasawher/matsumura","evidence_tier; sha256_or_other_hash","populate source-witness provenance/context fields or explicitly downgrade row to gap/blocker","applicability-aware row gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_source_witness_provenance_gap","noether-cjk-source-evidence-draft-lane","noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_CANON_WITNESS_TABLE_20260704.json","4","source_witness_record","Tetsuya Ando 代数学 lecture notes","ja","https://www.math.s.chiba-u.ac.jp/~ando/LectureNote.html","evidence_tier; sha256_or_other_hash","populate source-witness provenance/context fields or explicitly downgrade row to gap/blocker","applicability-aware row gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_source_witness_provenance_gap","noether-cjk-source-evidence-draft-lane","noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_CANON_WITNESS_TABLE_20260704.json","5","source_witness_record","古典不変式論ハンドブック","ja","https://www.mathsoc.jp/section/algebra/algsymp_past/algsymp12_files/nagai.pdf","evidence_tier; sha256_or_other_hash","populate source-witness provenance/context fields or explicitly downgrade row to gap/blocker","applicability-aware row gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_source_witness_provenance_gap","noether-cjk-source-evidence-draft-lane","noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_CANON_WITNESS_TABLE_20260704.json","6","source_witness_record","可換環論","ja","https://ryoya9826.github.io/files/note/ring.pdf","evidence_tier; sha256_or_other_hash","populate source-witness provenance/context fields or explicitly downgrade row to gap/blocker","applicability-aware row gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
"P1_source_witness_provenance_gap","noether-cjk-source-evidence-draft-lane","noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_CANON_WITNESS_TABLE_20260704.json","7","source_witness_record","Akira Masuoka lecture notes page","ja","https://sites.google.com/site/akira298math/home/lecture-notes","evidence_tier; sha256_or_other_hash","populate source-witness provenance/context fields or explicitly downgrade row to gap/blocker","applicability-aware row gap only; no translation, term promotion, native review, canonical approval, blanket license clearance, gate promotion, completion claim, or Git push"
