failure_mode_id,classification,short_name,incident_and_evidence,root_cause,affected_artifacts,detection,corrective_control,recurrence_test,evidence_sources,verdier_disposition
"VDR-FM-0001","confirmed_incident_strong_causal_inference","English-first closure before French authority","The EGA global English reader was labelled TECHNICAL PASS and complete at 1356 pages with 17808 working GoTo actions before the canonical French corpus existed beyond a provisional non-source-exact seed. Sequential French replay then exposed at least an omitted module factor M a wrong 7.2.4 versus 7.4.2 reference and an omitted logical justification and forced a 127-file English repair successor. The chronology supports the causal inference; no source literally names it English-first failure.","Completion criteria measured the English publication surface and link/build quality rather than bilingual authority closure. A page-by-page direct French authority replay was not a prerequisite to the broad English completeness headline.","EGA English global reader; EGA French canonical root; 127-file English repair successor; publication and status claims.","Direct French replay at printed p.69 made the inherited English formula cross-reference and logical omissions visible.","Produce diplomatic French first at each unit then corrected French and aligned English against the same authority before any bilingual or corpus-complete claim.","For every admitted Verdier unit require all three layer slices bound to one unit ID and require zero unresolved source-alignment decisions before cumulative completion.","EGA baseline STATUS/README/LOGBOOK; French LOGBOOK lines 3-34 and 1628-1657; ENGLISH_CORRECTION_RECHECK_APPEND_20260802.jsonl; English successor LOGBOOK lines 3-23.","active_control_VDR-SG-0010_to_0013"
"VDR-FM-0002","confirmed_incident","Diplomatic and editorial layer conflation","At EGA I p.108 the audit removed an English terminal proof square only because the diplomatic French did not print c.q.f.d. The lead then recognized that the English reader deliberately used modern proof structure and restored the square before admission. Separate French and English ledgers show that French adds neither proof heading nor terminal marker while English retains an editorial proof environment and square.","The literal typography of the diplomatic layer was treated as policy for a different editorial layer. Layer role and decision provenance were not consulted before mutation.","EGA English proof presentation; p.108 page audit; decision ledgers.","Review of surrounding English proof-structure policy caught the overreach before manifest or build admission.","Keep diplomatic French corrected French and English in separate files and require every cross-layer delta to resolve to a role-specific decision ID.","A mechanical three-layer diff must have no unexplained delta; cross-layer operations must name the source layer target layer rationale and inverse.","WORKFLOW_ERROR_APPEND_P108_20260802.jsonl row 2; ENGLISH_CORRECTION_RECHECK_APPEND_P108_20260802.jsonl; FRENCH_DIPLOMATIC_TRANSCRIPTION_APPEND_P108_20260802.jsonl.","active_control_VDR-SG-0010_to_0014"
"VDR-FM-0003","confirmed_incident","Silent inherited normalization","The provisional EGA French seed accented printed capital-A forms A Oscar Zariski and A titre informatif. Direct authority inspection restored the unaccented print and later assigned stable reversal IDs. The inherited seed had initially carried normalization without per-instance provenance.","Reconstructed TeX was reused before diplomatic admission and its editorial changes were not separately logged.","EGA French introduction seed and canonical transcription; normalization history.","Direct 1400-dpi-equivalent page reading exposed the difference.","Treat inherited TeX as a witness only; corrected French begins as a projection of diplomatic French and every delta requires a stable rationale and inverse.","Run a complete diplomatic-versus-corrected diff and reject every delta without an active correction or normalization ID.","French LOGBOOK lines 12-20 and 1560-1600; ENGLISH_NORMALIZATION_DECISION_AND_REVISION_POLICY_20260802.md.","active_control_VDR-SG-0008_0011_0012"
"VDR-FM-0004","confirmed_witness_failure_no_confirmed_OCR_promotion","Reconstructed text or OCR treated as if source-exact","The EGA provisional TeX witness was explicitly not source-exact and direct images overruled it. The diagram reverify method documents that extracted text garbles mathematics and can autocorrect typos punctuation and case. No selected receipt proves that OCR was formally promoted to authority; the confirmed failure is inherited witness divergence and the high-severity hazard is authority inversion.","Convenient machine-readable witnesses are easier to search and edit than page images and can therefore acquire unearned authority unless the evidence hierarchy is explicit.","Transcriptions formulas diagrams punctuation and page mapping wherever extraction or prior TeX is consulted.","Direct authority comparison exposed witness deviations; high-zoom source review exposed extraction unreliability.","NUMDAM/SMF decides; OCR extraction comparison PDFs and inherited TeX are locator/comparison witnesses only; no new OCR.","Every admitted content decision must carry controlling authority hash and page; reject any decision whose only evidence class is OCR extraction inherited TeX or memory.","French CONTINUATION_HANDOFF lines 22-34; French LOGBOOK lines 5310-5315; CLAUDE_DIAGRAM_COLD_REVERIFY_METHOD lines 14-27; common method.","active_control_VDR-SG-0008_0009"
"VDR-FM-0005","confirmed_incident_class","Wrong or underinclusive page mapping","FAC no.65 was recorded as physical page 63 although it continued onto page 64 and nine source/evidence locators needed repair. FAC no.70 French visual review initially rendered page 51 only and missed the fourth affected occurrence on page 52. EGA logs also record multiple page-selector and source-order errors.","Page bounds were inferred from a provisional unit boundary or partial render rather than independently reconciled against headers folios continuations and source markers.","Page maps unit locators semantic records visual review sets validation state and successor cursor.","Header/source-marker comparison and source-locator-to-reader-page replay exposed the omitted pages.","Maintain explicit physical printed and logical coordinates and require exact page/unit set equality including seams blanks and continuations.","Compare authority page set page-map set unit envelopes reader markers and semantic page rows; missing duplicate or underinclusive ranges fail.","FAC-SELF-0140 and FAC-SELF-0174; EGA STATUS/LOGBOOK page-selector incidents; cold-reverify page mapping discipline.","active_control_VDR-SG-0001_0021"
"VDR-FM-0006","confirmed_incident_class","Formula or logical content omitted despite clean reader","French EGA replay found an omitted M in mathfrak n superscript hk M producing a type-invalid inclusion and an omitted preceding-argument justification plus two-condition conjunction. FAC later found an authority-absent comma in C-prime-n after admission. These were not compile failures.","Build and visual cleanliness were allowed to stand in for exact source/formula comparison; logical connectors and small formula tokens lacked stable review identities.","English mathematical text formula index proof logic derived readers and claims.","Direct authority replay of the aligned unit and later rereading detected the changes.","Give consequential formulas stable IDs; compare diplomatic corrected and English forms; separately gate source fidelity build layout and semantic logic.","Formula universe equals formula index and review set; every cross-layer delta resolves to a decision; fixed-string and semantic searches show obsolete forms absent from active copies.","EGA p.69 correction JSONL; French LOGBOOK lines 1628-1644; FAC-SELF-0065.","active_control_VDR-SG-0013_0025"
"VDR-FM-0007","confirmed_incident","Low-detail diagram approval","The SGA diagram control records diagrams passing ordinary build contact-sheet and visual gates while substantive i/j star/shriek prime index label punctuation and arrow defects remained. Exposé VII cold review found 32 correction-required diagrams among 135. A later correction clarifies that 600/1200 evidence can remain contextual; the categorical failure was 300-dpi-only or overview evidence promoted beyond what it proves.","Overview images and successful compilation make the overall shape legible but conceal small labels arrowheads attachments and label sides. Review lacked an element-level graph inventory.","SGA native diagrams review receipts and cumulative readers; any Verdier commutative diagram.","Dedicated direct high-zoom crops and node/edge comparison exposed the defects.","Broad reading 1100-1800 dpi-equivalent; tight direct 5000-9000 for genuinely small or ambiguous marks; element-by-element diagram review.","Each diagram review row must enumerate nodes arrows directions labels sides primes indices punctuation crop identities and residuals; contact sheet or build alone can never pass.","SGA_DIAGRAM_CLAUDE_STYLE_COLD_REVERIFY_HIGH_ZOOM_CONTROL; SGA3_EXPOSE_VII_HIGH_ZOOM_DIAGRAM_32_REPAIR_HOLD; 600/1200 correction; cold-reverify method.","active_control_VDR-SG-0022_0024"
"VDR-FM-0008","confirmed_incident","Raster diagrams delivered where native TeX was required","A purported Session-A native closure omitted 41 active SGAThreeDiagram calls all loading figures/exp2 PNG files. A public/current heterogeneous SGA3 R17 reader separately contained 128 raster objects although its archive record correctly disclaimed final-native status.","The detector searched direct includegraphics or already-known successor units instead of the complete macro-expanded active dependency universe; provisional raster-bearing integration remained possible without the terminal gate.","SGA Expose II components cumulative readers diagram inventory and package state.","A cumulative build and exact active-source enumeration exposed the 41 calls; PDF image-object replay exposed 128 raster objects in the provisional reader.","All delivered mathematical diagrams are native TeX; private raster crops are evidence only; derive the diagram universe from recursive active source and every wrapper macro.","Require equality among active diagram invocations diagram index native sources and lead reviews plus zero mathematical image objects in final PDFs.","SGA3_SESSION_A_NATIVE_DIAGRAM_COMPLETE_CLOSURE; 41_DIAGRAM_OMISSION_FAIL_CLOSE; five Expose-II components; SGA3 compact bounded history archive decision.","active_control_VDR-SG-0023_0024"
"VDR-FM-0009","confirmed_incident","False diagram-complete claim from narrow universe","The closure claimed 378 of 378 native and reviewed zero open zero raster and no Expose II debt. The successor fail-close proved the actual Session-A universe was 419 with 41 open. All original assertions about the enumerated 378 could be locally true while the headline was false.","Validation checked properties of an incomplete inventory but never proved inventory equality with every active cumulative component and macro expansion. Absence from the list was treated as zero debt.","Completion status counts source inventories validation and cumulative reader.","Clean cumulative build plus recursive component review exposed a missing active unit and wrapper macro class.","Every zero or complete claim requires positive enumeration and source-universe set equality; new detector classes trigger retroactive replay of all owned ranges.","Generate the component dependency closure independently then compare exact occurrence sets and counts with inventories reviews native files and reader objects.","SGA3 Session-A closure and append-only fail-close; diagram inventory count correction.","active_control_VDR-SG-0026_0028_0034"
"VDR-FM-0010","confirmed_incident","Reference-complete meant only all already-mapped targets","SGA3 R28 was called reference-complete and reported 3744 mapped destinations repaired while its planning validation contained 23880 candidates including 2125 internally resolvable but unwrapped rows 241 multiple-target reviews and 1028 target-gap/external reviews. R43 still had 291 lead holds 94 unregistered targets and four unresolved locators.","Mapped-set replay used a tautological denominator and was conflated with candidate-universe completeness; planning PASS clickable destinations and semantic closure were not separated.","SGA3 R28 reader reference graph candidate inventories validation and publication naming.","Exhaustive lexical/source-span extraction exposed the larger candidate universe and unresolved classifications.","Track candidates edges and residuals separately; require candidate universe partition and zero unclassified internal residues before reference-complete.","Candidates must equal active edges disjoint-union active residuals; zero lead holds unregistered internal targets dual dispositions and unresolved internal locators; link changes require source mutation and PDF action replay.","R28 archive decision; REFERENCE_CANDIDATE_LEXICAL_CONTEXT_R28_VALIDATION; R43 VALIDATION; exhaustive reference convention.","active_control_VDR-SG-0028_0029_0039"
