"witness_id","target_family","language_access_target","source_title","source_format","source_url","local_path","bytes","sha256","license_permission_signal","license_access_class","package_use_boundary","redistribution_payload_policy","source_body_policy","reviewer_or_source_owner_gate","topic_language_access_tags","ethics_authority_note","allowed_current_use","blocked_before","non_claim_boundary"
"R6-CR-P2-015","Creole/contact","Jamaican Creole / Jamaican Patois","Jamaica Early Childhood Curriculum Guide 4-5","application/pdf","https://moey.gov.jm/wp-content/uploads/2015/04/JECCG_Four-to-Five-Year-Old__final_intrnt.pdf","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\jamaica_early_childhood_curriculum_guide_4_5.pdf","2163791","649c98526f7979c8ae017730bb522365eea135e44da8af98d8e2999709650bdc","license/reuse pending; source-owner/reviewer return required","reuse_pending_metadata_only","B3 may consume row-level provenance metadata and hashes only; R6 does not package raw source body, copied text, media, captions, transcripts, screenshots, stills, translations, terms, signs, visual inventories, or pilots.","metadata_only_until_reuse_permission_and_source_authority_return; no copied source body or excerpts.","no raw source body copied into R6 outputs/packages by this lane; local paths and hashes remain provenance pointers only.","named creole/contact language source-owner/reviewer route required before any pan-creole inference, excerpt, term, translation, or corpus-support promotion.","Jamaican Creole / Jamaican Patois; creole/contact; official curriculum guide mentioning Jamaican patois/creole and mathematics concepts; source-canon","provenance metadata only; no community consent, native review, canonical approval, license clearance, source-authority acceptance, or completion claim.","captured_policy_or_context_pointer","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot","No source-authority promotion, approval, clearance, media reuse, OCR corpus reuse, captions, transcripts, alt text, excerpt selection, accepted terms, accepted signs, translation, completion, or Git push."
"R6-CR-P2-016","Creole/contact","Jamaican Creole / Jamaican Patois","Jamaica current STEM project stakeholder plan","application/pdf","https://moey.gov.jm/wp-content/uploads/2025/06/SEP-Jamaica-Education-Project-P178595-16-JUN-2025.pdf","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\jamaica_education_project_sep_2025.pdf","868128","2ec4e8c0e9fa78a62c01a5e76431941a3fe752346f1595dc26c354bd0f813e22","license/reuse pending; source-owner/reviewer return required","reuse_pending_metadata_only","B3 may consume row-level provenance metadata and hashes only; R6 does not package raw source body, copied text, media, captions, transcripts, screenshots, stills, translations, terms, signs, visual inventories, or pilots.","metadata_only_until_reuse_permission_and_source_authority_return; no copied source body or excerpts.","no raw source body copied into R6 outputs/packages by this lane; local paths and hashes remain provenance pointers only.","named creole/contact language source-owner/reviewer route required before any pan-creole inference, excerpt, term, translation, or corpus-support promotion.","Jamaican Creole / Jamaican Patois; creole/contact; current official STEM/curriculum project context; not Patois witness; source-canon","provenance metadata only; no community consent, native review, canonical approval, license clearance, source-authority acceptance, or completion claim.","captured_policy_or_context_pointer","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot","No source-authority promotion, approval, clearance, media reuse, OCR corpus reuse, captions, transcripts, alt text, excerpt selection, accepted terms, accepted signs, translation, completion, or Git push."
"R6-KR-SAR-001","Creole/contact","Kreyol / Haitian Creole","MIT-Ayiti Matematik subject index","HTML local capture","https://mit-ayiti.net/matye/matematik/","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260630T213000Z_r6_kreyol_asl_source_capture_pass3\html_captures\kreyol\mit_ayiti_matematik_index.html","192414","b32e6dbb79d9eb78e49af78478b0704971d0b09eeadf7904c4c30fdb0206f4a2","license/reuse pending; link-only until source-owner or reviewer return","reuse_pending_metadata_only","B3 may consume row-level provenance metadata and hashes only; R6 does not package raw source body, copied text, media, captions, transcripts, screenshots, stills, translations, terms, signs, visual inventories, or pilots.","metadata_only_until_reuse_permission_and_source_authority_return; no copied source body or excerpts.","no raw source body copied into R6 outputs/packages by this lane; local paths and hashes remain provenance pointers only.","named creole/contact language source-owner/reviewer route required before any pan-creole inference, excerpt, term, translation, or corpus-support promotion.","Kreyol; Haitian Creole; mathematics; numeracy; MIT-Ayiti; HTML; source-authority-request","provenance metadata only; no community consent, native review, canonical approval, license clearance, source-authority acceptance, or completion claim.","link_pointer_and_route_metadata_only","no excerpt, copied prose, term promotion, translation, surface, or pilot","No source-authority promotion, approval, clearance, media reuse, OCR corpus reuse, captions, transcripts, alt text, excerpt selection, accepted terms, accepted signs, translation, completion, or Git push."
"R6-KR-SAR-002","Creole/contact","Kreyol / Haitian Creole","MIT-Ayiti math teaching article","HTML local capture","https://mit-ayiti.net/anseyman-matematik/","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260630T213000Z_r6_kreyol_asl_source_capture_pass3\html_captures\kreyol\mit_ayiti_anseyman_matematik.html","115866","e60423506a27529b140f43bbaf327630dfc12daf2985ee53f8c26a2aeda85d27","license/reuse pending; link-only until source-owner or reviewer return","reuse_pending_metadata_only","B3 may consume row-level provenance metadata and hashes only; R6 does not package raw source body, copied text, media, captions, transcripts, screenshots, stills, translations, terms, signs, visual inventories, or pilots.","metadata_only_until_reuse_permission_and_source_authority_return; no copied source body or excerpts.","no raw source body copied into R6 outputs/packages by this lane; local paths and hashes remain provenance pointers only.","named creole/contact language source-owner/reviewer route required before any pan-creole inference, excerpt, term, translation, or corpus-support promotion.","Kreyol; Haitian Creole; mathematics; numeracy; MIT-Ayiti; HTML; source-authority-request","provenance metadata only; no community consent, native review, canonical approval, license clearance, source-authority acceptance, or completion claim.","source_context_and_reviewer_question_only","no copied prose, excerpt, term promotion, translation, surface, or pilot","No source-authority promotion, approval, clearance, media reuse, OCR corpus reuse, captions, transcripts, alt text, excerpt selection, accepted terms, accepted signs, translation, completion, or Git push."
"R6-KR-SAR-003","Creole/contact","Kreyol / Haitian Creole","Tiraj san remiz avek lod","HTML local capture","https://mit-ayiti.net/resous/tiraj-san-remiz-avek-lod/","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260630T213000Z_r6_kreyol_asl_source_capture_pass3\html_captures\kreyol\mit_ayiti_tiraj_san_remiz_avek_lod.html","117353","05e2428742f1b70189e69b15cfa48f7d553a42656dc589cbce571e57bb446a21","license/reuse pending; link-only until source-owner or reviewer return","reuse_pending_metadata_only","B3 may consume row-level provenance metadata and hashes only; R6 does not package raw source body, copied text, media, captions, transcripts, screenshots, stills, translations, terms, signs, visual inventories, or pilots.","metadata_only_until_reuse_permission_and_source_authority_return; no copied source body or excerpts.","no raw source body copied into R6 outputs/packages by this lane; local paths and hashes remain provenance pointers only.","named creole/contact language source-owner/reviewer route required before any pan-creole inference, excerpt, term, translation, or corpus-support promotion.","Kreyol; Haitian Creole; mathematics; numeracy; MIT-Ayiti; HTML; source-authority-request","provenance metadata only; no community consent, native review, canonical approval, license clearance, source-authority acceptance, or completion claim.","video/resource_pointer_and_domain_context_only","no copied media/prose, excerpt, term promotion, translation, surface, or pilot","No source-authority promotion, approval, clearance, media reuse, OCR corpus reuse, captions, transcripts, alt text, excerpt selection, accepted terms, accepted signs, translation, completion, or Git push."
"R6-KR-SAR-004","Creole/contact","Kreyol / Haitian Creole","CAPTEH - Matematik k ap bouyi sou 3 woch dife","HTML local capture","https://mit-ayiti.net/resous/matematik-k-ap-bouyi-sou-3-woch-dife/","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260630T213000Z_r6_kreyol_asl_source_capture_pass3\html_captures\kreyol\mit_ayiti_matematik_k_ap_bouyi_sou_3_woch_dife.html","133298","34e8592f68d669158040dc025ba7e85c4af969cdb32b082db6ec36e8ce48785d","license/reuse pending; link-only until source-owner or reviewer return","reuse_pending_metadata_only","B3 may consume row-level provenance metadata and hashes only; R6 does not package raw source body, copied text, media, captions, transcripts, screenshots, stills, translations, terms, signs, visual inventories, or pilots.","metadata_only_until_reuse_permission_and_source_authority_return; no copied source body or excerpts.","no raw source body copied into R6 outputs/packages by this lane; local paths and hashes remain provenance pointers only.","named creole/contact language source-owner/reviewer route required before any pan-creole inference, excerpt, term, translation, or corpus-support promotion.","Kreyol; Haitian Creole; mathematics; numeracy; MIT-Ayiti; HTML; source-authority-request","provenance metadata only; no community consent, native review, canonical approval, license clearance, source-authority acceptance, or completion claim.","source_pointer_and_reuse_question_only","no copied download/prose, excerpt, term promotion, translation, surface, or pilot","No source-authority promotion, approval, clearance, media reuse, OCR corpus reuse, captions, transcripts, alt text, excerpt selection, accepted terms, accepted signs, translation, completion, or Git push."
"R6-CR-P2-010","Creole/contact","Mauritian/Seychellois/Indian Ocean Creoles","Mauritius MIE curriculum page","text/html","https://mie.ac.mu/curriculum.html","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\mauritius_mie_curriculum.html","16908","6bf4f367f90237bd4b767dcfcd893b1f23ccbbed88cc75ab1633870f9b90376a","license/reuse pending; source-owner/reviewer return required","reuse_pending_metadata_only","B3 may consume row-level provenance metadata and hashes only; R6 does not package raw source body, copied text, media, captions, transcripts, screenshots, stills, translations, terms, signs, visual inventories, or pilots.","metadata_only_until_reuse_permission_and_source_authority_return; no copied source body or excerpts.","no raw source body copied into R6 outputs/packages by this lane; local paths and hashes remain provenance pointers only.","named creole/contact language source-owner/reviewer route required before any pan-creole inference, excerpt, term, translation, or corpus-support promotion.","Mauritian/Seychellois/Indian Ocean Creoles; creole/contact; MIE curriculum locator with Kreol Morisien/Kreol Rodrige resource pointers; source-canon","provenance metadata only; no community consent, native review, canonical approval, license clearance, source-authority acceptance, or completion claim.","captured_candidate_source_pointer","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot","No source-authority promotion, approval, clearance, media reuse, OCR corpus reuse, captions, transcripts, alt text, excerpt selection, accepted terms, accepted signs, translation, completion, or Git push."
"R6-CR-P2-011","Creole/contact","Mauritian/Seychellois/Indian Ocean Creoles","MIE curriculum books page","text/html; charset=UTF-8","https://web.mie.ac.mu/curriculum_books/","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\mauritius_mie_curriculum_books.html","116622","ef972eaf0ea191e456da7d6598ff7306b6fc8b494e7cb6784c08ec7e1440199b","license/reuse pending; source-owner/reviewer return required","reuse_pending_metadata_only","B3 may consume row-level provenance metadata and hashes only; R6 does not package raw source body, copied text, media, captions, transcripts, screenshots, stills, translations, terms, signs, visual inventories, or pilots.","metadata_only_until_reuse_permission_and_source_authority_return; no copied source body or excerpts.","no raw source body copied into R6 outputs/packages by this lane; local paths and hashes remain provenance pointers only.","named creole/contact language source-owner/reviewer route required before any pan-creole inference, excerpt, term, translation, or corpus-support promotion.","Mauritian/Seychellois/Indian Ocean Creoles; creole/contact; MIE curriculum/textbook locator with Kreol resources and practice papers; source-canon","provenance metadata only; no community consent, native review, canonical approval, license clearance, source-authority acceptance, or completion claim.","captured_candidate_source_pointer","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot","No source-authority promotion, approval, clearance, media reuse, OCR corpus reuse, captions, transcripts, alt text, excerpt selection, accepted terms, accepted signs, translation, completion, or Git push."
"R6-CR-P2-012","Creole/contact","Mauritian/Seychellois/Indian Ocean Creoles","MIE FPLNS implementation guidelines","application/pdf","https://web.mie.ac.mu/wp-content/uploads/2025/01/Implementation-guidelines_abridged.pdf","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\mauritius_fplns_implementation_guidelines_abridged.pdf","1330712","7aabdbceec529a90f1268c78e9c89215353ee93b04492e80de8189eac917e270","license/reuse pending; source-owner/reviewer return required","reuse_pending_metadata_only","B3 may consume row-level provenance metadata and hashes only; R6 does not package raw source body, copied text, media, captions, transcripts, screenshots, stills, translations, terms, signs, visual inventories, or pilots.","metadata_only_until_reuse_permission_and_source_authority_return; no copied source body or excerpts.","no raw source body copied into R6 outputs/packages by this lane; local paths and hashes remain provenance pointers only.","named creole/contact language source-owner/reviewer route required before any pan-creole inference, excerpt, term, translation, or corpus-support promotion.","Mauritian/Seychellois/Indian Ocean Creoles; creole/contact; Mauritius implementation guideline with Kreol Morisien/numeracy context; source-canon","provenance metadata only; no community consent, native review, canonical approval, license clearance, source-authority acceptance, or completion claim.","captured_policy_or_context_pointer","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot","No source-authority promotion, approval, clearance, media reuse, OCR corpus reuse, captions, transcripts, alt text, excerpt selection, accepted terms, accepted signs, translation, completion, or Git push."
"R6-CR-P2-018","Creole/contact","Nigerian Pidgin","NERDC primary 4-6 mathematics curriculum","application/pdf","https://nerdc.gov.ng/content_manager/primary/pri4-6_maths.pdf","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\nigeria_nerdc_pri4_6_maths.pdf","1340205","91fe69d3fed70762f334d3a5e850a062fbe542c16547c44b6f38da0de3683454","license/reuse pending; source-owner/reviewer return required","reuse_pending_metadata_only","B3 may consume row-level provenance metadata and hashes only; R6 does not package raw source body, copied text, media, captions, transcripts, screenshots, stills, translations, terms, signs, visual inventories, or pilots.","metadata_only_until_reuse_permission_and_source_authority_return; no copied source body or excerpts.","no raw source body copied into R6 outputs/packages by this lane; local paths and hashes remain provenance pointers only.","named creole/contact language source-owner/reviewer route required before any pan-creole inference, excerpt, term, translation, or corpus-support promotion.","Nigerian Pidgin; creole/contact; official Nigerian mathematics comparator only; English, not Nigerian Pidgin; source-canon","provenance metadata only; no community consent, native review, canonical approval, license clearance, source-authority acceptance, or completion claim.","captured_policy_or_context_pointer","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot","No source-authority promotion, approval, clearance, media reuse, OCR corpus reuse, captions, transcripts, alt text, excerpt selection, accepted terms, accepted signs, translation, completion, or Git push."
"R6-CR-P2-008","Creole/contact","Papiamento/Papiamentu - Aruba","Aruba bilingual education policy note","application/pdf","https://www.ea.aw/pages/wp-content/uploads/t/taalbeleid/Pa-un-Ensenansa-Bilingual-na-Aruba-beleidsnota-1988.pdf","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\aruba_papiamento_bilingual_education_policy_1988.pdf","3018364","237faf3704d9b106379c4bfe22286710438beb442a5dc0f100e54d4016b16cb8","license/reuse pending; source-owner/reviewer return required","reuse_pending_metadata_only","B3 may consume row-level provenance metadata and hashes only; R6 does not package raw source body, copied text, media, captions, transcripts, screenshots, stills, translations, terms, signs, visual inventories, or pilots.","metadata_only_until_reuse_permission_and_source_authority_return; no copied source body or excerpts.","no raw source body copied into R6 outputs/packages by this lane; local paths and hashes remain provenance pointers only.","named creole/contact language source-owner/reviewer route required before any pan-creole inference, excerpt, term, translation, or corpus-support promotion.","Papiamento/Papiamentu - Aruba; creole/contact; Papiamento-in-education policy witness; source-canon","provenance metadata only; no community consent, native review, canonical approval, license clearance, source-authority acceptance, or completion claim.","captured_policy_or_context_pointer","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot","No source-authority promotion, approval, clearance, media reuse, OCR corpus reuse, captions, transcripts, alt text, excerpt selection, accepted terms, accepted signs, translation, completion, or Git push."
"R6-CR-P2-009","Creole/contact","Papiamento/Papiamentu - Aruba","Aruba integrated language policy stakeholder appendix","application/pdf","https://www.ea.aw/pages/wp-content/uploads/t/taalbeleid/Integraal-Taalbeleid-Bijlage-mei-2023.pdf","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\aruba_integraal_taalbeleid_bijlage_2023.pdf","6705741","d51701b0f50029b5a756f03b77b3770976b294125c08f807dfa20bf62785a3b2","license/reuse pending; source-owner/reviewer return required","reuse_pending_metadata_only","B3 may consume row-level provenance metadata and hashes only; R6 does not package raw source body, copied text, media, captions, transcripts, screenshots, stills, translations, terms, signs, visual inventories, or pilots.","metadata_only_until_reuse_permission_and_source_authority_return; no copied source body or excerpts.","no raw source body copied into R6 outputs/packages by this lane; local paths and hashes remain provenance pointers only.","named creole/contact language source-owner/reviewer route required before any pan-creole inference, excerpt, term, translation, or corpus-support promotion.","Papiamento/Papiamentu - Aruba; creole/contact; Papiamento/eigen onderwijs policy context; source-canon","provenance metadata only; no community consent, native review, canonical approval, license clearance, source-authority acceptance, or completion claim.","captured_policy_or_context_pointer","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot","No source-authority promotion, approval, clearance, media reuse, OCR corpus reuse, captions, transcripts, alt text, excerpt selection, accepted terms, accepted signs, translation, completion, or Git push."
"R6-CR-P2-013","Creole/contact","Sranan / Saramaccan / Ndyuka / Guyanese Creole","Suriname Vooruit met Taal multilingual source book","application/pdf","https://gov.sr/wp-content/uploads/2023/10/VOORUIT-MET-TAAL-Leerjr-8-Bronnenboek-Meertaligheid.pdf","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\suriname_vooruit_met_taal_leerjr8_bronnenboek_meertaligheid.pdf","851737","f6e0652b2c9ddf835e3c374fc67f1ed5f6c6c547b49ecb9119f6d799da0f6514","license/reuse pending; source-owner/reviewer return required","reuse_pending_metadata_only","B3 may consume row-level provenance metadata and hashes only; R6 does not package raw source body, copied text, media, captions, transcripts, screenshots, stills, translations, terms, signs, visual inventories, or pilots.","metadata_only_until_reuse_permission_and_source_authority_return; no copied source body or excerpts.","no raw source body copied into R6 outputs/packages by this lane; local paths and hashes remain provenance pointers only.","named creole/contact language source-owner/reviewer route required before any pan-creole inference, excerpt, term, translation, or corpus-support promotion.","Sranan / Saramaccan / Ndyuka / Guyanese Creole; creole/contact; official multilingual/Sranan/Okanisi school-language witness; source-canon","provenance metadata only; no community consent, native review, canonical approval, license clearance, source-authority acceptance, or completion claim.","captured_policy_or_context_pointer","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot","No source-authority promotion, approval, clearance, media reuse, OCR corpus reuse, captions, transcripts, alt text, excerpt selection, accepted terms, accepted signs, translation, completion, or Git push."
"R6-CR-P2-014","Creole/contact","Sranan / Saramaccan / Ndyuka / Guyanese Creole","Suriname official language context page","text/html; charset=UTF-8","https://gov.sr/suriname/","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\suriname_gov_language_context.html","208970","9b50c123f707021acdfa32480c553cb32cfb7f9716000c647202bd2f07d6c058","license/reuse pending; source-owner/reviewer return required","reuse_pending_metadata_only","B3 may consume row-level provenance metadata and hashes only; R6 does not package raw source body, copied text, media, captions, transcripts, screenshots, stills, translations, terms, signs, visual inventories, or pilots.","metadata_only_until_reuse_permission_and_source_authority_return; no copied source body or excerpts.","no raw source body copied into R6 outputs/packages by this lane; local paths and hashes remain provenance pointers only.","named creole/contact language source-owner/reviewer route required before any pan-creole inference, excerpt, term, translation, or corpus-support promotion.","Sranan / Saramaccan / Ndyuka / Guyanese Creole; creole/contact; official language context page mentioning Sranantongo and education language context; source-canon","provenance metadata only; no community consent, native review, canonical approval, license clearance, source-authority acceptance, or completion claim.","captured_policy_or_context_pointer","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot","No source-authority promotion, approval, clearance, media reuse, OCR corpus reuse, captions, transcripts, alt text, excerpt selection, accepted terms, accepted signs, translation, completion, or Git push."
"R6-QA-SAR-003","Indigenous Americas","Aymara","Jakhukipawinaka 1 - Aymara. Fichas de trabajo de matematicas del 1st Primaria - Aimara","PDF with extracted text","https://repositorio.minedu.gob.pe/handle/20.500.12799/11963","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260630T190000Z_r6_indigenous_creole_sign_source_capture_pass1\downloaded_evidence\indigenous_american\minedu_aymara_jakhukipawinaka_matematicas_1primaria.pdf","34464079","702b3f1dcf4d949f653c696b58c22b5d060f1274ef9bd51f13a42516c9b5ea90","openAccess CC-BY-4.0 per DSpace metadata; attribution sidecar still required before reuse","open_access_signal_recorded_reuse_still_requires_attribution_sidecar_and_scope_review","B3 may consume row-level provenance metadata and hashes only; R6 does not package raw source body, copied text, media, captions, transcripts, screenshots, stills, translations, terms, signs, visual inventories, or pilots.","metadata_only_for_R6_lane; any source-body payload requires a separate gated source-canon payload artifact with attribution and scope review by B3.","no raw source body copied into R6 outputs/packages by this lane; local paths and hashes remain provenance pointers only.","named Indigenous language/source-owner reviewer route required before any register, excerpt, term, translation, or corpus-support promotion.","Aymara; EIB; school mathematics; numeracy; PDF; text extract; Peru Minedu","provenance metadata only; no community consent, native review, canonical approval, license clearance, source-authority acceptance, or completion claim.","source pointer, exact-capture provenance, attribution planning, and reviewer questions only","no Quechua/Aymara bridge, copied excerpt, term promotion, translation, constructed crosswalk, surface, or pilot","No source-authority promotion, approval, clearance, media reuse, OCR corpus reuse, captions, transcripts, alt text, excerpt selection, accepted terms, accepted signs, translation, completion, or Git push."
