artifact_id,artifact_or_location,observed_state,classification,verified_fact,current_use,confidence
MSP-R001,00_governance/USER_VERBATIM_THREAD_BRIEF_20260717.md,present,current_user_authority,"Manager owns all works and must deliver TeX plus mandatory compiled and visually checked PDF",controlling,high
MSP-R002,01_methodology/research_department/LANE_HANDOFFS/MALAY_SEA_PACIFIC.md,present,current_method_authority,"Typed evidence graph; declared family/cohort tree; separate standards; unified 96.1 rejected",controlling,high
MSP-R003,local hub commit 8c05330,present,local_hub_baseline,"One local commit; no configured remote",provenance,high
MSP-R004,03_projects/noether/03_translation_workspaces/interslavic_tranche_001_paper06,present,other_lane_actual_production,"16 Latin and 16 Cyrillic builds; 32 PDFs; orthographic not semantic/final",do_not_attribute_to_MSP,high
MSP-R005,03_projects/sga/02_translation_restart/working_exposeX_idx532_537_en,present,other_lane_actual_production,"English source-checked restart through idx537 with compiled PDF",do_not_attribute_to_MSP,high
MSP-R006,GitHub commit 201ebbdbf55b854f72eb4fbf1057fcfbe070db3a,present,r7_source_body_publication,"R7 source bodies committed on 2026-07-05",source_provenance,high
MSP-R007,GitHub commit 87f9d226556fa39ecfe69bec3d50704eaee4a61c,present,r7_recovery_ledger_publication,"Post-212df recovery batch committed on 2026-07-06",archaeology_and_gap_tracking,high
MSP-R008,origin/codex/noether-pc-20260629 Malay-SEA-Pacific path set,present,r7_branch_inventory,"267 filtered paths: 112 CSV; 74 MD; 34 HTML; 28 PDF; 9 TXT; 8 JSON; 2 TAR; 0 TEX",source_and_audit_only,high
MSP-R009,R7_EAST_SOUTHEAST_ASIA_PACIFIC_COVERAGE_DISPATCH_20260629T023522Z.md,present,historical_dispatch,"Status coverage_dispatch_not_translation_pilot; every cluster pilot-ready no",historical_scope,high
MSP-R010,20260629T023522Z_r7_east_southeast_asia_pacific_closure/malay_indonesian_alignment,present,source_reference_corpus,"14 extracted PDFs; 963 pages; 2791 mechanical hits",candidate_evidence,high
MSP-R011,20260629T040330Z_malay_indonesian_official_terminology_higher_algebra_expansion,present,source_reference_corpus,"8 PDFs; 4 DBP/PRPM snapshots; 12 extracted texts; 6862 first-pass hits",candidate_evidence,high
MSP-R012,20260629T061500Z_r7_philippine_tai_hmong_austroasiatic_source_status,present,source_status_corpus,"17 valid PDFs; 1348 pages; 16 texts; 2 method source packages; explicit no Noether translation",candidate_context_and_gaps,high
MSP-R013,20260629T073000Z_r7_cjk_tibeto_burman_pacific_local_standard_decisions,present,source_status_corpus,"41 audited PDFs; 40 extracted; 7 archives; 121 TeX-like source members; no translation pilot",candidate_context_and_gaps,high
MSP-R014,R7 source-body MANIFEST.csv,present,source_manifest,"60 data rows = 59 witness/gap rows plus 1 package-safety metadata row",source_provenance,high
MSP-R015,UNIFIED_MARKER_AUTOMATON_v6_2 Malay-Indonesian lane,present,rejected_readiness_metric,"60 candidates; 0 support; reported 96.1",routing_archaeology_only,high
MSP-R016,R7_WHOLE_CORPUS_212DFB_CONTINUATION_20260706,present,continuation_ledger,"85 workcycle files decompose to 52 branch sources + 10 local-only sources + 16 scaffold/admin ledgers + 7 controls; no translated TeX",gap_reconstruction,high
MSP-R017,C:/Users/memo_/Documents/Codex/2026-07-04/noether-r7-malay-sea-pacific,absent,missing_external_worktree,"Referenced by surviving ledgers but not present in Floris archives",do_not_assume_content,high
MSP-R018,R7 pretranslation/interlinear CSV rows,present,pseudo_production,"Term lists and source-form-to-rendering cards; no continuous translated prose",candidate_terminology_only,high
MSP-R019,reviewer route and packet,present,unreturned_review_scaffold,"No returned reviewer decision located",future_review_input,high
MSP-R020,R7 target-language TeX/PDF pair,not_found,translation_output,"Zero lane TeX on live branch; no local target TeX plus build PDF pair",production_gap,high
MSP-R021,C:/IL_GitHub,present,repaired_shared_pointer,"Junction repaired by source coordinator during reconstruction; snapshots now reachable",read_only_provenance_access,high
MSP-R022,Noether R823 German cumulative Paper36 lines 18600-18610,present,current_source_authority,"Complete one-page five-segment work; source-closed and suitable for first Indonesian tranche",next_production_cursor,high
MSP-R023,03_projects/language_management/malay_sea_pacific/03_working_translations/noether/paper36/tranche_001_id_20260717,present,actual_lane_translation_production,"Complete Indonesian Paper36 TeX; compiled one-page PDF; source map; terminology/adverse ledger; build and visual QA; 13 hashes verified",completed_working_translation_not_native_reviewed,high
