"dest","expected_sha256","actual_sha256","status","kind"
"uploader-transfer/r3-2de72748-32e-ce79-route-context-source-use-gap-20260707/R3_2DE72748_32E_CE79_ROUTE_CONTEXT_SOURCE_USE_GAP_20260707_20260707T180216Z/BRANCH_CHANGED_PATHS_32E14F17_TO_2DE72748.txt","ca48ca6bc5c60c2b6934ae13549de3dd4693347ec6643a0582562950ee150009","ca48ca6bc5c60c2b6934ae13549de3dd4693347ec6643a0582562950ee150009","ok","package"
"uploader-transfer/r3-2de72748-32e-ce79-route-context-source-use-gap-20260707/R3_2DE72748_32E_CE79_ROUTE_CONTEXT_SOURCE_USE_GAP_20260707_20260707T180216Z/BRANCH_CHANGED_PATHS_330AB7BD_TO_2DE72748.txt","12670a9701911c3674a6f8b60811fb3ad1e8c69074f15deeffe3c057df287edf","12670a9701911c3674a6f8b60811fb3ad1e8c69074f15deeffe3c057df287edf","ok","package"
"uploader-transfer/r3-2de72748-32e-ce79-route-context-source-use-gap-20260707/R3_2DE72748_32E_CE79_ROUTE_CONTEXT_SOURCE_USE_GAP_20260707_20260707T180216Z/BRANCH_COMMITS_330AB7BD_TO_2DE72748.csv","7985a0ce98087932951ee2b111b9074400ac87b399fe6f6e881f795dda976cb0","7985a0ce98087932951ee2b111b9074400ac87b399fe6f6e881f795dda976cb0","ok","package"
"uploader-transfer/r3-2de72748-32e-ce79-route-context-source-use-gap-20260707/R3_2DE72748_32E_CE79_ROUTE_CONTEXT_SOURCE_USE_GAP_20260707_20260707T180216Z/BRANCH_VISIBLE_INPUT_COPY_LEDGER.csv","12c1d8814959e5689685e14f4a8c6a0f8d9ee594de8a4d8aed230d15bcc36e1a","12c1d8814959e5689685e14f4a8c6a0f8d9ee594de8a4d8aed230d15bcc36e1a","ok","package"
"uploader-transfer/r3-2de72748-32e-ce79-route-context-source-use-gap-20260707/R3_2DE72748_32E_CE79_ROUTE_CONTEXT_SOURCE_USE_GAP_20260707_20260707T180216Z/branch-visible-inputs/001_on12-20260705_B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706_B3_POST_32E14F17_NONSLAVIC_CE79_OLP_330_ROUTE_20260707_B3_ACTION_SUMMARY.csv","b20860c4a587fca334d50ef7ceae6b9e310d78bf52f341c6a105ab6a01fbbbdb","b20860c4a587fca334d50ef7ceae6b9e310d78bf52f341c6a105ab6a01fbbbdb","ok","package"
"uploader-transfer/r3-2de72748-32e-ce79-route-context-source-use-gap-20260707/R3_2DE72748_32E_CE79_ROUTE_CONTEXT_SOURCE_USE_GAP_20260707_20260707T180216Z/branch-visible-inputs/002_sion12-20260705_B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706_B3_POST_32E14F17_NONSLAVIC_CE79_OLP_330_ROUTE_20260707_BRANCH_PR_STATE.csv","d42d1ae2d07d55275de7cc06e0230c9b04a854432a80f067a2608caab248bb2f","d42d1ae2d07d55275de7cc06e0230c9b04a854432a80f067a2608caab248bb2f","ok","package"
"uploader-transfer/r3-2de72748-32e-ce79-route-context-source-use-gap-20260707/R3_2DE72748_32E_CE79_ROUTE_CONTEXT_SOURCE_USE_GAP_20260707_20260707T180216Z/branch-visible-inputs/003_12-20260705_B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706_B3_POST_32E14F17_NONSLAVIC_CE79_OLP_330_ROUTE_20260707_CONTEXT_SAFETY_HITS.csv","723ae5bb564e88820700e411be8e341cbd3c37e747b2fc0980773d731023249b","723ae5bb564e88820700e411be8e341cbd3c37e747b2fc0980773d731023249b","ok","package"
"uploader-transfer/r3-2de72748-32e-ce79-route-context-source-use-gap-20260707/R3_2DE72748_32E_CE79_ROUTE_CONTEXT_SOURCE_USE_GAP_20260707_20260707T180216Z/branch-visible-inputs/004_0260705_B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706_B3_POST_32E14F17_NONSLAVIC_CE79_OLP_330_ROUTE_20260707_CONTROL_FILE_EXCLUSIONS.csv","c5485d91917b94d8c08cb16f73a4e1fa6285c1200c508e20a2aff7b2aba25e50","c5485d91917b94d8c08cb16f73a4e1fa6285c1200c508e20a2aff7b2aba25e50","ok","package"
"uploader-transfer/r3-2de72748-32e-ce79-route-context-source-use-gap-20260707/R3_2DE72748_32E_CE79_ROUTE_CONTEXT_SOURCE_USE_GAP_20260707_20260707T180216Z/branch-visible-inputs/005_its_session12-20260705_B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706_B3_POST_32E14F17_NONSLAVIC_CE79_OLP_330_ROUTE_20260707_MANIFEST.csv","8112b95b73226644dd25597fc2dca0f2a549f378059ec68a681e448ab32b7f0a","8112b95b73226644dd25597fc2dca0f2a549f378059ec68a681e448ab32b7f0a","ok","package"
"uploader-transfer/r3-2de72748-32e-ce79-route-context-source-use-gap-20260707/R3_2DE72748_32E_CE79_ROUTE_CONTEXT_SOURCE_USE_GAP_20260707_20260707T180216Z/branch-visible-inputs/006_sion12-20260705_B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706_B3_POST_32E14F17_NONSLAVIC_CE79_OLP_330_ROUTE_20260707_MANIFEST_ISSUES.csv","7eb70257593da06f682a3ddda54a9d260d4fc514f645237f5ca74b08f8da61a6","7eb70257593da06f682a3ddda54a9d260d4fc514f645237f5ca74b08f8da61a6","ok","package"
