"debt_id","unit","source_lines","source_entry","current_representation","required_cumulative_action","status"
"IDX-I01-001","I.1","598","voisinage infinitésimal de X/Y","notation anchors retained but no standalone printed index entry","restore an English index entry when cumulative index machinery is introduced","deferred_to_cumulative_index"
"IDX-I02-001","I.2","630","quasi-fini (morphisme, algèbre)|hyperpage","term appears in body and headings but no standalone printed index entry","restore morphism/algebra cross-entry when cumulative index machinery is introduced","deferred_to_cumulative_index"
"IDX-I03-001","I.3","692","net (morphisme, algèbre)|hyperpage","historical synonym appears in heading and Definition I.3.2 but no standalone printed index entry","restore net morphism/algebra cross-entry with unramified cross-reference in cumulative index","deferred_to_cumulative_index"
"IDX-I03-002","I.3","696","non ramifié (morphisme, algèbre)|hyperpage","unramified appears throughout body but no standalone printed index entry","restore unramified morphism/algebra cross-entry in cumulative index","deferred_to_cumulative_index"
"IDX-I03-003","I.3","739","d_X/Y notation entry","notation label indnot:af retained but no standalone notation-index entry","restore different-ideal notation entry in cumulative notation index","deferred_to_cumulative_index"
"IDX-I03-004","I.3","742","différente (idéal)|hyperpage","different ideal appears in body but no standalone printed index entry","restore different-ideal terminology entry in cumulative index","deferred_to_cumulative_index"
"IDX-I03-005","I.3","743","idéal différente|hyperpage","second source sort-key entry is not represented separately","restore the source's alternate sort-key/cross-entry in cumulative index","deferred_to_cumulative_index"
"IDX-I04-001","I.4","812","étale (morphisme, algèbre)|hyperpage","étale appears in the heading and Definition I.4.1 but no standalone printed index entry","restore the étale morphism/algebra entry in the cumulative index","deferred_to_cumulative_index"
"IDX-I04-002","I.4","900","étale (revêtement)|hyperpage","étale covering appears in Definition I.4.9 but no standalone printed index entry","restore the étale-covering entry in the cumulative index","deferred_to_cumulative_index"
"IDX-I04-003","I.4","901","net (revêtement)|hyperpage","net covering appears in Definition I.4.9 but no standalone printed index entry","restore the net-covering entry with an unramified cross-reference in the cumulative index","deferred_to_cumulative_index"
"IDX-I04-004","I.4","902","revêtement étale (respectively net)|hyperpage","the source's covering-first sort entry is not represented separately","restore the alternate covering-first sort entry in the cumulative index","deferred_to_cumulative_index"
"IDX-I05-001","I.5","964","radiciel (morphisme)|hyperpage","radicial appears in Theorem I.5.1 and its definition but no standalone printed index entry exists","restore the radicial-morphism entry when cumulative index machinery is introduced","deferred_to_cumulative_index"
"IDX-I05-002","I.5","1095","prolongement des relèvements (théorème de)|hyperpage","the English theorem title appears in Corollary I.5.6 but no standalone printed index entry exists","restore Extension theorem for liftings under a lifting-first English sort entry","deferred_to_cumulative_index"
"IDX-I05-003","I.5","1096","theoreme de prolongement des relevements alternate sort key","the source's theorem-first alternate sort entry is not represented separately","restore a theorem-first cross-entry to Extension theorem for liftings","deferred_to_cumulative_index"
"IDX-I07-001","I.7","1293","séparable (polynôme)|hyperpage","separable polynomial appears in Definition I.7.1 but no standalone printed index entry exists","restore an English separable-polynomial entry when cumulative index machinery is introduced","deferred_to_cumulative_index"
