source_pdf_page,printed_volume_page,current_rescribe_index,source_or_control_reading,adopted_english,rejected_choice,reason,status
14,7,"not assigned; prefix before idx532","complexe parfait","perfect complex","excellent complex","Excellent describes the tendency of the derived direct image; parfait is the defined technical term.","accepted"
14,7,"not assigned; prefix before idx532","tor-dimension globale finie","globally finite Tor-dimension","finite global Tor-dimension","Retains the established inherited-English word order and avoids suggesting global dimension of a ring.","accepted"
14,7,"not assigned; prefix before idx532","cônes (ou mapping cylinders)","cones (or mapping cylinders)","mapping cones only","Retains both source expressions and the historical English phrase.","accepted"
14,7,"not assigned; prefix before idx532","sous-catégorie triangulée","triangulated subcategory","stable subcategory","Matches the defined categorical term.","accepted"
14,7,"not assigned; prefix before idx532","Module inversible ample","ample invertible module","ample line bundle","Preserves SGA/EGA terminology already used in this English lane.","accepted"
14,7,"not assigned; prefix before idx532","source prints K^\bullet(X) -> K(Parf(Y))","K^\bullet(Y) -> K(Parf(Y))","literal K^\bullet(X) domain","The literal source/French reading is ill-typed in context; provisional Y is transparent in TeX comments and pending Claude.","pending Claude"
13,6,"not assigned; prefix before idx532","source mixes E on lhs and F on rhs","F on both sides","literal E/F mismatch","The surrounding passage consistently discusses F; retained inherited normalization and documented it.","pending Claude"
141,134,"not assigned; prefix before idx532","objet final","final object","terminal object","Matches the existing translation on the immediately preceding page and the inherited lane terminology.","accepted"
142,135,"not assigned; prefix before idx532","faisceau constant de valeur Z","constant sheaf with value Z","constant Z-sheaf","Direct technical translation and existing lane style.","accepted"
144,137,"not assigned; prefix before idx532","triangle distingué","distinguished triangle","exact triangle","Matches derived-category terminology and the source.","accepted"
145,138,"not assigned; prefix before idx532","A « est » un anneau ordinaire","A “is” an ordinary ring","unquoted is","The source deliberately uses scare quotes; parentheses and quotes were restored.","accepted"
146,139,"not assigned; prefix before idx532","Im(p')","\operatorname{Im}(p')","raw \Im(p')","Both render upright, but operatorname is the dominant explicit style elsewhere in this English prefix.","accepted editorial normalization"
148,141,"not assigned; prefix before idx532","source footnote attached to k(C)","footnote attached to k(C)","standalone Remark after Lemma 6.4","Restores the source’s note hierarchy and placement.","accepted"
150,143,"not assigned; prefix before idx532","cf. (4.9)","cf. (4.9)","omission","Cross-reference is visible in the scan and present in the French control.","accepted"
