source_pdf_page,printed_volume_page,current_rescribe_index,role,filename,render_or_derivation,sha256,bytes
13,6,"not assigned; prefix before idx532","left boundary context","source_evidence/sourcePDF013_context.png","Poppler 240 dpi full page","405839C2FBAD4EDE3E1235DD59B2C4993FAA36517DFBD7D22691C57C91615730",1208330
14,7,"not assigned; prefix before idx532","direct source gate","source_evidence/sourcePDF014.png","Poppler 240 dpi full page","C711862782F31907F17C77A71A479116132826A2023FB5A35E8FCE6B0529E092",1210993
14,7,"not assigned; prefix before idx532","source-sic formula enlargement","source_evidence/sourcePDF014_formula_crop.png","crop of 240 dpi render enlarged 2x; no textual alteration","5A27DB08DEB5D882740F6AF4AC29A832FDE1DFBF34A21DB5B711BCDCB4D47E9C",218228
15,8,"not assigned; prefix before idx532","right boundary context","source_evidence/sourcePDF015_context.png","Poppler 240 dpi full page","C9E494F7006DF7B34EB966D7CC867C4E95B5241629105552A77C481E0DF10978",1230068
141,134,"not assigned; prefix before idx532","Exercise 5.7 footnote","source_evidence/sourcePDF141.png","Poppler 240 dpi full page","852C3AA11651440F1E26B4EE98D63DF94D60BE358D39B51EBAB12C5911160DE3",986064
142,135,"not assigned; prefix before idx532","Lemma 5.8.2 footnote","source_evidence/sourcePDF142.png","Poppler 240 dpi full page","781DFD7105ECC4148CDFCF7E013CD85ECDEC4B6932EBF6E01DE3F91D387F2C16",1021926
143,136,"not assigned; prefix before idx532","cross-reference","source_evidence/sourcePDF143.png","Poppler 240 dpi full page","0942045DE41C5B1D78ED8DC60E5A6CC3AC61B2863E98BF6302C403F987CC8C6C",926242
144,137,"not assigned; prefix before idx532","distinguished triangle","source_evidence/sourcePDF144.png","Poppler 240 dpi full page","B0B2532E877EA9A2A4474E53A2509A1A9AAABB7C227E53BE06AB738A6DBB586D",873362
145,138,"not assigned; prefix before idx532","parenthesis and scare quotes","source_evidence/sourcePDF145.png","Poppler 240 dpi full page","7AE292F68170FC1C8B9D2E71766D32E80E50BD0D5409B629306B164597EEE846",948741
146,139,"not assigned; prefix before idx532","Im operator style","source_evidence/sourcePDF146.png","Poppler 240 dpi full page","023BEF89804284D79277AD164D40EFEB8C5DBC8297D823FB559111C22CC95A81",1003458
147,140,"not assigned; prefix before idx532","Definition 6.1 triangle","source_evidence/sourcePDF147.png","Poppler 240 dpi full page","945BB63388595F96F5F4C34724C5752221750B3182A49389B16142C80B993F51",738813
148,141,"not assigned; prefix before idx532","footnote hierarchy","source_evidence/sourcePDF148.png","Poppler 240 dpi full page","7668F25B48E997A81F727776EB2D57DD211A0957B9D884D0CDC67CBF93CAD6CF",1119551
149,142,"not assigned; prefix before idx532","clean control","source_evidence/sourcePDF149.png","Poppler 240 dpi full page","68BF708EE5F2D09C935200D2DF614922228934F292F8D00A097E1DA2F4164668",998483
150,143,"not assigned; prefix before idx532","cf. (4.9)","source_evidence/sourcePDF150.png","Poppler 240 dpi full page","B870085BEC50D9A9D1E155B79517558CA29EDAAF02EAB6F2EA0D2DFD073A14E2",984498
