fault_id	physical_page	authority_before	inherited_before	corrected_french	render_comparison	freeze_status	status
F01	7	Authority pixels, physical page 7: ‖D²f^q‖∞ ≤ B q^(1/2) sup_(i<q)‖Df^i‖∞; the stated gain is √q rather than q.	local_unique/FRENCH_TEX_CANDIDATE_1B4F40B0F4FC.tex lines 208–215: squared supremum divided by q, with a claimed gain q rather than q².	‖D²f^q‖∞ ≤ B q^(1/2) sup_(i<q)‖Df^i‖∞. Le gain essentiel … est … un facteur √q, plutôt que q.	COMPLETE — replay rendering checked against authority page 7; exponent 1/2, unsquared supremum, and √q explanatory gain are present.	FROZEN_S02	COMPLETE
F02	16	Authority pixels, physical page 16: x^(1−ε) < r/s < x, with all quantifiers and r,s bounds intact.	local_unique/FRENCH_TEX_CANDIDATE_1B4F40B0F4FC.tex lines 515–518: impossible interval x < r/s < x.	∀x (2≤x≤A) ∃r,s (r≤B, s≤B, x^(1−ε)<r/s<x).	COMPLETE — replay rendering checked against authority page 16; exponent 1−ε and strict interval endpoints are present.	FROZEN_S03	COMPLETE
F03	16	Authority pixels, physical page 16: quotient of the s-term positive-exponent sum by the r-term negative-exponent sum, bounded by (s/r)^(1−ε).	local_unique/FRENCH_TEX_CANDIDATE_1B4F40B0F4FC.tex lines 519–522: denominator omitted and comparison flattened.	(Σ_(i=0)^(s−1)e^(iV))/(Σ_(i=0)^(r−1)e^(−iV)) ≤ (s/r)^(1−ε).	COMPLETE — numerator, denominator, index ranges, signs, and exponent were checked against authority page 16.	FROZEN_S03	COMPLETE
F04	15	Authority pixels, physical page 15: first horizontal circular-order diagram with 0, q_(n+2)α, 2q_(n+2)α, q_nα.	Candidate contains no native positional diagram.	Authority-only raw crop P15-A01 plus logged presentation derivative.	COMPLETE — exact horizontal order and labels checked against authority page 15.	FROZEN_S03	COMPLETE
F05	15	Authority pixels, physical page 15: conjugated iterate diagram with x, f^(q_(n+2))(x), f^(2q_(n+2))(x), f^(q_n)(x), braces and arrow.	Candidate contains no native positional diagram.	Authority-only raw crop P15-A02 plus logged presentation derivative.	COMPLETE — labels, positions, braces, and arrow checked against authority page 15.	FROZEN_S03	COMPLETE
F06	16	Authority pixels, physical page 16: r=3 arrangement x, f^(q′)(x), f^(2q′)(x), f^(3q′)(x), f^q(x).	Candidate flattens the arrangement into an unstructured list.	Authority-only raw crop P16-A01 plus logged presentation derivative.	COMPLETE — all ticks, labels, and horizontal order checked against authority page 16.	FROZEN_S03	COMPLETE
F07	16	Authority pixels, physical page 16: r=3,s=2 two-row arrangement with q′ iterates above and q iterates below.	Candidate flattens the two rows and loses positional relations.	Authority-only raw crop P16-A02 plus logged presentation derivative.	COMPLETE — both rows, ticks, labels, and alignments checked against authority page 16.	FROZEN_S03	COMPLETE
F08	21	Authority pixels, physical page 21: Theorem 9.1 concludes h is C^(r−1−ε) for every ε>0; β appears only in r=n+β and 0≤β<1.	local_unique/FRENCH_TEX_CANDIDATE_1B4F40B0F4FC.tex contains the inherited extra −β in C^(r−1−β−ε).	alors h est C^(r−1−ε) pour tout ε>0.	COMPLETE — exponent r−1−ε, the quantifier ε>0, and the separate role of β were checked against authority page 21.	FROZEN_S04	COMPLETE
F09	2	Authority pixels, physical page 2: « norme höldérienne d’exposant β ».	"local_unique/FRENCH_TEX_CANDIDATE_1B4F40B0F4FC.tex line 59: « norme h""{o}ldérienne d’exposant β »."	norme höldérienne d’exposant β	COMPLETE — replay rendering checked against authority page 2; spelling, diaeresis, accents, and formula are present.	FROZEN_S01	COMPLETE
F10	18	Authority pixels, physical page 18: « norme höldérienne ».	"local_unique/FRENCH_TEX_CANDIDATE_1B4F40B0F4FC.tex line 590: malformed h""{o}ldérienne string."	norme höldérienne	COMPLETE — diaeresis and accents checked against authority page 18.	FROZEN_S03	COMPLETE
