"decision_id","work_unit","authority_cursor","source_form","sense_window","zh_hans_cn","zh_hant_controlled","hant_scope","choice_type","alternatives_considered_or_rejected","producer_evidence","uncertainty_adverse_evidence","mandarin_simplified_dominance_risk_debt","lexical_attractor_basin","japanese_status","korean_status","proposal_status","independent_check","review_state"
"P40-ZH-T001","Noether Paper 40","German interval SHA-256 7965805D3A75C3354C85BC7A3E4725F07BF869A8833FC19D74E32BE369427937","Körper","Noncommutative coefficient object or division-algebra context; multiplication need not commute","除环","除環","Controlled generic Hant only; not Taiwan-, Hong Kong-, or Macao-localized","editorial inference","域; 斜域; 体/體 deferred or rejected here because they can erase the noncommutative division-ring sense","Producer translation returns A–C and lane lexical baseline","Historical German uses Körper across commutative and noncommutative senses; precise modern Chinese varies by regional school","HIGH DEBT: Hans 除环 is PRC-dominant evidence; controlled 除環 has no regional attestation in this production pass","modern Sino-xenic coinage/calque","not consulted; not Chinese authority","not consulted; not Chinese authority","producer proposal","absent","checker review required"
"P40-ZH-T002","Noether Paper 40","German interval SHA-256 7965805D3A75C3354C85BC7A3E4725F07BF869A8833FC19D74E32BE369427937","Körper","Explicitly commutative field, coefficient field, splitting field, or perfect field context","域","域","Controlled generic Hant only; not Taiwan-, Hong Kong-, or Macao-localized","editorial inference","体/體 retained as a regional alternative but not adopted without localization authority; 除环 rejected in explicitly commutative windows","Producer translation returns A–C","域 is standard Hans usage, while Taiwan-oriented mathematical prose often favors 體; no regional corpus was consulted here","HIGH DEBT: retaining 域 in generic Hant carries Mandarin-Simplified dominance and unresolved Taiwan terminology debt","mixed/contested","not consulted; not Chinese authority","not consulted; not Chinese authority","producer proposal","absent","regional revisit required"
"P40-ZH-T003","Noether Paper 40","German interval SHA-256 7965805D3A75C3354C85BC7A3E4725F07BF869A8833FC19D74E32BE369427937","reziprok","Representation, homomorphism, or isomorphism that reverses multiplication order; not ordinary numerical reciprocity","反向","反向","Controlled generic Hant only; not Taiwan-, Hong Kong-, or Macao-localized","model preference constrained by lane baseline","互反 rejected because it can suggest reciprocal duality; 对偶 rejected because no dual-space sense is asserted; 逆向 considered","Lane lexical baseline and producer translation returns A–C","反向 is semantically transparent but may be less historically conventional than 互反 in some Chinese algebra prose","MEDIUM DEBT: choice is Hans-led and lacks independent regional Hant evidence","modern Sino-xenic coinage/calque","not consulted; not Chinese authority","not consulted; not Chinese authority","producer proposal","absent","checker terminology review required"
"P40-ZH-T004","Noether Paper 40","German interval SHA-256 7965805D3A75C3354C85BC7A3E4725F07BF869A8833FC19D74E32BE369427937","Automorphismenring / Automorphismenbereich","The historical text explicitly includes all homomorphisms of an object to itself, including noninvertible maps","自同态环 / 自同态系统","自同態環 / 自同態系統","Controlled generic Hant only; not Taiwan-, Hong Kong-, or Macao-localized","editorial inference","自同构环 rejected inside this sense window because it falsely implies invertibility; 内自同构环 rejected as too narrow","Producer translation return A and the author's in-text definition as reported by the producer","Historical nomenclature conflicts with modern Automorphismus usage; a checker may prefer a historical-term note","MEDIUM DEBT: Hans terminology is strong but Hant regional preferences and note conventions were not evidenced","modern Sino-xenic coinage/calque","not consulted; not Chinese authority","not consulted; not Chinese authority","producer proposal","absent","checker review required"
"P40-ZH-T005","Noether Paper 40","German interval SHA-256 7965805D3A75C3354C85BC7A3E4725F07BF869A8833FC19D74E32BE369427937","Automorphismus","Explicit bijective ring or field automorphism, especially a group action or fixed-field window","自同构","自同構","Controlled generic Hant only; not Taiwan-, Hong Kong-, or Macao-localized","editorial inference","自同态 rejected only where bijectivity or group structure is explicit; 自映射 rejected as underspecified","Producer translation returns B–C terminology note as summarized in the assignment context","Boundary between the author's broad historical usage and modern bijective sense must be resolved locally","MEDIUM DEBT: Hans/Hant forms are direct script counterparts but regional prose was not consulted","modern Sino-xenic coinage/calque","not consulted; not Chinese authority","not consulted; not Chinese authority","producer proposal","absent","context-by-context checker review required"
"P40-ZH-T006","Noether Paper 40","German interval SHA-256 7965805D3A75C3354C85BC7A3E4725F07BF869A8833FC19D74E32BE369427937","Zerfällungskörper","Field over which the relevant polynomial, representation, or algebra splits completely","分裂域","分裂域","Controlled generic Hant only; not Taiwan-, Hong Kong-, or Macao-localized","terminology choice","分解域 considered but rejected here to preserve a contrast with Abspaltungskörper; 分裂体/分裂體 deferred as regional","Producer translation returns A–C","Chinese literature sometimes uses 分解域 for splitting field; source distinction creates a local terminological constraint","HIGH DEBT: generic Hant retains 域 and is not Taiwan-localized; Mandarin-Simplified shelf dominance is material","mixed/contested","not consulted; not Chinese authority","not consulted; not Chinese authority","producer proposal","absent","regional and mathematical checker review required"
"P40-ZH-T007","Noether Paper 40","German interval SHA-256 7965805D3A75C3354C85BC7A3E4725F07BF869A8833FC19D74E32BE369427937","Abspaltungskörper","Field sufficient to split off at least one linear factor, contrasted locally with complete splitting","分出域","分出域","Controlled generic Hant only; not Taiwan-, Hong Kong-, or Macao-localized","model preference","分解域 rejected because it would collapse the explicit contrast with Zerfällungskörper; 因子分出域 considered as more explicit but heavier","Producer translation return A","分出域 is transparent but weakly standardized and may require a translator's note","HIGH DEBT: likely a Hans-native local coinage; no Singapore or regional Hant evidence was consulted","native coinage","not consulted; not Chinese authority","not consulted; not Chinese authority","producer proposal","absent","revisit if corpus evidence or checker proposes a conventional term"
"P40-ZH-T008","Noether Paper 40","German interval SHA-256 7965805D3A75C3354C85BC7A3E4725F07BF869A8833FC19D74E32BE369427937","Erweiterungsring","Product/extension ring used to turn a bimodule or representation module into a one-sided module","扩张环","擴張環","Controlled generic Hant only; not Taiwan-, Hong Kong-, or Macao-localized","terminology choice","延拓环 considered; 扩域 rejected because the object is a ring, not necessarily a field","Lane lexical baseline and producer translation returns A–C","扩张 may denote scalar extension in adjacent contexts; local sense is ring-theoretic","MEDIUM DEBT: Hans compound carried mechanically into controlled Hant without regional evidence","modern Sino-xenic coinage/calque","not consulted; not Chinese authority","not consulted; not Chinese authority","producer proposal","absent","checker review required"
"P40-ZH-T009","Noether Paper 40","German interval SHA-256 7965805D3A75C3354C85BC7A3E4725F07BF869A8833FC19D74E32BE369427937","Darstellungsmodul","Module that generates or encodes a direct or order-reversing representation","表示模","表示模","Controlled generic Hant only; not Taiwan-, Hong Kong-, or Macao-localized","terminology choice","表象模 considered but rejected to keep representation=表示; 表示模块 rejected as computer-science colored","Lane lexical baseline and producer translation returns A–C","Some regional sources may prefer 表現 or 模組; neither was evidenced here","MEDIUM DEBT: PRC-style 表示模 dominates; controlled Hant does not establish regional acceptance","modern Sino-xenic coinage/calque","not consulted; not Chinese authority","not consulted; not Chinese authority","producer proposal","absent","regional revisit required"
"P40-ZH-T010","Noether Paper 40","German interval SHA-256 7965805D3A75C3354C85BC7A3E4725F07BF869A8833FC19D74E32BE369427937","Linearformenmodul","Finite free right module presented as a direct sum of one-generator copies of the coefficient ring","线性形式模","線性形式模","Controlled generic Hant only; not Taiwan-, Hong Kong-, or Macao-localized","terminology choice","线性型模 considered; 自由模 rejected because it would replace the author's chosen historical presentation term","Producer translation return A","The historical label may not match current standard Chinese textbook terminology","MEDIUM DEBT: literal Hans calque lacks independent Hant or Singapore evidence","modern Sino-xenic coinage/calque","not consulted; not Chinese authority","not consulted; not Chinese authority","producer proposal","absent","historical terminology checker review required"
"P40-ZH-T011","Noether Paper 40","German interval SHA-256 7965805D3A75C3354C85BC7A3E4725F07BF869A8833FC19D74E32BE369427937","Normalbasis","Basis normalized relative to a fixed ambient basis, or a normal basis in the explicit Galois sense; sense must be taken from the local construction","正规基","正規基","Controlled generic Hant only; not Taiwan-, Hong Kong-, or Macao-localized","editorial inference","标准基 rejected because it can mean canonical basis; 正规基底 retained as a possible regional expansion","Producer translation returns B–C terminology note as summarized in the assignment context","Normalbasis is polysemous: row-normalized module basis and Galois normal basis must not be silently conflated","HIGH DEBT: Hans 基 may dominate over regional 基底; no Hant localization corpus was consulted","mixed/contested","not consulted; not Chinese authority","not consulted; not Chinese authority","producer proposal","absent","revisit at every Normalbasis occurrence"
"P40-ZH-T012","Noether Paper 40","German interval SHA-256 7965805D3A75C3354C85BC7A3E4725F07BF869A8833FC19D74E32BE369427937","ähnliche Algebra","Brauer-style similarity or equivalence of algebras, not mere visual or coefficientwise resemblance","相似代数","相似代數","Controlled generic Hant only; not Taiwan-, Hong Kong-, or Macao-localized","model preference","等价代数 considered but may overstate the precise historical relation; 同类代数 rejected as vague","Producer translation returns B–C terminology note as summarized in the assignment context","The exact modern relation may be Morita/Brauer equivalence; 相似 requires mathematical checker attention","HIGH DEBT: literal Hans calque may be a lexical attractor unsupported by regional or historical Chinese evidence","mixed/contested","not consulted; not Chinese authority","not consulted; not Chinese authority","producer proposal","absent","revisit when relation is independently identified"
"P40-ZH-T013","Noether Paper 40","German interval SHA-256 7965805D3A75C3354C85BC7A3E4725F07BF869A8833FC19D74E32BE369427937","Algebrenklasse","Equivalence or similarity class of algebras in the Brauer-group discussion","代数类","代數類","Controlled generic Hant only; not Taiwan-, Hong Kong-, or Macao-localized","terminology choice","代数的类 considered but rejected as cumbersome; 同构类 rejected because the equivalence may be coarser than isomorphism","Producer translation returns A–C","Class relation depends on surrounding definition and must not be inferred as isomorphism class","MEDIUM DEBT: Hans compound is conventional-looking but no regional shelf evidence was collected","modern Sino-xenic coinage/calque","not consulted; not Chinese authority","not consulted; not Chinese authority","producer proposal","absent","checker to confirm equivalence relation"
"P40-ZH-T014","Noether Paper 40","German interval SHA-256 7965805D3A75C3354C85BC7A3E4725F07BF869A8833FC19D74E32BE369427937","Komplementärbasis / komplementäre Basis","Basis chosen for a complementary summand or extension, not orthogonal complement unless stated","互补基","互補基","Controlled generic Hant only; not Taiwan-, Hong Kong-, or Macao-localized","terminology choice","补基 considered; 正交补基 rejected absent an inner-product sense; 余基 rejected as ambiguous","Producer translation returns B–C terminology note as summarized in the assignment context","Whether complement is direct-sum, vector-space, or module-theoretic is local; 基 versus 基底 is region-sensitive","HIGH DEBT: PRC-style 互补基 may not be the preferred Taiwan/Hong Kong expression","modern Sino-xenic coinage/calque","not consulted; not Chinese authority","not consulted; not Chinese authority","producer proposal","absent","revisit in regional localization and mathematical check"
"P40-ZH-T015","Noether Paper 40","German interval SHA-256 7965805D3A75C3354C85BC7A3E4725F07BF869A8833FC19D74E32BE369427937","separabel","Algebraic field extension or algebra satisfying the relevant separability condition","可分","可分","Controlled generic Hant only; not Taiwan-, Hong Kong-, or Macao-localized","terminology choice","可分离 rejected as less idiomatic in algebraic extension terminology; 分离 rejected as topological","Producer translation returns B–C terminology note as summarized in the assignment context","The object qualified by separabel must be retained; field and algebra separability are not interchangeable","LOW–MEDIUM DEBT: the form is stable in Hans but independent Singapore and Hant evidence is absent","modern Sino-xenic coinage/calque","not consulted; not Chinese authority","not consulted; not Chinese authority","producer proposal","absent","checker to confirm object scope"
"P40-ZH-T016","Noether Paper 40","German interval SHA-256 7965805D3A75C3354C85BC7A3E4725F07BF869A8833FC19D74E32BE369427937","vollkommener Körper","Perfect field in the algebraic sense, not a metrically complete field","完美域","完美域","Controlled generic Hant only; not Taiwan-, Hong Kong-, or Macao-localized","terminology choice","完备域 rejected because it means complete field; 完全域 rejected as a literal false friend; 完美體 deferred as regional","Producer translation return A and producer terminology notes","Perfect/complete is a severe false-friend trap; Hant regional noun choice remains unresolved","HIGH DEBT: generic Hant retains 域 although Taiwan-oriented prose may use 體","mixed/contested","not consulted; not Chinese authority","not consulted; not Chinese authority","producer proposal","absent","regional and mathematical checker review required"
"P40-ZH-T017","Noether Paper 40","German interval SHA-256 7965805D3A75C3354C85BC7A3E4725F07BF869A8833FC19D74E32BE369427937","Produktring","Ring generated by two subrings in a common overring; explicitly not necessarily a direct product","乘积环","乘積環","Controlled generic Hant only; not Taiwan-, Hong Kong-, or Macao-localized","terminology choice","直积环 rejected because the author explicitly denies that implication; 生成环 considered but loses the historical label","Producer translation return A","Modern readers may initially interpret 乘积环 as direct product; the local definition must govern","MEDIUM DEBT: literal Hans calque carried into Hant without regional evidence","modern Sino-xenic coinage/calque","not consulted; not Chinese authority","not consulted; not Chinese authority","producer proposal","absent","checker should preserve the explicit definition"
"P40-ZH-T018","Noether Paper 40","German interval SHA-256 7965805D3A75C3354C85BC7A3E4725F07BF869A8833FC19D74E32BE369427937","vertauschbar","Elements or subrings commute elementwise under multiplication","两两可交换","兩兩可交換","Controlled generic Hant only; not Taiwan-, Hong Kong-, or Macao-localized","terminology choice","可互换 rejected because it suggests substitutability; 交换的 alone considered underspecified when two subrings are involved","Producer translation returns A–C","Must not be confused with commutative as an internal property of each whole ring","LOW–MEDIUM DEBT: Hans phrasing is semantically explicit but regional collocation was not checked","modern Sino-xenic coinage/calque","not consulted; not Chinese authority","not consulted; not Chinese authority","producer proposal","absent","checker to confirm local subject and quantifier"
