"adverse_id","decision_id","source_form","sense_window","preferred_zh_hans_cn","adverse_or_competing_form","failure_mode","uncertainty_or_adverse_evidence","mandarin_simplified_dominance_risk_debt","lexical_attractor_basin","zh_hant_controlled","hant_scope","japanese_status","korean_status","proposal_status","independent_check","revisit_condition"
"P40-ZH-A001","P40-ZH-T001","Körper","Noncommutative division-ring context","除环","域; 体/體","Erases noncommutativity and can make a division ring look like an ordinary commutative field","Historical German reuses Körper for both senses","HIGH DEBT: PRC-dominant 除环 lacks regional Hant attestation","modern Sino-xenic coinage/calque","除環","generic controlled Hant; not TW/HK/MO localized","not consulted; not Chinese authority","not consulted; not Chinese authority","producer proposal","absent","Revisit if a checker identifies a commutative local window or regional term"
"P40-ZH-A002","P40-ZH-T002","Körper","Explicit commutative field context","域","除环; 體","除环 adds false noncommutativity; retaining 域 may be inappropriate for Taiwan localization","Regional noun choice was not evidenced","HIGH DEBT: Hans 域 dominates generic Hant","mixed/contested","域","generic controlled Hant; not TW/HK/MO localized","not consulted; not Chinese authority","not consulted; not Chinese authority","producer proposal","absent","Revisit at any regional localization handoff"
"P40-ZH-A003","P40-ZH-T003","reziprok","Order-reversing representation/homomorphism/isomorphism","反向","互反; 对偶; 逆","Competing forms can imply numerical reciprocity, duality, or inverse rather than reversed multiplication order","House terminology outside this lane remains unverified","MEDIUM DEBT: Hans-led choice without regional evidence","modern Sino-xenic coinage/calque","反向","generic controlled Hant; not TW/HK/MO localized","not consulted; not Chinese authority","not consulted; not Chinese authority","producer proposal","absent","Revisit after mathematical checker assesses multiplication-order semantics"
"P40-ZH-A004","P40-ZH-T004","Automorphismenring / Automorphismenbereich","All endomorphisms, including noninvertible maps","自同态环 / 自同态系统","自同构环","Implies every map is invertible and contradicts the stated closure over all self-homomorphisms","Historical terminology itself is adverse evidence against a naive dictionary mapping","MEDIUM DEBT: Hant convention and note practice not evidenced","modern Sino-xenic coinage/calque","自同態環 / 自同態系統","generic controlled Hant; not TW/HK/MO localized","not consulted; not Chinese authority","not consulted; not Chinese authority","producer proposal","absent","Revisit if edition policy intentionally preserves historical nomenclature"
"P40-ZH-A005","P40-ZH-T005","Automorphismus","Explicit bijective automorphism or automorphism group","自同构","自同态","Loses bijectivity and group structure","Boundary with the author's broad Automorphism usage is locally unstable","MEDIUM DEBT: regional mathematical prose not consulted","modern Sino-xenic coinage/calque","自同構","generic controlled Hant; not TW/HK/MO localized","not consulted; not Chinese authority","not consulted; not Chinese authority","producer proposal","absent","Revisit occurrence by occurrence when checker establishes bijectivity"
"P40-ZH-A006","P40-ZH-T006","Zerfällungskörper","Complete splitting context","分裂域","分解域; 分裂體","分解域 can collapse the contrast with Abspaltungskörper; 分裂體 is unauthorized regional localization","Chinese conventions vary and no regional corpus was consulted","HIGH DEBT: Mandarin-Simplified 域 carried into Hant","mixed/contested","分裂域","generic controlled Hant; not TW/HK/MO localized","not consulted; not Chinese authority","not consulted; not Chinese authority","producer proposal","absent","Revisit with local-language mathematical evidence"
"P40-ZH-A007","P40-ZH-T007","Abspaltungskörper","Sufficient to split off one linear factor","分出域","分解域; 分裂域","Collapses one-factor splitting into complete splitting","Preferred form is weakly standardized","HIGH DEBT: probable Hans-native coinage with no regional evidence","native coinage","分出域","generic controlled Hant; not TW/HK/MO localized","not consulted; not Chinese authority","not consulted; not Chinese authority","producer proposal","absent","Revisit if a conventional Chinese term is documented"
"P40-ZH-A008","P40-ZH-T008","Erweiterungsring","Ring-theoretic extension/product-ring context","扩张环","扩域; 延拓环","扩域 changes the algebraic type; 延拓环 may shift the construction sense","Adjacent scalar-extension usage can attract the wrong reading","MEDIUM DEBT: Hans compound lacks Hant regional evidence","modern Sino-xenic coinage/calque","擴張環","generic controlled Hant; not TW/HK/MO localized","not consulted; not Chinese authority","not consulted; not Chinese authority","producer proposal","absent","Revisit if checker identifies a narrower construction"
"P40-ZH-A009","P40-ZH-T009","Darstellungsmodul","Module encoding a representation","表示模","表象模; 表示模块; 表現模","Alternatives either break lane consistency, suggest computing terminology, or introduce unauthorized regional language","Regional representation terminology was not consulted","MEDIUM DEBT: PRC-style 表示模 dominates","modern Sino-xenic coinage/calque","表示模","generic controlled Hant; not TW/HK/MO localized","not consulted; not Chinese authority","not consulted; not Chinese authority","producer proposal","absent","Revisit during regional localization"
"P40-ZH-A010","P40-ZH-T010","Linearformenmodul","Historical finite free module presentation","线性形式模","自由模; 线性型模","自由模 over-modernizes and removes the author's named presentation; 线性型模 is ambiguous","Historical Chinese convention is unknown","MEDIUM DEBT: literal Hans calque not regionally evidenced","modern Sino-xenic coinage/calque","線性形式模","generic controlled Hant; not TW/HK/MO localized","not consulted; not Chinese authority","not consulted; not Chinese authority","producer proposal","absent","Revisit with historical-terminology evidence"
"P40-ZH-A011","P40-ZH-T011","Normalbasis","Locally normalized module basis or Galois normal basis","正规基","标准基; 正規基底","标准基 can imply canonical coordinates; 基底 is regional and not authorized here","The source form has multiple mathematical senses","HIGH DEBT: Hans 基 dominates over possible Hant 基底","mixed/contested","正規基","generic controlled Hant; not TW/HK/MO localized","not consulted; not Chinese authority","not consulted; not Chinese authority","producer proposal","absent","Revisit every occurrence using its local construction"
"P40-ZH-A012","P40-ZH-T012","ähnliche Algebra","Brauer-style algebra similarity/equivalence","相似代数","等价代数; 同构代数","May misstate the exact equivalence relation as ordinary similarity or isomorphism","Exact modern category has not been independently identified","HIGH DEBT: literal Hans calque is an unverified attractor","mixed/contested","相似代數","generic controlled Hant; not TW/HK/MO localized","not consulted; not Chinese authority","not consulted; not Chinese authority","producer proposal","absent","Revisit after checker identifies the formal relation"
"P40-ZH-A013","P40-ZH-T013","Algebrenklasse","Class under the locally defined algebra relation","代数类","同构类","Silently upgrades an unspecified or Brauer equivalence class to an isomorphism class","Class relation remains context-dependent","MEDIUM DEBT: conventional-looking Hans form lacks regional evidence","modern Sino-xenic coinage/calque","代數類","generic controlled Hant; not TW/HK/MO localized","not consulted; not Chinese authority","not consulted; not Chinese authority","producer proposal","absent","Revisit once checker fixes the equivalence relation"
"P40-ZH-A014","P40-ZH-T014","Komplementärbasis","Basis for a complementary summand","互补基","正交补基; 补基底","Adds orthogonality not present, or performs unauthorized regional localization","Complement type is locally determined and region-sensitive","HIGH DEBT: Hans 互补基 may not transfer to regional Hant prose","modern Sino-xenic coinage/calque","互補基","generic controlled Hant; not TW/HK/MO localized","not consulted; not Chinese authority","not consulted; not Chinese authority","producer proposal","absent","Revisit with construction and localization evidence"
"P40-ZH-A015","P40-ZH-T015","separabel","Algebraic separability condition","可分","可分离; 分离","Can import analytic/topological separation or obscure the standard algebraic predicate","Qualified object must remain explicit","LOW–MEDIUM DEBT: no Singapore or Hant shelf evidence","modern Sino-xenic coinage/calque","可分","generic controlled Hant; not TW/HK/MO localized","not consulted; not Chinese authority","not consulted; not Chinese authority","producer proposal","absent","Revisit if checker finds algebra versus field scope drift"
"P40-ZH-A016","P40-ZH-T016","vollkommener Körper","Perfect field","完美域","完备域; 完全域; 完美體","完备域 means complete field; 完全域 is a false friend; 完美體 is unauthorized Taiwan localization","Severe lexical false-friend risk","HIGH DEBT: generic Hant retains Mandarin-Simplified 域","mixed/contested","完美域","generic controlled Hant; not TW/HK/MO localized","not consulted; not Chinese authority","not consulted; not Chinese authority","producer proposal","absent","Always revisit if metric completeness appears nearby"
"P40-ZH-A017","P40-ZH-T017","Produktring","Ring generated by subrings in a common overring; not necessarily direct","乘积环","直积环","Introduces a direct-product claim expressly excluded by the author's definition","Modern reader expectation is adverse evidence","MEDIUM DEBT: literal Hans calque lacks regional attestation","modern Sino-xenic coinage/calque","乘積環","generic controlled Hant; not TW/HK/MO localized","not consulted; not Chinese authority","not consulted; not Chinese authority","producer proposal","absent","Revisit if explanatory note policy changes"
"P40-ZH-A018","P40-ZH-T018","vertauschbar","Elementwise commuting subrings or elements","两两可交换","可互换; 交换环","Conflates elementwise mutual commutation with substitutability or internal commutativity","Quantifier and subject are locally fragile","LOW–MEDIUM DEBT: regional collocation not consulted","modern Sino-xenic coinage/calque","兩兩可交換","generic controlled Hant; not TW/HK/MO localized","not consulted; not Chinese authority","not consulted; not Chinese authority","producer proposal","absent","Revisit if checker finds missing elementwise quantification"
"P40-ZH-A019","P40-ZH-T019","hyperkomplexes System","Historical broad algebraic system","超复系统","超复数系; 超复代数","Can narrow the historical category to modern hypercomplex numbers or silently modernize System into algebra","Period-specific scope is unresolved","MEDIUM DEBT: Hans historical calque lacks Hant corpus support","modern Sino-xenic coinage/calque","超複系統","generic controlled Hant; not TW/HK/MO localized","not consulted; not Chinese authority","not consulted; not Chinese authority","producer proposal","absent","Revisit during historical terminology check"
"P40-ZH-A020","P40-ZH-T020","verschränktes Produkt","Crossed-product algebra","交叉积","直积; 半直积; 扭曲积","Selects a different product construction or merges crossed and twisted terminology","Modern Chinese alternatives vary","HIGH DEBT: Hans-led choice lacks Singapore and Hant evidence","mixed/contested","交叉積","generic controlled Hant; not TW/HK/MO localized","not consulted; not Chinese authority","not consulted; not Chinese authority","producer proposal","absent","Revisit with modern algebra corpus evidence"
