"crosswalk_id","decision_id","source_form","sense_window","zh_hans_cn","zh_hant_controlled","hant_scope","prc_hans_status","singapore_hans_status","japanese_form","japanese_status","korean_form","korean_status","lexical_attractor_basin","mandarin_simplified_dominance_risk_debt","proposal_status","independent_check"
"P40-ZH-X001","P40-ZH-T001","Körper","Noncommutative division-ring context","除环","除環","generic controlled Hant; not TW/HK/MO localized","PRC-oriented producer proposal","same Hans form provisional; Singapore evidence not consulted","NOT_CONSULTED","not consulted; not Chinese authority","NOT_CONSULTED","not consulted; not Chinese authority","modern Sino-xenic coinage/calque","HIGH DEBT: PRC-dominant 除环 lacks regional evidence","producer proposal","absent"
"P40-ZH-X002","P40-ZH-T002","Körper","Explicit commutative-field context","域","域","generic controlled Hant; not TW/HK/MO localized","PRC-oriented producer proposal","same Hans form provisional; Singapore evidence not consulted","NOT_CONSULTED","not consulted; not Chinese authority","NOT_CONSULTED","not consulted; not Chinese authority","mixed/contested","HIGH DEBT: generic Hant 域 does not resolve regional 體 usage","producer proposal","absent"
"P40-ZH-X003","P40-ZH-T003","reziprok","Order-reversing representation/homomorphism/isomorphism","反向","反向","generic controlled Hant; not TW/HK/MO localized","lane-baseline producer proposal","same Hans form provisional; Singapore evidence not consulted","NOT_CONSULTED","not consulted; not Chinese authority","NOT_CONSULTED","not consulted; not Chinese authority","modern Sino-xenic coinage/calque","MEDIUM DEBT: Hans-led choice lacks regional evidence","producer proposal","absent"
"P40-ZH-X004","P40-ZH-T004","Automorphismenring / Automorphismenbereich","Historical all-self-homomorphism sense including noninvertible maps","自同态环 / 自同态系统","自同態環 / 自同態系統","generic controlled Hant; not TW/HK/MO localized","PRC-oriented semantic producer proposal","same Hans semantics provisional; Singapore evidence not consulted","NOT_CONSULTED","not consulted; not Chinese authority","NOT_CONSULTED","not consulted; not Chinese authority","modern Sino-xenic coinage/calque","MEDIUM DEBT: regional terminology and historical-note policy unknown","producer proposal","absent"
"P40-ZH-X005","P40-ZH-T005","Automorphismus","Explicit bijective automorphism/group-action sense","自同构","自同構","generic controlled Hant; not TW/HK/MO localized","PRC-oriented semantic producer proposal","same Hans form provisional; Singapore evidence not consulted","NOT_CONSULTED","not consulted; not Chinese authority","NOT_CONSULTED","not consulted; not Chinese authority","modern Sino-xenic coinage/calque","MEDIUM DEBT: no regional context evidence","producer proposal","absent"
"P40-ZH-X006","P40-ZH-T006","Zerfällungskörper","Complete splitting field","分裂域","分裂域","generic controlled Hant; not TW/HK/MO localized","PRC-oriented producer proposal","same Hans form provisional; Singapore evidence not consulted","NOT_CONSULTED","not consulted; not Chinese authority","NOT_CONSULTED","not consulted; not Chinese authority","mixed/contested","HIGH DEBT: 域 retained in Hant without regional localization","producer proposal","absent"
"P40-ZH-X007","P40-ZH-T007","Abspaltungskörper","Field sufficient to split off one linear factor","分出域","分出域","generic controlled Hant; not TW/HK/MO localized","Hans producer coinage proposal","same Hans form provisional; Singapore evidence not consulted","NOT_CONSULTED","not consulted; not Chinese authority","NOT_CONSULTED","not consulted; not Chinese authority","native coinage","HIGH DEBT: weakly standardized Hans-native choice","producer proposal","absent"
"P40-ZH-X008","P40-ZH-T008","Erweiterungsring","Ring extension/product construction for one-sided module realization","扩张环","擴張環","generic controlled Hant; not TW/HK/MO localized","PRC-oriented producer proposal","same Hans form provisional; Singapore evidence not consulted","NOT_CONSULTED","not consulted; not Chinese authority","NOT_CONSULTED","not consulted; not Chinese authority","modern Sino-xenic coinage/calque","MEDIUM DEBT: Hant is script-controlled only","producer proposal","absent"
"P40-ZH-X009","P40-ZH-T009","Darstellungsmodul","Module generating or encoding a representation","表示模","表示模","generic controlled Hant; not TW/HK/MO localized","PRC-oriented producer proposal","same Hans form provisional; Singapore evidence not consulted","NOT_CONSULTED","not consulted; not Chinese authority","NOT_CONSULTED","not consulted; not Chinese authority","modern Sino-xenic coinage/calque","MEDIUM DEBT: regional 表現/模組 alternatives unassessed","producer proposal","absent"
"P40-ZH-X010","P40-ZH-T010","Linearformenmodul","Historical finite-free-module presentation","线性形式模","線性形式模","generic controlled Hant; not TW/HK/MO localized","PRC-oriented literal producer proposal","same Hans form provisional; Singapore evidence not consulted","NOT_CONSULTED","not consulted; not Chinese authority","NOT_CONSULTED","not consulted; not Chinese authority","modern Sino-xenic coinage/calque","MEDIUM DEBT: historical and regional evidence absent","producer proposal","absent"
