"record_id","record_type","parent_id","revision","revision_of","supersedes","superseded_by","volume","expose","unit","source_lines","source_locator","authority_sha256","source_reading","target_reading","status","raw_cursor","substantive_cursor","target_tex_sha256","target_pdf_sha256","evidence_sha256","release_state"
"SGA2-X-C26-STATEMENT@1","unit_status","","1","","","SGA2-X-C26-STATEMENT@2","SGA2","X","Corollary 2.6 statement","3446-3453","printed117;physical101;running93","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","complete Corollary 2.6 statement with marker 3 and base-point convention","source-aligned complete English statement","independent_review_fail_closed_evidence_only","3454","3455","C9A674ED0B8D5E7237552AA471DC83E5FF51420389BCD507A580848648DAB927","266BD66E2A8464B7E31C533A81887C445950EC831AE09BE6BB991FF8409BA0A1","CAACB9F310F341AB009B85696C5ACD4B5617468F61AF02054D9A29E1CC8F1899","internal_not_for_release"
"SGA2-X-C26-NDEMARK@1","structure_comparison","SGA2-X-C26-STATEMENT@1","1","","","","SGA2","X","editorial marker 3","3447","printed117;physical101;running93","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","Corollaire 2.6 carries ndemark and printed marker 3","marker 3 retained; editor note line3456 deferred","marker_preserved_note_body_deferred","3454","3455","C9A674ED0B8D5E7237552AA471DC83E5FF51420389BCD507A580848648DAB927","266BD66E2A8464B7E31C533A81887C445950EC831AE09BE6BB991FF8409BA0A1","E59A5DADE48D40EA47B11A4747A72A21ABA090FA09F697F403FC5B4ACD0FB793","internal_not_for_release"
"SGA2-X-C26-CONNECTEDNESS@1","semantic_comparison","SGA2-X-C26-STATEMENT@1","1","","","","SGA2","X","connectedness assertion","3448","printed117;physical101;running93","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","Lef X Y and connected Y imply every open neighborhood U is connected","hypotheses quantifier and conclusion preserved","source_and_target_checked","3454","3455","C9A674ED0B8D5E7237552AA471DC83E5FF51420389BCD507A580848648DAB927","266BD66E2A8464B7E31C533A81887C445950EC831AE09BE6BB991FF8409BA0A1","61B57A0A871EAC4F2D19BFF482133A0F47ECB3DE80CBD877BD05878E9AD38B0E","internal_not_for_release"
"SGA2-X-C26-SURJECTIVITY@1","formula_comparison","SGA2-X-C26-STATEMENT@1","1","","","","SGA2","X","natural homomorphism to U","3448","printed117;physical101;running93","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","pi_1 Y to pi_1 U is surjective","endpoints direction naturality and surjectivity preserved","source_and_target_checked","3454","3455","C9A674ED0B8D5E7237552AA471DC83E5FF51420389BCD507A580848648DAB927","266BD66E2A8464B7E31C533A81887C445950EC831AE09BE6BB991FF8409BA0A1","61B57A0A871EAC4F2D19BFF482133A0F47ECB3DE80CBD877BD05878E9AD38B0E","internal_not_for_release"
"SGA2-X-C26-LIMIT-ISO@1","formula_comparison","SGA2-X-C26-STATEMENT@1","1","","","","SGA2","X","inverse-limit homomorphism","3448-3452","printed117;physical101;running93","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","under Leff X Y the natural map pi_1 Y to inverse limit over U of pi_1 U is an isomorphism","hypothesis endpoints direction limit subscript and isomorphism preserved","source_and_target_checked","3454","3455","C9A674ED0B8D5E7237552AA471DC83E5FF51420389BCD507A580848648DAB927","266BD66E2A8464B7E31C533A81887C445950EC831AE09BE6BB991FF8409BA0A1","61B57A0A871EAC4F2D19BFF482133A0F47ECB3DE80CBD877BD05878E9AD38B0E","internal_not_for_release"
"SGA2-X-C26-BASEPOINT@1","translation_choice","SGA2-X-C26-STATEMENT@1","1","","","","SGA2","X","base-point convention","3452","printed117;physical101;running93","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","a point-base is chosen in Y and also taken in X for the fundamental groups","base point in Y and X preserved without substituting U","literal_source_distinction_preserved","3454","3455","C9A674ED0B8D5E7237552AA471DC83E5FF51420389BCD507A580848648DAB927","266BD66E2A8464B7E31C533A81887C445950EC831AE09BE6BB991FF8409BA0A1","61B57A0A871EAC4F2D19BFF482133A0F47ECB3DE80CBD877BD05878E9AD38B0E","internal_not_for_release"
"SGA2-X-C26-SOURCE@1","source_binding","SGA2-X-C26-STATEMENT@1","1","","","","SGA2","X","exact authority slice","3446-3453","printed117;physical101;running93","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","eight exact authority lines retained with terminal LF","terminal-LF slice replay exact","source_replay_checked","3454","3455","C9A674ED0B8D5E7237552AA471DC83E5FF51420389BCD507A580848648DAB927","266BD66E2A8464B7E31C533A81887C445950EC831AE09BE6BB991FF8409BA0A1","61B57A0A871EAC4F2D19BFF482133A0F47ECB3DE80CBD877BD05878E9AD38B0E","internal_not_for_release"
"SGA2-X-C26-COMPARE@1","comparison_choice","SGA2-X-C26-STATEMENT@1","1","","","","SGA2","X","external English comparison","3446-3453","jcreinhold ii chapter lines256-268","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","comparison shows same statement and direct adjacency","French-derived target with formulas marker and base-point convention directly checked","comparison_only_with_rationale","3454","3455","C9A674ED0B8D5E7237552AA471DC83E5FF51420389BCD507A580848648DAB927","266BD66E2A8464B7E31C533A81887C445950EC831AE09BE6BB991FF8409BA0A1","2BDDBC3D15EECE7A47FDBDFBE31DAE735446BC14480A75113E704F63901C7BF5","internal_not_for_release"
"SGA2-X-C26-REGISTER@1","terminology_choice","SGA2-X-C26-STATEMENT@1","1","","","","SGA2","X","English mathematical register","3446-3453","printed117;physical101;running93","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","voisinage ouvert homomorphisme naturel surjectif limite projective point-base","open neighborhood natural homomorphism surjective inverse limit base point","terminology_checked","3454","3455","C9A674ED0B8D5E7237552AA471DC83E5FF51420389BCD507A580848648DAB927","266BD66E2A8464B7E31C533A81887C445950EC831AE09BE6BB991FF8409BA0A1","CAACB9F310F341AB009B85696C5ACD4B5617468F61AF02054D9A29E1CC8F1899","internal_not_for_release"
"SGA2-X-C26-RENDER@1","render_review","SGA2-X-C26-STATEMENT@1","1","","","SGA2-X-C26-RENDER@2","SGA2","X","target page visual QA","3446-3453","target1;source physical101","C2F899E92A904E312B550C6452A117FF23D30AF984B2254A0961D2DF0DACD042","corollary visible on source physical page 101","one clean target page with marker assertions homomorphisms limit and base-point note visible","independent_review_fail_closed_font_count_evidence_only","3454","3455","C9A674ED0B8D5E7237552AA471DC83E5FF51420389BCD507A580848648DAB927","266BD66E2A8464B7E31C533A81887C445950EC831AE09BE6BB991FF8409BA0A1","72975B1C2C209A3140F04FB63B406BF19F96F43201B5C2F31E02B36F293BCA76","internal_not_for_release"
