"artifact_id","relative_path","r1_bytes","r1_sha256","r2_bytes","r2_sha256","identity_equal","status"
"SGA2-X-C26-R2-UNCHANGED-001","BUILD_PASS1.log","7123","5FDCB34DCEC8829733542B2E768A6B8F46BE865631CC106AFD016684803FCF9B","7123","5FDCB34DCEC8829733542B2E768A6B8F46BE865631CC106AFD016684803FCF9B","true","byte_identical"
"SGA2-X-C26-R2-UNCHANGED-002","BUILD_PASS2.log","7003","66D9A8CB45AF0128E132DE5F8CB0A6AC071610060A4EDF7B3D35FF54F7E25A07","7003","66D9A8CB45AF0128E132DE5F8CB0A6AC071610060A4EDF7B3D35FF54F7E25A07","true","byte_identical"
"SGA2-X-C26-R2-UNCHANGED-003","PDFFONTS.txt","1235","FDBA2D33215659347C6F00F1F00A6C9C849B96281E50C660FD969287373EF37E","1235","FDBA2D33215659347C6F00F1F00A6C9C849B96281E50C660FD969287373EF37E","true","byte_identical"
"SGA2-X-C26-R2-UNCHANGED-004","PDFINFO.txt","666","8786A19BF0D47EE54D24196464A45C8B4D5E375744A6AA3B49D2829C83E61C8E","666","8786A19BF0D47EE54D24196464A45C8B4D5E375744A6AA3B49D2829C83E61C8E","true","byte_identical"
"SGA2-X-C26-R2-UNCHANGED-005","RENDER_PAGE_001_150DPI.png","117486","72975B1C2C209A3140F04FB63B406BF19F96F43201B5C2F31E02B36F293BCA76","117486","72975B1C2C209A3140F04FB63B406BF19F96F43201B5C2F31E02B36F293BCA76","true","byte_identical"
"SGA2-X-C26-R2-UNCHANGED-006","SGA2_Expose_X_Corollary_2_6_Statement_English_SourceAligned.aux","162","09272726B6BCD93175BF0C45298A936362D70AB34E0BD87798585DCD7B0363FE","162","09272726B6BCD93175BF0C45298A936362D70AB34E0BD87798585DCD7B0363FE","true","byte_identical"
"SGA2-X-C26-R2-UNCHANGED-007","SGA2_Expose_X_Corollary_2_6_Statement_English_SourceAligned.log","24002","0CACD7925D53024D5C7742D444B869CF93BE014333E94C97C23717BCA831636C","24002","0CACD7925D53024D5C7742D444B869CF93BE014333E94C97C23717BCA831636C","true","byte_identical"
"SGA2-X-C26-R2-UNCHANGED-008","SGA2_Expose_X_Corollary_2_6_Statement_English_SourceAligned.out","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","true","byte_identical"
"SGA2-X-C26-R2-UNCHANGED-009","SGA2_Expose_X_Corollary_2_6_Statement_English_SourceAligned.pdf","191232","266BD66E2A8464B7E31C533A81887C445950EC831AE09BE6BB991FF8409BA0A1","191232","266BD66E2A8464B7E31C533A81887C445950EC831AE09BE6BB991FF8409BA0A1","true","byte_identical"
"SGA2-X-C26-R2-UNCHANGED-010","SGA2_Expose_X_Corollary_2_6_Statement_English_SourceAligned.tex","1822","C9A674ED0B8D5E7237552AA471DC83E5FF51420389BCD507A580848648DAB927","1822","C9A674ED0B8D5E7237552AA471DC83E5FF51420389BCD507A580848648DAB927","true","byte_identical"
"SGA2-X-C26-R2-UNCHANGED-011","SOURCE_LINES_3446_3453.tex","517","61B57A0A871EAC4F2D19BFF482133A0F47ECB3DE80CBD877BD05878E9AD38B0E","517","61B57A0A871EAC4F2D19BFF482133A0F47ECB3DE80CBD877BD05878E9AD38B0E","true","byte_identical"
"SGA2-X-C26-R2-UNCHANGED-012","SOURCE_PHYSICAL_PAGE_101_200DPI.png","407075","E59A5DADE48D40EA47B11A4747A72A21ABA090FA09F697F403FC5B4ACD0FB793","407075","E59A5DADE48D40EA47B11A4747A72A21ABA090FA09F697F403FC5B4ACD0FB793","true","byte_identical"
"SGA2-X-C26-R2-UNCHANGED-013","TARGET_EXTRACTED_TEXT.txt","1350","984F7A5D41DCF693FE7EBAC0EAD29B52E5FC0D56D54F0A65C5888878442B7522","1350","984F7A5D41DCF693FE7EBAC0EAD29B52E5FC0D56D54F0A65C5888878442B7522","true","byte_identical"
