gap_check_row_id,parent_pointer_row_id,packet_unit,olp_shelf_ids,dmoi_catalog_row_ids,source_systems_implicated,olp_routes_available_count,dmoi_file_hints_available_count,required_gap_field_count,open_required_gap_field_count,closed_required_gap_field_count,reviewer_scope_return_required,mixed_license_scope_review_required,row_status
ODRF-ATTR-GAP-01,ODRF-PTR-01,proof_reading_and_definition_use,OLP-METHODS-PROOFS-READING-01; OLP-METHODS-USING-DEFINITIONS-01,DMOI-RF-CAT-01,OLP_CC_BY_4_0; DMOI_CONSERVATIVE_NC_SA_RECHECK_REQUIRED,6,8,14,14,0,true,true,open_gap_check_only_no_excerpts_no_source_text_no_surfaces_no_translation
ODRF-ATTR-GAP-02,ODRF-PTR-02,sets_membership_subset_equality,OLP-SFR-SETS-BASICS-01,DMOI-RF-CAT-01,OLP_CC_BY_4_0; DMOI_CONSERVATIVE_NC_SA_RECHECK_REQUIRED,5,8,14,14,0,true,true,open_gap_check_only_no_excerpts_no_source_text_no_surfaces_no_translation
ODRF-ATTR-GAP-03,ODRF-PTR-03,domain_codomain_range,OLP-SFR-FUNCTIONS-BASICS-01,DMOI-RF-CAT-02; DMOI-RF-CAT-06,OLP_CC_BY_4_0; DMOI_CONSERVATIVE_NC_SA_RECHECK_REQUIRED,5,9,14,14,0,true,true,open_gap_check_only_no_excerpts_no_source_text_no_surfaces_no_translation
ODRF-ATTR-GAP-04,ODRF-PTR-04,function_as_relation_boundary,OLP-SFR-FUNCTIONS-BASICS-01; OLP-SFR-RELATIONS-01,DMOI-RF-CAT-01,OLP_CC_BY_4_0; DMOI_CONSERVATIVE_NC_SA_RECHECK_REQUIRED,9,8,14,14,0,true,true,open_gap_check_only_no_excerpts_no_source_text_no_surfaces_no_translation
ODRF-ATTR-GAP-05,ODRF-PTR-05,injective_surjective_bijective,OLP-SFR-FUNCTIONS-BASICS-01,DMOI-RF-CAT-03,OLP_CC_BY_4_0; DMOI_CONSERVATIVE_NC_SA_RECHECK_REQUIRED,5,6,14,14,0,true,true,open_gap_check_only_no_excerpts_no_source_text_no_surfaces_no_translation
ODRF-ATTR-GAP-06,ODRF-PTR-06,relation_properties,OLP-SFR-RELATIONS-01,DMOI-RF-CAT-07,OLP_CC_BY_4_0; DMOI_CONSERVATIVE_NC_SA_RECHECK_REQUIRED,4,6,14,14,0,true,true,open_gap_check_only_no_excerpts_no_source_text_no_surfaces_no_translation
ODRF-ATTR-GAP-07,ODRF-PTR-07,equivalence_order_poset,OLP-SFR-RELATIONS-01,DMOI-RF-CAT-04,OLP_CC_BY_4_0; DMOI_CONSERVATIVE_NC_SA_RECHECK_REQUIRED,4,8,14,14,0,true,true,open_gap_check_only_no_excerpts_no_source_text_no_surfaces_no_translation
ODRF-ATTR-GAP-08,ODRF-PTR-08,composition_inverse,OLP-SFR-FUNCTIONS-BASICS-01,DMOI-RF-CAT-05,OLP_CC_BY_4_0; DMOI_CONSERVATIVE_NC_SA_RECHECK_REQUIRED,5,6,14,14,0,true,true,open_gap_check_only_no_excerpts_no_source_text_no_surfaces_no_translation
ODRF-ATTR-GAP-09,ODRF-PTR-09,finite_infinite_equinumerosity,OLP-SFR-SIZE-OF-SETS-01,DMOI-RF-CAT-03; DMOI-RF-CAT-08,OLP_CC_BY_4_0; DMOI_CONSERVATIVE_NC_SA_RECHECK_REQUIRED,4,12,14,14,0,true,true,open_gap_check_only_no_excerpts_no_source_text_no_surfaces_no_translation
ODRF-ATTR-GAP-10,ODRF-PTR-10,high_density_source_shelf_selection,OLP-SFR-SETS-BASICS-01; OLP-SFR-FUNCTIONS-BASICS-01; OLP-SFR-RELATIONS-01,DMOI-RF-CAT-08,OLP_CC_BY_4_0; DMOI_CONSERVATIVE_NC_SA_RECHECK_REQUIRED,14,6,14,14,0,true,true,open_gap_check_only_no_excerpts_no_source_text_no_surfaces_no_translation
