evidence_intake_row_id,parent_criterion_row_id,parent_precondition_blocker_return_row_id,parent_precondition_blocker_row_id,blocker_class,blocker_owner_class,precondition_name,criterion_type,evidence_value_filled,evidence_source_pointer_filled,criterion_passed,criterion_failed,criterion_unfilled,precondition_blocker_resolution_allowed_after_review,true_precondition_update_allowed_after_review,query_execution_allowed_after_review,surface_gate_opened,translation_gate_opened
DMOI-RF-LSS-BCRPBEI-EVID-001,DMOI-RF-LSS-BCRPBER-CRIT-001,DMOI-RF-LSS-BCRPBRL-RET-001,DMOI-RF-LSS-BCRPBLK-BLOCK-001,approved_query_term_present,query_term_return_owner,decision_row_linkage_validated,dated_non_personal_return_identity,false,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCRPBEI-EVID-002,DMOI-RF-LSS-BCRPBER-CRIT-002,DMOI-RF-LSS-BCRPBRL-RET-001,DMOI-RF-LSS-BCRPBLK-BLOCK-001,approved_query_term_present,query_term_return_owner,decision_row_linkage_validated,precondition_blocker_scope_match,false,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCRPBEI-EVID-003,DMOI-RF-LSS-BCRPBER-CRIT-003,DMOI-RF-LSS-BCRPBRL-RET-001,DMOI-RF-LSS-BCRPBLK-BLOCK-001,approved_query_term_present,query_term_return_owner,decision_row_linkage_validated,true_precondition_update_scope_bounded,false,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCRPBEI-EVID-004,DMOI-RF-LSS-BCRPBER-CRIT-004,DMOI-RF-LSS-BCRPBRL-RET-001,DMOI-RF-LSS-BCRPBLK-BLOCK-001,approved_query_term_present,query_term_return_owner,decision_row_linkage_validated,source_text_and_downstream_gate_limits_confirmed,false,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCRPBEI-EVID-005,DMOI-RF-LSS-BCRPBER-CRIT-005,DMOI-RF-LSS-BCRPBRL-RET-002,DMOI-RF-LSS-BCRPBLK-BLOCK-002,approved_query_term_present,query_term_return_owner,all_decision_fields_filled,dated_non_personal_return_identity,false,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCRPBEI-EVID-006,DMOI-RF-LSS-BCRPBER-CRIT-006,DMOI-RF-LSS-BCRPBRL-RET-002,DMOI-RF-LSS-BCRPBLK-BLOCK-002,approved_query_term_present,query_term_return_owner,all_decision_fields_filled,precondition_blocker_scope_match,false,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCRPBEI-EVID-007,DMOI-RF-LSS-BCRPBER-CRIT-007,DMOI-RF-LSS-BCRPBRL-RET-002,DMOI-RF-LSS-BCRPBLK-BLOCK-002,approved_query_term_present,query_term_return_owner,all_decision_fields_filled,true_precondition_update_scope_bounded,false,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCRPBEI-EVID-008,DMOI-RF-LSS-BCRPBER-CRIT-008,DMOI-RF-LSS-BCRPBRL-RET-002,DMOI-RF-LSS-BCRPBLK-BLOCK-002,approved_query_term_present,query_term_return_owner,all_decision_fields_filled,source_text_and_downstream_gate_limits_confirmed,false,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCRPBEI-EVID-009,DMOI-RF-LSS-BCRPBER-CRIT-009,DMOI-RF-LSS-BCRPBRL-RET-003,DMOI-RF-LSS-BCRPBLK-BLOCK-003,approved_query_term_present,query_term_return_owner,all_criteria_decisions_recorded,dated_non_personal_return_identity,false,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCRPBEI-EVID-010,DMOI-RF-LSS-BCRPBER-CRIT-010,DMOI-RF-LSS-BCRPBRL-RET-003,DMOI-RF-LSS-BCRPBLK-BLOCK-003,approved_query_term_present,query_term_return_owner,all_criteria_decisions_recorded,precondition_blocker_scope_match,false,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCRPBEI-EVID-011,DMOI-RF-LSS-BCRPBER-CRIT-011,DMOI-RF-LSS-BCRPBRL-RET-003,DMOI-RF-LSS-BCRPBLK-BLOCK-003,approved_query_term_present,query_term_return_owner,all_criteria_decisions_recorded,true_precondition_update_scope_bounded,false,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCRPBEI-EVID-012,DMOI-RF-LSS-BCRPBER-CRIT-012,DMOI-RF-LSS-BCRPBRL-RET-003,DMOI-RF-LSS-BCRPBLK-BLOCK-003,approved_query_term_present,query_term_return_owner,all_criteria_decisions_recorded,source_text_and_downstream_gate_limits_confirmed,false,false,false,false,true,false,false,false,false,false
