criteria_decision_row_id,parent_evidence_intake_row_id,parent_criterion_row_id,parent_blocker_class_criteria_row_id,blocker_class,blocker_owner_class,criterion_type,decision_recorded,criterion_passed,criterion_failed,criterion_unfilled,blocker_resolution_allowed_after_decision,query_execution_allowed_after_decision,result_capture_allowed_after_decision,surface_gate_opened,translation_gate_opened
DMOI-RF-LSS-BCDL-DEC-001,DMOI-RF-LSS-BCEIL-EVID-001,DMOI-RF-LSS-BCRCR-CRIT-001,DMOI-RF-LSS-BCRCR-CLASS-01,approved_query_term_present,query_term_return_owner,dated_non_personal_return_identity,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCDL-DEC-002,DMOI-RF-LSS-BCEIL-EVID-002,DMOI-RF-LSS-BCRCR-CRIT-002,DMOI-RF-LSS-BCRCR-CLASS-01,approved_query_term_present,query_term_return_owner,blocker_class_scope_match,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCDL-DEC-003,DMOI-RF-LSS-BCEIL-EVID-003,DMOI-RF-LSS-BCRCR-CRIT-003,DMOI-RF-LSS-BCRCR-CLASS-01,approved_query_term_present,query_term_return_owner,allowed_update_scope_bounded,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCDL-DEC-004,DMOI-RF-LSS-BCEIL-EVID-004,DMOI-RF-LSS-BCRCR-CRIT-004,DMOI-RF-LSS-BCRCR-CLASS-01,approved_query_term_present,query_term_return_owner,source_text_and_result_capture_limits_confirmed,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCDL-DEC-005,DMOI-RF-LSS-BCEIL-EVID-005,DMOI-RF-LSS-BCRCR-CRIT-005,DMOI-RF-LSS-BCRCR-CLASS-02,capture_policy_finalized,capture_policy_return_owner,dated_non_personal_return_identity,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCDL-DEC-006,DMOI-RF-LSS-BCEIL-EVID-006,DMOI-RF-LSS-BCRCR-CRIT-006,DMOI-RF-LSS-BCRCR-CLASS-02,capture_policy_finalized,capture_policy_return_owner,blocker_class_scope_match,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCDL-DEC-007,DMOI-RF-LSS-BCEIL-EVID-007,DMOI-RF-LSS-BCRCR-CRIT-007,DMOI-RF-LSS-BCRCR-CLASS-02,capture_policy_finalized,capture_policy_return_owner,allowed_update_scope_bounded,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCDL-DEC-008,DMOI-RF-LSS-BCEIL-EVID-008,DMOI-RF-LSS-BCRCR-CRIT-008,DMOI-RF-LSS-BCRCR-CLASS-02,capture_policy_finalized,capture_policy_return_owner,source_text_and_result_capture_limits_confirmed,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCDL-DEC-009,DMOI-RF-LSS-BCEIL-EVID-009,DMOI-RF-LSS-BCRCR-CRIT-009,DMOI-RF-LSS-BCRCR-CLASS-03,capture_policy_return_received,capture_policy_return_owner,dated_non_personal_return_identity,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCDL-DEC-010,DMOI-RF-LSS-BCEIL-EVID-010,DMOI-RF-LSS-BCRCR-CRIT-010,DMOI-RF-LSS-BCRCR-CLASS-03,capture_policy_return_received,capture_policy_return_owner,blocker_class_scope_match,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCDL-DEC-011,DMOI-RF-LSS-BCEIL-EVID-011,DMOI-RF-LSS-BCRCR-CRIT-011,DMOI-RF-LSS-BCRCR-CLASS-03,capture_policy_return_received,capture_policy_return_owner,allowed_update_scope_bounded,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCDL-DEC-012,DMOI-RF-LSS-BCEIL-EVID-012,DMOI-RF-LSS-BCRCR-CRIT-012,DMOI-RF-LSS-BCRCR-CLASS-03,capture_policy_return_received,capture_policy_return_owner,source_text_and_result_capture_limits_confirmed,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCDL-DEC-013,DMOI-RF-LSS-BCEIL-EVID-013,DMOI-RF-LSS-BCRCR-CRIT-013,DMOI-RF-LSS-BCRCR-CLASS-04,evidence_intake_gate_reviewed,evidence_governance_owner,dated_non_personal_return_identity,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCDL-DEC-014,DMOI-RF-LSS-BCEIL-EVID-014,DMOI-RF-LSS-BCRCR-CRIT-014,DMOI-RF-LSS-BCRCR-CLASS-04,evidence_intake_gate_reviewed,evidence_governance_owner,blocker_class_scope_match,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCDL-DEC-015,DMOI-RF-LSS-BCEIL-EVID-015,DMOI-RF-LSS-BCRCR-CRIT-015,DMOI-RF-LSS-BCRCR-CLASS-04,evidence_intake_gate_reviewed,evidence_governance_owner,allowed_update_scope_bounded,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCDL-DEC-016,DMOI-RF-LSS-BCEIL-EVID-016,DMOI-RF-LSS-BCRCR-CRIT-016,DMOI-RF-LSS-BCRCR-CLASS-04,evidence_intake_gate_reviewed,evidence_governance_owner,source_text_and_result_capture_limits_confirmed,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCDL-DEC-017,DMOI-RF-LSS-BCEIL-EVID-017,DMOI-RF-LSS-BCRCR-CRIT-017,DMOI-RF-LSS-BCRCR-CLASS-05,forbidden_source_text_confirmed,evidence_governance_owner,dated_non_personal_return_identity,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCDL-DEC-018,DMOI-RF-LSS-BCEIL-EVID-018,DMOI-RF-LSS-BCRCR-CRIT-018,DMOI-RF-LSS-BCRCR-CLASS-05,forbidden_source_text_confirmed,evidence_governance_owner,blocker_class_scope_match,false,false,false,true,false,false,false,false,false
