precondition_blocker_return_row_id,parent_precondition_blocker_resolution_request_row_id,parent_precondition_blocker_row_id,blocker_class,blocker_owner_class,precondition_name,return_fields_filled,request_packet_started,request_dispatched,return_received,precondition_blocker_resolved,true_precondition_update_allowed_after_return,class_resolution_ready_after_return,query_execution_allowed_after_return,result_capture_allowed_after_return,surface_gate_opened,translation_gate_opened
DMOI-RF-LSS-BCRPBRL-RET-001,DMOI-RF-LSS-BCRPBRR-REQ-001,DMOI-RF-LSS-BCRPBLK-BLOCK-001,approved_query_term_present,query_term_return_owner,decision_row_linkage_validated,0,false,false,false,false,false,false,false,false,false,false
DMOI-RF-LSS-BCRPBRL-RET-002,DMOI-RF-LSS-BCRPBRR-REQ-002,DMOI-RF-LSS-BCRPBLK-BLOCK-002,approved_query_term_present,query_term_return_owner,all_decision_fields_filled,0,false,false,false,false,false,false,false,false,false,false
DMOI-RF-LSS-BCRPBRL-RET-003,DMOI-RF-LSS-BCRPBRR-REQ-003,DMOI-RF-LSS-BCRPBLK-BLOCK-003,approved_query_term_present,query_term_return_owner,all_criteria_decisions_recorded,0,false,false,false,false,false,false,false,false,false,false
DMOI-RF-LSS-BCRPBRL-RET-004,DMOI-RF-LSS-BCRPBRR-REQ-004,DMOI-RF-LSS-BCRPBLK-BLOCK-004,approved_query_term_present,query_term_return_owner,all_criteria_passed,0,false,false,false,false,false,false,false,false,false,false
DMOI-RF-LSS-BCRPBRL-RET-005,DMOI-RF-LSS-BCRPBRR-REQ-005,DMOI-RF-LSS-BCRPBLK-BLOCK-005,approved_query_term_present,query_term_return_owner,no_criteria_failed,0,false,false,false,false,false,false,false,false,false,false
DMOI-RF-LSS-BCRPBRL-RET-006,DMOI-RF-LSS-BCRPBRR-REQ-006,DMOI-RF-LSS-BCRPBLK-BLOCK-006,approved_query_term_present,query_term_return_owner,evidence_values_reviewed,0,false,false,false,false,false,false,false,false,false,false
DMOI-RF-LSS-BCRPBRL-RET-007,DMOI-RF-LSS-BCRPBRR-REQ-007,DMOI-RF-LSS-BCRPBLK-BLOCK-007,approved_query_term_present,query_term_return_owner,evidence_source_pointers_reviewed,0,false,false,false,false,false,false,false,false,false,false
DMOI-RF-LSS-BCRPBRL-RET-008,DMOI-RF-LSS-BCRPBRR-REQ-008,DMOI-RF-LSS-BCRPBLK-BLOCK-008,approved_query_term_present,query_term_return_owner,source_text_prohibition_confirmed,0,false,false,false,false,false,false,false,false,false,false
DMOI-RF-LSS-BCRPBRL-RET-009,DMOI-RF-LSS-BCRPBRR-REQ-009,DMOI-RF-LSS-BCRPBLK-BLOCK-009,approved_query_term_present,query_term_return_owner,allowed_update_scope_bounded,0,false,false,false,false,false,false,false,false,false,false
DMOI-RF-LSS-BCRPBRL-RET-010,DMOI-RF-LSS-BCRPBRR-REQ-010,DMOI-RF-LSS-BCRPBLK-BLOCK-010,approved_query_term_present,query_term_return_owner,authority_role_validated,0,false,false,false,false,false,false,false,false,false,false
DMOI-RF-LSS-BCRPBRL-RET-011,DMOI-RF-LSS-BCRPBRR-REQ-011,DMOI-RF-LSS-BCRPBLK-BLOCK-011,approved_query_term_present,query_term_return_owner,downstream_query_gate_separate,0,false,false,false,false,false,false,false,false,false,false
DMOI-RF-LSS-BCRPBRL-RET-012,DMOI-RF-LSS-BCRPBRR-REQ-012,DMOI-RF-LSS-BCRPBLK-BLOCK-012,approved_query_term_present,query_term_return_owner,downstream_surface_translation_gates_separate,0,false,false,false,false,false,false,false,false,false,false
DMOI-RF-LSS-BCRPBRL-RET-013,DMOI-RF-LSS-BCRPBRR-REQ-013,DMOI-RF-LSS-BCRPBLK-BLOCK-013,capture_policy_finalized,capture_policy_return_owner,decision_row_linkage_validated,0,false,false,false,false,false,false,false,false,false,false
DMOI-RF-LSS-BCRPBRL-RET-014,DMOI-RF-LSS-BCRPBRR-REQ-014,DMOI-RF-LSS-BCRPBLK-BLOCK-014,capture_policy_finalized,capture_policy_return_owner,all_decision_fields_filled,0,false,false,false,false,false,false,false,false,false,false
DMOI-RF-LSS-BCRPBRL-RET-015,DMOI-RF-LSS-BCRPBRR-REQ-015,DMOI-RF-LSS-BCRPBLK-BLOCK-015,capture_policy_finalized,capture_policy_return_owner,all_criteria_decisions_recorded,0,false,false,false,false,false,false,false,false,false,false
DMOI-RF-LSS-BCRPBRL-RET-016,DMOI-RF-LSS-BCRPBRR-REQ-016,DMOI-RF-LSS-BCRPBLK-BLOCK-016,capture_policy_finalized,capture_policy_return_owner,all_criteria_passed,0,false,false,false,false,false,false,false,false,false,false
DMOI-RF-LSS-BCRPBRL-RET-017,DMOI-RF-LSS-BCRPBRR-REQ-017,DMOI-RF-LSS-BCRPBLK-BLOCK-017,capture_policy_finalized,capture_policy_return_owner,no_criteria_failed,0,false,false,false,false,false,false,false,false,false,false
DMOI-RF-LSS-BCRPBRL-RET-018,DMOI-RF-LSS-BCRPBRR-REQ-018,DMOI-RF-LSS-BCRPBLK-BLOCK-018,capture_policy_finalized,capture_policy_return_owner,evidence_values_reviewed,0,false,false,false,false,false,false,false,false,false,false
DMOI-RF-LSS-BCRPBRL-RET-019,DMOI-RF-LSS-BCRPBRR-REQ-019,DMOI-RF-LSS-BCRPBLK-BLOCK-019,capture_policy_finalized,capture_policy_return_owner,evidence_source_pointers_reviewed,0,false,false,false,false,false,false,false,false,false,false
DMOI-RF-LSS-BCRPBRL-RET-020,DMOI-RF-LSS-BCRPBRR-REQ-020,DMOI-RF-LSS-BCRPBLK-BLOCK-020,capture_policy_finalized,capture_policy_return_owner,source_text_prohibition_confirmed,0,false,false,false,false,false,false,false,false,false,false
DMOI-RF-LSS-BCRPBRL-RET-021,DMOI-RF-LSS-BCRPBRR-REQ-021,DMOI-RF-LSS-BCRPBLK-BLOCK-021,capture_policy_finalized,capture_policy_return_owner,allowed_update_scope_bounded,0,false,false,false,false,false,false,false,false,false,false
DMOI-RF-LSS-BCRPBRL-RET-022,DMOI-RF-LSS-BCRPBRR-REQ-022,DMOI-RF-LSS-BCRPBLK-BLOCK-022,capture_policy_finalized,capture_policy_return_owner,authority_role_validated,0,false,false,false,false,false,false,false,false,false,false
