criteria_decision_row_id,parent_evidence_intake_row_id,parent_criterion_row_id,parent_precondition_blocker_return_row_id,parent_precondition_blocker_row_id,blocker_class,blocker_owner_class,precondition_name,criterion_type,decision_recorded,criterion_passed,criterion_failed,criterion_unfilled,precondition_blocker_resolution_allowed_after_decision,true_precondition_update_allowed_after_decision,query_execution_allowed_after_decision,surface_gate_opened,translation_gate_opened
DMOI-RF-LSS-BCRPBEDL-DEC-001,DMOI-RF-LSS-BCRPBEI-EVID-001,DMOI-RF-LSS-BCRPBER-CRIT-001,DMOI-RF-LSS-BCRPBRL-RET-001,DMOI-RF-LSS-BCRPBLK-BLOCK-001,approved_query_term_present,query_term_return_owner,decision_row_linkage_validated,dated_non_personal_return_identity,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCRPBEDL-DEC-002,DMOI-RF-LSS-BCRPBEI-EVID-002,DMOI-RF-LSS-BCRPBER-CRIT-002,DMOI-RF-LSS-BCRPBRL-RET-001,DMOI-RF-LSS-BCRPBLK-BLOCK-001,approved_query_term_present,query_term_return_owner,decision_row_linkage_validated,precondition_blocker_scope_match,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCRPBEDL-DEC-003,DMOI-RF-LSS-BCRPBEI-EVID-003,DMOI-RF-LSS-BCRPBER-CRIT-003,DMOI-RF-LSS-BCRPBRL-RET-001,DMOI-RF-LSS-BCRPBLK-BLOCK-001,approved_query_term_present,query_term_return_owner,decision_row_linkage_validated,true_precondition_update_scope_bounded,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCRPBEDL-DEC-004,DMOI-RF-LSS-BCRPBEI-EVID-004,DMOI-RF-LSS-BCRPBER-CRIT-004,DMOI-RF-LSS-BCRPBRL-RET-001,DMOI-RF-LSS-BCRPBLK-BLOCK-001,approved_query_term_present,query_term_return_owner,decision_row_linkage_validated,source_text_and_downstream_gate_limits_confirmed,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCRPBEDL-DEC-005,DMOI-RF-LSS-BCRPBEI-EVID-005,DMOI-RF-LSS-BCRPBER-CRIT-005,DMOI-RF-LSS-BCRPBRL-RET-002,DMOI-RF-LSS-BCRPBLK-BLOCK-002,approved_query_term_present,query_term_return_owner,all_decision_fields_filled,dated_non_personal_return_identity,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCRPBEDL-DEC-006,DMOI-RF-LSS-BCRPBEI-EVID-006,DMOI-RF-LSS-BCRPBER-CRIT-006,DMOI-RF-LSS-BCRPBRL-RET-002,DMOI-RF-LSS-BCRPBLK-BLOCK-002,approved_query_term_present,query_term_return_owner,all_decision_fields_filled,precondition_blocker_scope_match,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCRPBEDL-DEC-007,DMOI-RF-LSS-BCRPBEI-EVID-007,DMOI-RF-LSS-BCRPBER-CRIT-007,DMOI-RF-LSS-BCRPBRL-RET-002,DMOI-RF-LSS-BCRPBLK-BLOCK-002,approved_query_term_present,query_term_return_owner,all_decision_fields_filled,true_precondition_update_scope_bounded,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCRPBEDL-DEC-008,DMOI-RF-LSS-BCRPBEI-EVID-008,DMOI-RF-LSS-BCRPBER-CRIT-008,DMOI-RF-LSS-BCRPBRL-RET-002,DMOI-RF-LSS-BCRPBLK-BLOCK-002,approved_query_term_present,query_term_return_owner,all_decision_fields_filled,source_text_and_downstream_gate_limits_confirmed,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCRPBEDL-DEC-009,DMOI-RF-LSS-BCRPBEI-EVID-009,DMOI-RF-LSS-BCRPBER-CRIT-009,DMOI-RF-LSS-BCRPBRL-RET-003,DMOI-RF-LSS-BCRPBLK-BLOCK-003,approved_query_term_present,query_term_return_owner,all_criteria_decisions_recorded,dated_non_personal_return_identity,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCRPBEDL-DEC-010,DMOI-RF-LSS-BCRPBEI-EVID-010,DMOI-RF-LSS-BCRPBER-CRIT-010,DMOI-RF-LSS-BCRPBRL-RET-003,DMOI-RF-LSS-BCRPBLK-BLOCK-003,approved_query_term_present,query_term_return_owner,all_criteria_decisions_recorded,precondition_blocker_scope_match,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCRPBEDL-DEC-011,DMOI-RF-LSS-BCRPBEI-EVID-011,DMOI-RF-LSS-BCRPBER-CRIT-011,DMOI-RF-LSS-BCRPBRL-RET-003,DMOI-RF-LSS-BCRPBLK-BLOCK-003,approved_query_term_present,query_term_return_owner,all_criteria_decisions_recorded,true_precondition_update_scope_bounded,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCRPBEDL-DEC-012,DMOI-RF-LSS-BCRPBEI-EVID-012,DMOI-RF-LSS-BCRPBER-CRIT-012,DMOI-RF-LSS-BCRPBRL-RET-003,DMOI-RF-LSS-BCRPBLK-BLOCK-003,approved_query_term_present,query_term_return_owner,all_criteria_decisions_recorded,source_text_and_downstream_gate_limits_confirmed,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCRPBEDL-DEC-013,DMOI-RF-LSS-BCRPBEI-EVID-013,DMOI-RF-LSS-BCRPBER-CRIT-013,DMOI-RF-LSS-BCRPBRL-RET-004,DMOI-RF-LSS-BCRPBLK-BLOCK-004,approved_query_term_present,query_term_return_owner,all_criteria_passed,dated_non_personal_return_identity,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCRPBEDL-DEC-014,DMOI-RF-LSS-BCRPBEI-EVID-014,DMOI-RF-LSS-BCRPBER-CRIT-014,DMOI-RF-LSS-BCRPBRL-RET-004,DMOI-RF-LSS-BCRPBLK-BLOCK-004,approved_query_term_present,query_term_return_owner,all_criteria_passed,precondition_blocker_scope_match,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCRPBEDL-DEC-015,DMOI-RF-LSS-BCRPBEI-EVID-015,DMOI-RF-LSS-BCRPBER-CRIT-015,DMOI-RF-LSS-BCRPBRL-RET-004,DMOI-RF-LSS-BCRPBLK-BLOCK-004,approved_query_term_present,query_term_return_owner,all_criteria_passed,true_precondition_update_scope_bounded,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCRPBEDL-DEC-016,DMOI-RF-LSS-BCRPBEI-EVID-016,DMOI-RF-LSS-BCRPBER-CRIT-016,DMOI-RF-LSS-BCRPBRL-RET-004,DMOI-RF-LSS-BCRPBLK-BLOCK-004,approved_query_term_present,query_term_return_owner,all_criteria_passed,source_text_and_downstream_gate_limits_confirmed,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCRPBEDL-DEC-017,DMOI-RF-LSS-BCRPBEI-EVID-017,DMOI-RF-LSS-BCRPBER-CRIT-017,DMOI-RF-LSS-BCRPBRL-RET-005,DMOI-RF-LSS-BCRPBLK-BLOCK-005,approved_query_term_present,query_term_return_owner,no_criteria_failed,dated_non_personal_return_identity,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCRPBEDL-DEC-018,DMOI-RF-LSS-BCRPBEI-EVID-018,DMOI-RF-LSS-BCRPBER-CRIT-018,DMOI-RF-LSS-BCRPBRL-RET-005,DMOI-RF-LSS-BCRPBLK-BLOCK-005,approved_query_term_present,query_term_return_owner,no_criteria_failed,precondition_blocker_scope_match,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCRPBEDL-DEC-019,DMOI-RF-LSS-BCRPBEI-EVID-019,DMOI-RF-LSS-BCRPBER-CRIT-019,DMOI-RF-LSS-BCRPBRL-RET-005,DMOI-RF-LSS-BCRPBLK-BLOCK-005,approved_query_term_present,query_term_return_owner,no_criteria_failed,true_precondition_update_scope_bounded,false,false,false,true,false,false,false,false,false
DMOI-RF-LSS-BCRPBEDL-DEC-020,DMOI-RF-LSS-BCRPBEI-EVID-020,DMOI-RF-LSS-BCRPBER-CRIT-020,DMOI-RF-LSS-BCRPBRL-RET-005,DMOI-RF-LSS-BCRPBLK-BLOCK-005,approved_query_term_present,query_term_return_owner,no_criteria_failed,source_text_and_downstream_gate_limits_confirmed,false,false,false,true,false,false,false,false,false
