criteria_decision_row_id,parent_evidence_intake_row_id,parent_criterion_row_id,parent_return_evidence_criteria_row_id,parent_ledger_row_id,parent_reviewer_scope_row_id,parent_gap_check_row_id,parent_pointer_row_id,packet_unit,reviewer_role,criterion_type,required_future_evidence_class,decision_date,decision_authority_role,criterion_decision,decision_basis_pointer,decision_fields_filled,criteria_decision_recorded
ODRF-RSCOPE-EVID-DEC-001,ODRF-RSCOPE-EVID-001,ODRF-RSCOPE-ECR-CRIT-001,ODRF-RSCOPE-ECR-01,ODRF-RSCOPE-LEDGER-01,ODRF-RSCOPE-01,ODRF-ATTR-GAP-01,ODRF-PTR-01,proof_reading_and_definition_use,construction_governance_reviewer,dated_non_personal_return_identity,dated_non_personal_return_metadata,,,,,0,false
ODRF-RSCOPE-EVID-DEC-002,ODRF-RSCOPE-EVID-002,ODRF-RSCOPE-ECR-CRIT-002,ODRF-RSCOPE-ECR-01,ODRF-RSCOPE-LEDGER-01,ODRF-RSCOPE-01,ODRF-ATTR-GAP-01,ODRF-PTR-01,proof_reading_and_definition_use,construction_governance_reviewer,reviewer_scope_row_match,row_linkage_and_scope_match_metadata,,,,,0,false
ODRF-RSCOPE-EVID-DEC-003,ODRF-RSCOPE-EVID-003,ODRF-RSCOPE-ECR-CRIT-003,ODRF-RSCOPE-ECR-01,ODRF-RSCOPE-LEDGER-01,ODRF-RSCOPE-01,ODRF-ATTR-GAP-01,ODRF-PTR-01,proof_reading_and_definition_use,construction_governance_reviewer,scope_decision_completeness,scope_decision_metadata,,,,,0,false
ODRF-RSCOPE-EVID-DEC-004,ODRF-RSCOPE-EVID-004,ODRF-RSCOPE-ECR-CRIT-004,ODRF-RSCOPE-ECR-01,ODRF-RSCOPE-LEDGER-01,ODRF-RSCOPE-01,ODRF-ATTR-GAP-01,ODRF-PTR-01,proof_reading_and_definition_use,construction_governance_reviewer,source_system_and_license_scope_complete,source_system_license_scope_metadata,,,,,0,false
ODRF-RSCOPE-EVID-DEC-005,ODRF-RSCOPE-EVID-005,ODRF-RSCOPE-ECR-CRIT-005,ODRF-RSCOPE-ECR-01,ODRF-RSCOPE-LEDGER-01,ODRF-RSCOPE-01,ODRF-ATTR-GAP-01,ODRF-PTR-01,proof_reading_and_definition_use,construction_governance_reviewer,line_span_permission_boolean_non_textual,line_span_permission_metadata_only,,,,,0,false
ODRF-RSCOPE-EVID-DEC-006,ODRF-RSCOPE-EVID-006,ODRF-RSCOPE-ECR-CRIT-006,ODRF-RSCOPE-ECR-01,ODRF-RSCOPE-LEDGER-01,ODRF-RSCOPE-01,ODRF-ATTR-GAP-01,ODRF-PTR-01,proof_reading_and_definition_use,construction_governance_reviewer,source_text_capture_still_separately_blocked,source_text_gate_limit_metadata,,,,,0,false
ODRF-RSCOPE-EVID-DEC-007,ODRF-RSCOPE-EVID-007,ODRF-RSCOPE-ECR-CRIT-007,ODRF-RSCOPE-ECR-01,ODRF-RSCOPE-LEDGER-01,ODRF-RSCOPE-01,ODRF-ATTR-GAP-01,ODRF-PTR-01,proof_reading_and_definition_use,construction_governance_reviewer,local_bridge_translation_review_requirements_explicit,downstream_review_requirement_metadata,,,,,0,false
ODRF-RSCOPE-EVID-DEC-008,ODRF-RSCOPE-EVID-008,ODRF-RSCOPE-ECR-CRIT-008,ODRF-RSCOPE-ECR-01,ODRF-RSCOPE-LEDGER-01,ODRF-RSCOPE-01,ODRF-ATTR-GAP-01,ODRF-PTR-01,proof_reading_and_definition_use,construction_governance_reviewer,forbidden_content_absent_and_no_readiness_claim,negative_content_and_readiness_guardrail_metadata,,,,,0,false
ODRF-RSCOPE-EVID-DEC-009,ODRF-RSCOPE-EVID-009,ODRF-RSCOPE-ECR-CRIT-009,ODRF-RSCOPE-ECR-02,ODRF-RSCOPE-LEDGER-02,ODRF-RSCOPE-02,ODRF-ATTR-GAP-02,ODRF-PTR-02,sets_membership_subset_equality,domain_mathematics_reviewer,dated_non_personal_return_identity,dated_non_personal_return_metadata,,,,,0,false
ODRF-RSCOPE-EVID-DEC-010,ODRF-RSCOPE-EVID-010,ODRF-RSCOPE-ECR-CRIT-010,ODRF-RSCOPE-ECR-02,ODRF-RSCOPE-LEDGER-02,ODRF-RSCOPE-02,ODRF-ATTR-GAP-02,ODRF-PTR-02,sets_membership_subset_equality,domain_mathematics_reviewer,reviewer_scope_row_match,row_linkage_and_scope_match_metadata,,,,,0,false
ODRF-RSCOPE-EVID-DEC-011,ODRF-RSCOPE-EVID-011,ODRF-RSCOPE-ECR-CRIT-011,ODRF-RSCOPE-ECR-02,ODRF-RSCOPE-LEDGER-02,ODRF-RSCOPE-02,ODRF-ATTR-GAP-02,ODRF-PTR-02,sets_membership_subset_equality,domain_mathematics_reviewer,scope_decision_completeness,scope_decision_metadata,,,,,0,false
ODRF-RSCOPE-EVID-DEC-012,ODRF-RSCOPE-EVID-012,ODRF-RSCOPE-ECR-CRIT-012,ODRF-RSCOPE-ECR-02,ODRF-RSCOPE-LEDGER-02,ODRF-RSCOPE-02,ODRF-ATTR-GAP-02,ODRF-PTR-02,sets_membership_subset_equality,domain_mathematics_reviewer,source_system_and_license_scope_complete,source_system_license_scope_metadata,,,,,0,false
ODRF-RSCOPE-EVID-DEC-013,ODRF-RSCOPE-EVID-013,ODRF-RSCOPE-ECR-CRIT-013,ODRF-RSCOPE-ECR-02,ODRF-RSCOPE-LEDGER-02,ODRF-RSCOPE-02,ODRF-ATTR-GAP-02,ODRF-PTR-02,sets_membership_subset_equality,domain_mathematics_reviewer,line_span_permission_boolean_non_textual,line_span_permission_metadata_only,,,,,0,false
ODRF-RSCOPE-EVID-DEC-014,ODRF-RSCOPE-EVID-014,ODRF-RSCOPE-ECR-CRIT-014,ODRF-RSCOPE-ECR-02,ODRF-RSCOPE-LEDGER-02,ODRF-RSCOPE-02,ODRF-ATTR-GAP-02,ODRF-PTR-02,sets_membership_subset_equality,domain_mathematics_reviewer,source_text_capture_still_separately_blocked,source_text_gate_limit_metadata,,,,,0,false
ODRF-RSCOPE-EVID-DEC-015,ODRF-RSCOPE-EVID-015,ODRF-RSCOPE-ECR-CRIT-015,ODRF-RSCOPE-ECR-02,ODRF-RSCOPE-LEDGER-02,ODRF-RSCOPE-02,ODRF-ATTR-GAP-02,ODRF-PTR-02,sets_membership_subset_equality,domain_mathematics_reviewer,local_bridge_translation_review_requirements_explicit,downstream_review_requirement_metadata,,,,,0,false
ODRF-RSCOPE-EVID-DEC-016,ODRF-RSCOPE-EVID-016,ODRF-RSCOPE-ECR-CRIT-016,ODRF-RSCOPE-ECR-02,ODRF-RSCOPE-LEDGER-02,ODRF-RSCOPE-02,ODRF-ATTR-GAP-02,ODRF-PTR-02,sets_membership_subset_equality,domain_mathematics_reviewer,forbidden_content_absent_and_no_readiness_claim,negative_content_and_readiness_guardrail_metadata,,,,,0,false
ODRF-RSCOPE-EVID-DEC-017,ODRF-RSCOPE-EVID-017,ODRF-RSCOPE-ECR-CRIT-017,ODRF-RSCOPE-ECR-03,ODRF-RSCOPE-LEDGER-03,ODRF-RSCOPE-03,ODRF-ATTR-GAP-03,ODRF-PTR-03,domain_codomain_range,domain_mathematics_reviewer,dated_non_personal_return_identity,dated_non_personal_return_metadata,,,,,0,false
ODRF-RSCOPE-EVID-DEC-018,ODRF-RSCOPE-EVID-018,ODRF-RSCOPE-ECR-CRIT-018,ODRF-RSCOPE-ECR-03,ODRF-RSCOPE-LEDGER-03,ODRF-RSCOPE-03,ODRF-ATTR-GAP-03,ODRF-PTR-03,domain_codomain_range,domain_mathematics_reviewer,reviewer_scope_row_match,row_linkage_and_scope_match_metadata,,,,,0,false
ODRF-RSCOPE-EVID-DEC-019,ODRF-RSCOPE-EVID-019,ODRF-RSCOPE-ECR-CRIT-019,ODRF-RSCOPE-ECR-03,ODRF-RSCOPE-LEDGER-03,ODRF-RSCOPE-03,ODRF-ATTR-GAP-03,ODRF-PTR-03,domain_codomain_range,domain_mathematics_reviewer,scope_decision_completeness,scope_decision_metadata,,,,,0,false
ODRF-RSCOPE-EVID-DEC-020,ODRF-RSCOPE-EVID-020,ODRF-RSCOPE-ECR-CRIT-020,ODRF-RSCOPE-ECR-03,ODRF-RSCOPE-LEDGER-03,ODRF-RSCOPE-03,ODRF-ATTR-GAP-03,ODRF-PTR-03,domain_codomain_range,domain_mathematics_reviewer,source_system_and_license_scope_complete,source_system_license_scope_metadata,,,,,0,false
ODRF-RSCOPE-EVID-DEC-021,ODRF-RSCOPE-EVID-021,ODRF-RSCOPE-ECR-CRIT-021,ODRF-RSCOPE-ECR-03,ODRF-RSCOPE-LEDGER-03,ODRF-RSCOPE-03,ODRF-ATTR-GAP-03,ODRF-PTR-03,domain_codomain_range,domain_mathematics_reviewer,line_span_permission_boolean_non_textual,line_span_permission_metadata_only,,,,,0,false
ODRF-RSCOPE-EVID-DEC-022,ODRF-RSCOPE-EVID-022,ODRF-RSCOPE-ECR-CRIT-022,ODRF-RSCOPE-ECR-03,ODRF-RSCOPE-LEDGER-03,ODRF-RSCOPE-03,ODRF-ATTR-GAP-03,ODRF-PTR-03,domain_codomain_range,domain_mathematics_reviewer,source_text_capture_still_separately_blocked,source_text_gate_limit_metadata,,,,,0,false
ODRF-RSCOPE-EVID-DEC-023,ODRF-RSCOPE-EVID-023,ODRF-RSCOPE-ECR-CRIT-023,ODRF-RSCOPE-ECR-03,ODRF-RSCOPE-LEDGER-03,ODRF-RSCOPE-03,ODRF-ATTR-GAP-03,ODRF-PTR-03,domain_codomain_range,domain_mathematics_reviewer,local_bridge_translation_review_requirements_explicit,downstream_review_requirement_metadata,,,,,0,false
ODRF-RSCOPE-EVID-DEC-024,ODRF-RSCOPE-EVID-024,ODRF-RSCOPE-ECR-CRIT-024,ODRF-RSCOPE-ECR-03,ODRF-RSCOPE-LEDGER-03,ODRF-RSCOPE-03,ODRF-ATTR-GAP-03,ODRF-PTR-03,domain_codomain_range,domain_mathematics_reviewer,forbidden_content_absent_and_no_readiness_claim,negative_content_and_readiness_guardrail_metadata,,,,,0,false
ODRF-RSCOPE-EVID-DEC-025,ODRF-RSCOPE-EVID-025,ODRF-RSCOPE-ECR-CRIT-025,ODRF-RSCOPE-ECR-04,ODRF-RSCOPE-LEDGER-04,ODRF-RSCOPE-04,ODRF-ATTR-GAP-04,ODRF-PTR-04,function_as_relation_boundary,domain_mathematics_reviewer,dated_non_personal_return_identity,dated_non_personal_return_metadata,,,,,0,false
ODRF-RSCOPE-EVID-DEC-026,ODRF-RSCOPE-EVID-026,ODRF-RSCOPE-ECR-CRIT-026,ODRF-RSCOPE-ECR-04,ODRF-RSCOPE-LEDGER-04,ODRF-RSCOPE-04,ODRF-ATTR-GAP-04,ODRF-PTR-04,function_as_relation_boundary,domain_mathematics_reviewer,reviewer_scope_row_match,row_linkage_and_scope_match_metadata,,,,,0,false
ODRF-RSCOPE-EVID-DEC-027,ODRF-RSCOPE-EVID-027,ODRF-RSCOPE-ECR-CRIT-027,ODRF-RSCOPE-ECR-04,ODRF-RSCOPE-LEDGER-04,ODRF-RSCOPE-04,ODRF-ATTR-GAP-04,ODRF-PTR-04,function_as_relation_boundary,domain_mathematics_reviewer,scope_decision_completeness,scope_decision_metadata,,,,,0,false
