criterion_row_id,parent_decision_precondition_blocker_resolution_return_evidence_criteria_row_id,parent_decision_precondition_blocker_resolution_return_row_id,parent_decision_precondition_blocker_resolution_request_row_id,parent_decision_precondition_blocker_row_id,parent_decision_precondition_checklist_row_id,parent_criteria_decision_row_id,parent_evidence_intake_row_id,parent_criterion_row_id,parent_ledger_row_id,parent_reviewer_scope_row_id,parent_gap_check_row_id,parent_pointer_row_id,packet_unit,reviewer_role,parent_criterion_type,precondition_name,criterion_type,required_future_evidence_class,evidence_value,evidence_source_pointer,evidence_date,criterion_passed,criterion_failed,criterion_unfilled,source_text_capture_allowed_after_pass,surface_gate_opened,translation_gate_opened
ODRF-RSCOPE-DPCBRT-ECR-CRIT-00001,ODRF-RSCOPE-DPCBRT-ECR-0001,ODRF-RSCOPE-DPCBRT-0001,ODRF-RSCOPE-DPCBRR-0001,ODRF-RSCOPE-DPCB-0001,ODRF-RSCOPE-DPC-001,ODRF-RSCOPE-EVID-DEC-001,ODRF-RSCOPE-EVID-001,ODRF-RSCOPE-ECR-CRIT-001,ODRF-RSCOPE-LEDGER-01,ODRF-RSCOPE-01,ODRF-ATTR-GAP-01,ODRF-PTR-01,proof_reading_and_definition_use,construction_governance_reviewer,dated_non_personal_return_identity,decision_row_linkage_validated,dated_non_personal_return_identity,dated_non_personal_return_metadata,,,,false,false,true,false,false,false
ODRF-RSCOPE-DPCBRT-ECR-CRIT-00002,ODRF-RSCOPE-DPCBRT-ECR-0001,ODRF-RSCOPE-DPCBRT-0001,ODRF-RSCOPE-DPCBRR-0001,ODRF-RSCOPE-DPCB-0001,ODRF-RSCOPE-DPC-001,ODRF-RSCOPE-EVID-DEC-001,ODRF-RSCOPE-EVID-001,ODRF-RSCOPE-ECR-CRIT-001,ODRF-RSCOPE-LEDGER-01,ODRF-RSCOPE-01,ODRF-ATTR-GAP-01,ODRF-PTR-01,proof_reading_and_definition_use,construction_governance_reviewer,dated_non_personal_return_identity,decision_row_linkage_validated,request_return_scope_match,row_linkage_and_scope_match_metadata,,,,false,false,true,false,false,false
ODRF-RSCOPE-DPCBRT-ECR-CRIT-00003,ODRF-RSCOPE-DPCBRT-ECR-0001,ODRF-RSCOPE-DPCBRT-0001,ODRF-RSCOPE-DPCBRR-0001,ODRF-RSCOPE-DPCB-0001,ODRF-RSCOPE-DPC-001,ODRF-RSCOPE-EVID-DEC-001,ODRF-RSCOPE-EVID-001,ODRF-RSCOPE-ECR-CRIT-001,ODRF-RSCOPE-LEDGER-01,ODRF-RSCOPE-01,ODRF-ATTR-GAP-01,ODRF-PTR-01,proof_reading_and_definition_use,construction_governance_reviewer,dated_non_personal_return_identity,decision_row_linkage_validated,resolution_evidence_pointer_metadata_only,resolution_evidence_pointer_metadata_only,,,,false,false,true,false,false,false
ODRF-RSCOPE-DPCBRT-ECR-CRIT-00004,ODRF-RSCOPE-DPCBRT-ECR-0001,ODRF-RSCOPE-DPCBRT-0001,ODRF-RSCOPE-DPCBRR-0001,ODRF-RSCOPE-DPCB-0001,ODRF-RSCOPE-DPC-001,ODRF-RSCOPE-EVID-DEC-001,ODRF-RSCOPE-EVID-001,ODRF-RSCOPE-ECR-CRIT-001,ODRF-RSCOPE-LEDGER-01,ODRF-RSCOPE-01,ODRF-ATTR-GAP-01,ODRF-PTR-01,proof_reading_and_definition_use,construction_governance_reviewer,dated_non_personal_return_identity,decision_row_linkage_validated,source_text_and_downstream_gate_limits_confirmed,source_text_surface_translation_gate_limit_metadata,,,,false,false,true,false,false,false
ODRF-RSCOPE-DPCBRT-ECR-CRIT-00005,ODRF-RSCOPE-DPCBRT-ECR-0002,ODRF-RSCOPE-DPCBRT-0002,ODRF-RSCOPE-DPCBRR-0002,ODRF-RSCOPE-DPCB-0002,ODRF-RSCOPE-DPC-001,ODRF-RSCOPE-EVID-DEC-001,ODRF-RSCOPE-EVID-001,ODRF-RSCOPE-ECR-CRIT-001,ODRF-RSCOPE-LEDGER-01,ODRF-RSCOPE-01,ODRF-ATTR-GAP-01,ODRF-PTR-01,proof_reading_and_definition_use,construction_governance_reviewer,dated_non_personal_return_identity,all_decision_fields_filled,dated_non_personal_return_identity,dated_non_personal_return_metadata,,,,false,false,true,false,false,false
ODRF-RSCOPE-DPCBRT-ECR-CRIT-00006,ODRF-RSCOPE-DPCBRT-ECR-0002,ODRF-RSCOPE-DPCBRT-0002,ODRF-RSCOPE-DPCBRR-0002,ODRF-RSCOPE-DPCB-0002,ODRF-RSCOPE-DPC-001,ODRF-RSCOPE-EVID-DEC-001,ODRF-RSCOPE-EVID-001,ODRF-RSCOPE-ECR-CRIT-001,ODRF-RSCOPE-LEDGER-01,ODRF-RSCOPE-01,ODRF-ATTR-GAP-01,ODRF-PTR-01,proof_reading_and_definition_use,construction_governance_reviewer,dated_non_personal_return_identity,all_decision_fields_filled,request_return_scope_match,row_linkage_and_scope_match_metadata,,,,false,false,true,false,false,false
ODRF-RSCOPE-DPCBRT-ECR-CRIT-00007,ODRF-RSCOPE-DPCBRT-ECR-0002,ODRF-RSCOPE-DPCBRT-0002,ODRF-RSCOPE-DPCBRR-0002,ODRF-RSCOPE-DPCB-0002,ODRF-RSCOPE-DPC-001,ODRF-RSCOPE-EVID-DEC-001,ODRF-RSCOPE-EVID-001,ODRF-RSCOPE-ECR-CRIT-001,ODRF-RSCOPE-LEDGER-01,ODRF-RSCOPE-01,ODRF-ATTR-GAP-01,ODRF-PTR-01,proof_reading_and_definition_use,construction_governance_reviewer,dated_non_personal_return_identity,all_decision_fields_filled,resolution_evidence_pointer_metadata_only,resolution_evidence_pointer_metadata_only,,,,false,false,true,false,false,false
ODRF-RSCOPE-DPCBRT-ECR-CRIT-00008,ODRF-RSCOPE-DPCBRT-ECR-0002,ODRF-RSCOPE-DPCBRT-0002,ODRF-RSCOPE-DPCBRR-0002,ODRF-RSCOPE-DPCB-0002,ODRF-RSCOPE-DPC-001,ODRF-RSCOPE-EVID-DEC-001,ODRF-RSCOPE-EVID-001,ODRF-RSCOPE-ECR-CRIT-001,ODRF-RSCOPE-LEDGER-01,ODRF-RSCOPE-01,ODRF-ATTR-GAP-01,ODRF-PTR-01,proof_reading_and_definition_use,construction_governance_reviewer,dated_non_personal_return_identity,all_decision_fields_filled,source_text_and_downstream_gate_limits_confirmed,source_text_surface_translation_gate_limit_metadata,,,,false,false,true,false,false,false
ODRF-RSCOPE-DPCBRT-ECR-CRIT-00009,ODRF-RSCOPE-DPCBRT-ECR-0003,ODRF-RSCOPE-DPCBRT-0003,ODRF-RSCOPE-DPCBRR-0003,ODRF-RSCOPE-DPCB-0003,ODRF-RSCOPE-DPC-001,ODRF-RSCOPE-EVID-DEC-001,ODRF-RSCOPE-EVID-001,ODRF-RSCOPE-ECR-CRIT-001,ODRF-RSCOPE-LEDGER-01,ODRF-RSCOPE-01,ODRF-ATTR-GAP-01,ODRF-PTR-01,proof_reading_and_definition_use,construction_governance_reviewer,dated_non_personal_return_identity,all_criteria_decisions_recorded,dated_non_personal_return_identity,dated_non_personal_return_metadata,,,,false,false,true,false,false,false
ODRF-RSCOPE-DPCBRT-ECR-CRIT-00010,ODRF-RSCOPE-DPCBRT-ECR-0003,ODRF-RSCOPE-DPCBRT-0003,ODRF-RSCOPE-DPCBRR-0003,ODRF-RSCOPE-DPCB-0003,ODRF-RSCOPE-DPC-001,ODRF-RSCOPE-EVID-DEC-001,ODRF-RSCOPE-EVID-001,ODRF-RSCOPE-ECR-CRIT-001,ODRF-RSCOPE-LEDGER-01,ODRF-RSCOPE-01,ODRF-ATTR-GAP-01,ODRF-PTR-01,proof_reading_and_definition_use,construction_governance_reviewer,dated_non_personal_return_identity,all_criteria_decisions_recorded,request_return_scope_match,row_linkage_and_scope_match_metadata,,,,false,false,true,false,false,false
