resolution_precondition_row_id,parent_class_decision_summary_row_id,parent_blocker_class_criteria_row_id,blocker_class,blocker_owner_class,decision_rows_required,true_precondition_cells,false_precondition_cells,criteria_rows_unfilled,class_resolution_ready,blocker_resolution_allowed_now,query_execution_allowed_now,result_capture_allowed_now,surface_gate_opened,translation_gate_opened
DMOI-RF-LSS-BCRPC-CLASS-01,DMOI-RF-LSS-BCDL-CLASS-01,DMOI-RF-LSS-BCRCR-CLASS-01,approved_query_term_present,query_term_return_owner,4,0,12,4,false,false,false,false,false,false
DMOI-RF-LSS-BCRPC-CLASS-02,DMOI-RF-LSS-BCDL-CLASS-02,DMOI-RF-LSS-BCRCR-CLASS-02,capture_policy_finalized,capture_policy_return_owner,4,0,12,4,false,false,false,false,false,false
DMOI-RF-LSS-BCRPC-CLASS-03,DMOI-RF-LSS-BCDL-CLASS-03,DMOI-RF-LSS-BCRCR-CLASS-03,capture_policy_return_received,capture_policy_return_owner,4,0,12,4,false,false,false,false,false,false
DMOI-RF-LSS-BCRPC-CLASS-04,DMOI-RF-LSS-BCDL-CLASS-04,DMOI-RF-LSS-BCRCR-CLASS-04,evidence_intake_gate_reviewed,evidence_governance_owner,4,0,12,4,false,false,false,false,false,false
DMOI-RF-LSS-BCRPC-CLASS-05,DMOI-RF-LSS-BCDL-CLASS-05,DMOI-RF-LSS-BCRCR-CLASS-05,forbidden_source_text_confirmed,evidence_governance_owner,4,0,12,4,false,false,false,false,false,false
DMOI-RF-LSS-BCRPC-CLASS-06,DMOI-RF-LSS-BCDL-CLASS-06,DMOI-RF-LSS-BCRCR-CLASS-06,license_terms_cleared,capture_policy_return_owner,4,0,12,4,false,false,false,false,false,false
DMOI-RF-LSS-BCRPC-CLASS-07,DMOI-RF-LSS-BCDL-CLASS-07,DMOI-RF-LSS-BCRCR-CLASS-07,privacy_review_cleared,capture_policy_return_owner,4,0,12,4,false,false,false,false,false,false
DMOI-RF-LSS-BCRPC-CLASS-08,DMOI-RF-LSS-BCDL-CLASS-08,DMOI-RF-LSS-BCRCR-CLASS-08,query_execution_authorized,query_term_return_owner,4,0,12,4,false,false,false,false,false,false
DMOI-RF-LSS-BCRPC-CLASS-09,DMOI-RF-LSS-BCDL-CLASS-09,DMOI-RF-LSS-BCRCR-CLASS-09,query_string_filled,query_term_return_owner,4,0,12,4,false,false,false,false,false,false
DMOI-RF-LSS-BCRPC-CLASS-10,DMOI-RF-LSS-BCDL-CLASS-10,DMOI-RF-LSS-BCRCR-CLASS-10,query_term_return_received,query_term_return_owner,4,0,12,4,false,false,false,false,false,false
DMOI-RF-LSS-BCRPC-CLASS-11,DMOI-RF-LSS-BCDL-CLASS-11,DMOI-RF-LSS-BCRCR-CLASS-11,result_use_limit_filled,capture_policy_return_owner,4,0,12,4,false,false,false,false,false,false
DMOI-RF-LSS-BCRPC-CLASS-12,DMOI-RF-LSS-BCDL-CLASS-12,DMOI-RF-LSS-BCRCR-CLASS-12,service_route_selected,query_term_return_owner,4,0,12,4,false,false,false,false,false,false
